method,sample,h,q,term,n,effect,coefficient
joint_ols,all,6,0.1,downside,577,-1.6312672291606802,-98018.4945832233
joint_ols,all,6,0.1,btc_vol,577,0.2989710038810057,142.45268196989764
joint_ols,all,6,0.1,btc_ret,577,-0.031794144463915715,-4.766764627791956
joint_ols,all,6,0.1,account_ls,577,0.2554048144466771,0.4528274047307644
joint_ols,all,6,0.5,e_origin,577,0.6003153765890941,0.06273256276679019
joint_ols,all,6,0.5,downside,577,-3.0190588409845156,-181407.18906229228
joint_ols,all,6,0.5,btc_vol,577,2.3878827633067092,1137.7702166666277
joint_ols,all,6,0.5,btc_ret,577,-0.37591277175044974,-56.35904767146514
joint_ols,all,6,0.5,account_ls,577,1.2542957211812609,2.2238401316667207
joint_ols,matched,1,0.1,e_origin,229,3.8720987607304815,0.37789798946674175
joint_ols,matched,1,0.1,downside,229,6.223768857577707,418889.9528859733
joint_ols,matched,1,0.1,btc_vol,229,-5.794749271890783,-2780.109787776631
joint_ols,matched,1,0.1,btc_ret,229,2.355037964801143,476.9976128322438
joint_ols,matched,1,0.1,account_ls,229,-0.8239887581438172,-1.5262268097549063
joint_ols,matched,6,0.1,e_origin,229,1.4079611580735683,0.1374101549989627
joint_ols,matched,6,0.1,downside,229,-0.07934976988950629,-5340.625934406034
joint_ols,matched,6,0.1,btc_vol,229,0.13848852531756,66.44175384735385
joint_ols,matched,6,0.1,btc_ret,229,-0.05546103301634734,-11.233271288788654
joint_ols,matched,6,0.1,account_ls,229,-0.6549275514781403,-1.213084496158395
joint_ols,matched,12,0.1,e_origin,229,0.23778226181304168,0.02320639121638804
joint_ols,matched,12,0.1,downside,229,-0.57104129796068,-38433.860233651474
joint_ols,matched,12,0.1,btc_vol,229,0.8117713542835752,389.4583495489318
joint_ols,matched,12,0.1,btc_ret,229,1.7795874487003078,360.4438559137822
joint_ols,matched,12,0.1,account_ls,229,1.3790519784387636,2.554338370198284
