definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,estimate,lo,hi,bootstrap_valid,p
CAP,12,forest20,20260926,full,10,5,98,30,68,50,numeraire,0.5767677894909216,-0.019828462047289656,1.0421736044654257,1.0,0.033
CAP,12,forest20,20260926,full,10,5,98,30,68,50,global_control,-0.2041160718147997,-0.5212022951263909,0.03863565577658315,1.0,0.145
CAP,12,forest20,20260926,full,10,5,98,30,68,50,total,1.055901787222932,-5.382264211911296,5.688465059177715,1.0,0.7005
CAP,12,forest20,20260926,full,10,5,98,30,68,50,dominance,-47.47945705614477,-121.2361935198242,41.47729022972136,1.0,0.248
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,local,-0.13950144738632772,-24.50198502677602,24.629951681933967,1.0,0.9935
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,basket_price,1.853727572456356,-23.900742577650853,27.526094491322162,1.0,0.8985
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,basket_weights,-0.00785274994127679,-0.01261668625177276,-0.004166108040752964,1.0,0.0025
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,numeraire,0.005297528609926552,-0.2748619073039746,0.25118522284700173,1.0,0.967
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,global_control,-0.21821715604255726,-0.48162969209689727,0.02398686423790803,1.0,0.0785
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,total,1.4934537476963543,-2.492037208664636,5.542297616921283,1.0,0.4665
CAP,12,forest20,20260926,nonoverlap,5,5,109,40,69,71,dominance,-1.9932290198426867,-51.51858600085201,49.47829083769827,1.0,0.947
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,local,-7.920935858175048,-23.529414515640628,9.268472576426936,1.0,0.342
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,basket_price,10.410399403923554,-8.095215963387245,27.06451958879361,1.0,0.233
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,basket_weights,-0.007620616752550514,-0.011349378561344423,-0.004475932008277109,1.0,0.0005
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,numeraire,0.10101294685755713,-0.06464788977519244,0.24861761080777237,1.0,0.213
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,global_control,-0.1522184548149119,-0.37236612309865236,0.025473402918744194,1.0,0.135
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,total,2.43063742103818,0.2168537287033331,4.5186990146089725,1.0,0.035
CAP,12,forest20,20260926,overlap,5,5,214,70,144,71,dominance,-18.331335262098595,-50.55174142865016,17.805663892102974,1.0,0.281
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,local,9.7469499752877,-11.81030454539421,31.773978943578882,1.0,0.366
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,basket_price,-10.648853167561109,-31.54060176665551,12.798450573880695,1.0,0.323
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,basket_weights,-0.007479668059967007,-0.012099636768681346,-0.0013196193726160445,1.0,0.011
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,numeraire,-0.16159851718811158,-0.8210150996245065,0.14686797383120287,1.0,0.432
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,global_control,-0.025636269991888352,-0.46808670290358917,0.3359635188920717,1.0,0.9005
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,total,-1.0966176475133258,-4.6948502602459055,3.7518462924302933,1.0,0.623
CAP,12,forest20,20260926,2025-12,5,5,65,28,37,22,dominance,20.395803142848813,-24.47125160217006,62.7962811265871,1.0,0.345
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,local,-11.882700778532474,-30.555991464446436,8.51815673202463,1.0,0.2405
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,basket_price,15.208268583805122,-6.630330037449018,35.00607922981559,1.0,0.1605
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,basket_weights,-0.007584361287421566,-0.011842777039601873,-0.0038415930864727226,1.0,0.0015
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,numeraire,0.17251842653237828,0.003487401195615503,0.35572441604320526,1.0,0.061
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,global_control,-0.17501725453304112,-0.45032865012112394,0.02486004000359228,1.0,0.14
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,total,3.315484615984068,0.7087013487599327,5.625777029190743,1.0,0.0085
CAP,12,forest20,20260926,without_2025-12,5,5,210,63,147,52,dominance,-27.090969362337592,-65.17961764655898,15.217651765387224,1.0,0.198
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,local,-4.078024455041011,-39.62058053006647,29.531769344707676,1.0,0.7305
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,basket_price,6.917078848923671,-27.233301993851505,42.95843715209251,1.0,0.622
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,basket_weights,-0.00922004328185099,-0.013777607750990841,-0.005415282402701538,1.0,0.0005
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,numeraire,0.05132048061992572,-0.2021335233016639,0.34246531110254785,1.0,0.7355
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,global_control,-0.29541348420612223,-1.0050805577687396,0.10489912495291849,1.0,0.249
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,total,2.5857413470137827,-0.3625891583115678,5.187273129714301,1.0,0.0675
CAP,12,forest20,20260926,2026-01,5,5,78,14,64,19,dominance,-10.995103303964685,-82.30570279842732,56.92486729057002,1.0,0.673
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,local,-10.302946574734609,-26.695526072692612,8.580632044469787,1.0,0.2535
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,basket_price,12.715638209648231,-8.413448475489734,30.798975448039705,1.0,0.2035
CAP,12,forest20,20260926,without_2026-01,5,5,197,77,120,55,basket_weights,-0.006603599877965439,-0.012115510525599775,-0.0020861408468772764,1.0,0.0115
