sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
common_origins,6,original,B,ml_selected,calibrated,239,1.8427986518777906,0.06694560669456066
common_origins,6,original,B,qrf,calibrated,239,1.8557723621808428,0.07112970711297072
common_origins,6,original,B,threshold,calibrated,239,1.8356422815610953,0.06694560669456066
common_origins,6,original,F,boosting,calibrated,239,1.8694503303385632,0.06694560669456066
common_origins,6,original,F,linear,calibrated,239,1.8743386718335584,0.0502092050209205
common_origins,6,original,F,ml_selected,calibrated,239,1.8743028354304492,0.06276150627615062
common_origins,6,original,F,qrf,calibrated,239,1.8304003997169145,0.06694560669456066
common_origins,6,original,F,threshold,calibrated,239,1.851111202752881,0.07531380753138076
common_origins,6,original,R,boosting,calibrated,239,1.7907233156622486,0.07112970711297072
common_origins,6,original,R,linear,calibrated,239,1.847794127346225,0.058577405857740586
common_origins,6,original,R,ml_selected,calibrated,239,1.8348397738843054,0.07112970711297072
common_origins,6,original,R,qrf,calibrated,239,1.799508330255471,0.06694560669456066
common_origins,6,original,R,threshold,calibrated,239,1.8410319293669206,0.0794979079497908
common_origins,6,own_scale,B,boosting,calibrated,239,1.859576630643613,0.07531380753138076
common_origins,6,own_scale,B,linear,calibrated,239,1.835081755449367,0.05439330543933055
common_origins,6,own_scale,B,ml_selected,calibrated,239,1.8265229753536016,0.07112970711297072
common_origins,6,own_scale,B,qrf,calibrated,239,1.805725412920772,0.07112970711297072
common_origins,6,own_scale,B,threshold,calibrated,239,1.9659051354019597,0.07531380753138076
common_origins,6,own_scale,F,boosting,calibrated,239,1.844336223969282,0.07112970711297072
common_origins,6,own_scale,F,linear,calibrated,239,1.8676982526937937,0.058577405857740586
common_origins,6,own_scale,F,ml_selected,calibrated,239,1.8254217704394164,0.07112970711297072
common_origins,6,own_scale,F,qrf,calibrated,239,1.8254217704394164,0.07112970711297072
common_origins,6,own_scale,F,threshold,calibrated,239,1.8690109808726714,0.0794979079497908
common_origins,6,own_scale,R,boosting,calibrated,239,1.8316124096169746,0.0794979079497908
common_origins,6,own_scale,R,linear,calibrated,239,1.8045712818325161,0.06276150627615062
common_origins,6,own_scale,R,ml_selected,calibrated,239,1.8173138442720234,0.07531380753138076
common_origins,6,own_scale,R,qrf,calibrated,239,1.8306333901127805,0.07112970711297072
common_origins,6,own_scale,R,threshold,calibrated,239,1.8830813584101076,0.07112970711297072
common_origins,12,original,B,boosting,raw,239,2.216470308653648,0.19665271966527198
common_origins,12,original,B,linear,raw,239,2.3821804047331563,0.18410041841004185
common_origins,12,original,B,ml_selected,raw,239,2.0770360194114037,0.17573221757322174
common_origins,12,original,B,qrf,raw,239,2.0770360194114037,0.17573221757322174
common_origins,12,original,B,threshold,raw,239,2.3543417830716002,0.20920502092050208
common_origins,12,original,F,boosting,raw,239,2.266972173816371,0.2217573221757322
common_origins,12,original,F,linear,raw,239,2.5408656153526463,0.18828451882845187
common_origins,12,original,F,ml_selected,raw,239,2.115536230345394,0.21338912133891214
common_origins,12,original,F,qrf,raw,239,2.115536230345394,0.21338912133891214
common_origins,12,original,F,threshold,raw,239,2.506067773968012,0.2384937238493724
common_origins,12,original,R,boosting,raw,239,2.1155383083913666,0.18410041841004185
common_origins,12,original,R,linear,raw,239,2.390756185438221,0.18410041841004185
common_origins,12,original,R,ml_selected,raw,239,2.114230556022948,0.18828451882845187
common_origins,12,original,R,qrf,raw,239,2.151052245724731,0.20920502092050208
common_origins,12,original,R,threshold,raw,239,2.2515453641330945,0.18828451882845187
common_origins,12,own_scale,B,boosting,raw,239,2.2013580744343866,0.19246861924686193
common_origins,12,own_scale,B,linear,raw,239,2.358423975359771,0.18828451882845187
common_origins,12,own_scale,B,ml_selected,raw,239,2.1412734229313077,0.18828451882845187
common_origins,12,own_scale,B,qrf,raw,239,2.1412734229313077,0.18828451882845187
common_origins,12,own_scale,B,threshold,raw,239,2.250216064188628,0.23430962343096234
