method,info,algorithm,q,period,n,days,pinball,below_rate
joint_linear,with_positioning,linear_qr,0.9,all,576,55,1.7630072768055212,0.90625
joint_linear,with_positioning,linear_qr,0.9,2026-01,220,21,1.5971529754402984,0.9590909090909091
joint_linear,with_positioning,linear_qr,0.9,2026-02,204,20,1.9332454673399637,0.8480392156862745
joint_linear,with_positioning,linear_qr,0.9,2026-03,152,14,1.7745819835905392,0.9078947368421053
joint_linear,with_positioning,quantile_lightgbm,0.1,all,576,55,2.0514987511901657,0.1996527777777778
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.753394707113647,0.21818181818181817
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.1484874656173996,0.1715686274509804
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.3527960666748924,0.21052631578947367
joint_linear,with_positioning,quantile_lightgbm,0.5,all,576,55,4.011659599110825,0.5833333333333334
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.549739384869722,0.6136363636363636
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.2717490651051415,0.5490196078431373
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.331160889046367,0.5855263157894737
joint_linear,with_positioning,quantile_lightgbm,0.9,all,576,55,1.7364007432644268,0.9027777777777778
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4872861535720079,0.95
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,1.948657328322322,0.8382352941176471
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.8120906536625954,0.9210526315789473
