month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp,scenario
2025-08,ae_tanh_1,f08,0.3311765950435928,"[9.204788446260107, 8.912202716536918, 8.849117261723725]",clock_NY_quote
2025-08,ae_tanh_2,f10,0.0791955882579475,"[8.976758244651643, 8.977374667504096, 8.92383237078332]",clock_NY_quote
2025-08,ae_selected,f05,0.0002002872033476,"[7.860123083550969, 7.860104857569968, 7.860236606651789]",clock_NY_quote
2025-08,ae_reconstruction_selected,f05,0.0002002872033476,"[7.860123083550969, 7.860104857569968, 7.860236606651789]",clock_NY_quote
2025-09,ae_relu_1,f05,0.0552643977047426,"[6.416539910242137, 6.635120065394151, 6.464391742826905]",clock_NY_quote
2025-09,ae_relu_2,f07,0.0160084039166999,"[6.479360566810124, 6.414734398628362, 6.414567750436447]",clock_NY_quote
2025-09,ae_tanh_1,f08,0.3571460589309374,"[11.489217222018642, 10.794030739829372, 11.235678868692808]",clock_NY_quote
2025-09,ae_tanh_2,f10,0.2142872984673332,"[9.867955878593516, 9.857096829589196, 9.971489185896194]",clock_NY_quote
2025-09,ae_selected,f05,0.0552643977047426,"[6.416539910242137, 6.635120065394151, 6.464391742826905]",clock_NY_quote
2025-09,ae_reconstruction_selected,f05,0.0552643977047426,"[6.416539910242137, 6.635120065394151, 6.464391742826905]",clock_NY_quote
2025-10,ae_relu_1,f05,63.23050791094548,"[28.214872502659695, 186.02501789867927, 187.23184421187213]",clock_NY_quote
2025-10,ae_relu_2,f07,31.334099734186932,"[182.62455444249863, 187.57289645545072, 112.32568054324285]",clock_NY_quote
2025-10,ae_tanh_1,f08,3.5723925837330226,"[149.0105585283037, 148.05326540718602, 142.212933206743]",clock_NY_quote
2025-10,ae_tanh_2,f10,1.2941653812919085,"[151.37224354004434, 148.8713981523052, 150.21061114712842]",clock_NY_quote
2025-10,ae_selected,f05,63.23050791094548,"[28.214872502659695, 186.02501789867927, 187.23184421187213]",clock_NY_quote
2025-10,ae_reconstruction_selected,f05,63.23050791094548,"[28.214872502659695, 186.02501789867927, 187.23184421187213]",clock_NY_quote
2025-11,ae_relu_1,f05,0.006423907981771,"[9.641734573655953, 9.644027272917251, 9.64239079824239]",clock_NY_quote
2025-11,ae_relu_2,f06,0.7006574785815421,"[10.000628616715591, 9.686366999656737, 9.6761770685407]",clock_NY_quote
2025-11,ae_tanh_1,f08,0.6384038418044149,"[12.014634995112743, 11.907316178250321, 11.785991834370238]",clock_NY_quote
2025-11,ae_tanh_2,f10,0.4913985474260158,"[13.259757147988509, 13.10520612997592, 13.39985400784429]",clock_NY_quote
2025-11,ae_selected,f05,0.006423907981771,"[9.641734573655953, 9.644027272917251, 9.64239079824239]",clock_NY_quote
2025-11,ae_reconstruction_selected,f05,0.006423907981771,"[9.641734573655953, 9.644027272917251, 9.64239079824239]",clock_NY_quote
