month,method,feature,bin,n,residual_mean_bp,cuts,scenario
2025-09,ae_tanh_2,g,2,89,2.266623702609508,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,g,3,69,1.398872306197739,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,g,4,151,-4.443403674543842,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,m,1,36,1.931157004719302,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,m,2,172,0.8022105018678057,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,m,3,45,-0.9639483447105884,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,m,4,121,2.793296043454987,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,g,0,9,3.186772431946548,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,g,1,56,0.7218736589740175,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,g,2,89,0.7113008501949724,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,g,3,69,2.0680730567907912,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,conditional_neural,g,4,151,1.5033398070281685,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,pca_selected,m,1,36,1.3565724043220186,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,pca_selected,m,2,172,0.6499686913078778,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,pca_selected,m,3,45,0.3380562366094218,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,pca_selected,m,4,121,2.562350656886128,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,pca_selected,g,0,9,2.64918020961008,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,pca_selected,g,1,56,0.8188181949409375,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,pca_selected,g,2,89,1.1827922662081816,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,pca_selected,g,3,69,1.6911590364941431,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,pca_selected,g,4,151,1.2863129508436153,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_selected,m,1,36,1.4827013294114204,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_selected,m,2,172,0.8414330633297074,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_selected,m,3,45,-0.5444566617073876,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_selected,m,4,121,2.34837483948363,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_selected,g,0,9,4.068139456041215,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_selected,g,1,56,1.2880919077955306,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_selected,g,2,89,0.995403986431499,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_selected,g,3,69,1.5836534043225488,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_selected,g,4,151,1.000974165037269,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,m,1,36,1.4827013294114204,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,m,2,172,0.8414330633297074,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,m,3,45,-0.5444566617073876,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,m,4,121,2.34837483948363,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,g,0,9,4.068139456041215,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,g,1,56,1.2880919077955306,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,g,2,89,0.995403986431499,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,g,3,69,1.5836534043225488,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_reconstruction_selected,g,4,151,1.000974165037269,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,m,2,10,4.963360144074169,"[-81.86263951764023, 3.868872786216352, 59.0256222602897, 115.27952751396973]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,m,3,43,2.5025591956128426,"[-81.86263951764023, 3.868872786216352, 59.0256222602897, 115.27952751396973]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,m,4,338,7.241944430316114,"[-81.86263951764023, 3.868872786216352, 59.0256222602897, 115.27952751396973]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,g,0,9,10.379342912356057,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,g,1,38,5.670519548706648,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,g,2,85,7.252174926360776,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,g,3,61,8.380389081054126,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-10,sequential_ols,g,4,198,5.90145673006018,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
