method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
ae_selected,all,6,0.5,btc_ret,577,0.4078758062059349,71.34925178034734,-0.4100927685097343,0.8551532657970295,199,clock_UTC_quote,7,True
ae_selected,all,6,0.5,account_ls,577,0.5331348335065267,0.8855772942656228,-1.411280544682346,1.7667080551104022,199,clock_UTC_quote,7,True
ae_selected,matched,1,0.1,e_origin,229,2.8047079942865505,0.3214062518847031,0.30574508445599025,4.240011269740026,199,clock_UTC_quote,7,True
ae_selected,matched,1,0.1,downside,229,0.8255345178184187,38677.42806007877,-5.986760504278697,2.5411889646746455,199,clock_UTC_quote,7,True
ae_selected,matched,1,0.1,btc_vol,229,-1.3457868487703688,-621.7965244597457,-2.8618639870220552,4.471059177811618,199,clock_UTC_quote,7,True
ae_selected,matched,1,0.1,btc_ret,229,2.27716598279634,427.5355135110017,0.34636916517509475,3.0204714942448088,199,clock_UTC_quote,7,True
ae_selected,matched,1,0.1,account_ls,229,-0.6319089706625716,-1.0401900017299124,-1.8328721727429593,2.840102686824504,199,clock_UTC_quote,7,True
ae_selected,matched,6,0.1,e_origin,229,1.2324123564910088,0.1412286188377087,-1.1150285595568772,3.199626653277386,199,clock_UTC_quote,7,True
ae_selected,matched,6,0.1,downside,229,-0.8947206780353072,-41918.89486344553,-6.649879303480251,2.464129476336243,199,clock_UTC_quote,7,True
ae_selected,matched,6,0.1,btc_vol,229,0.7070544478534683,326.68174657880564,-2.8126223907495578,3.927090010386629,199,clock_UTC_quote,7,True
ae_selected,matched,6,0.1,btc_ret,229,0.4950758475138789,92.94996864208416,-1.5071198238148613,1.8318306472283312,199,clock_UTC_quote,7,True
ae_selected,matched,6,0.1,account_ls,229,-0.9308846605454516,-1.5323360825972134,-3.365680309318509,2.4472036459223703,199,clock_UTC_quote,7,True
ae_selected,matched,12,0.1,e_origin,229,0.3549561449525343,0.0406762929920117,-0.4444997952762271,2.642594195914151,199,clock_UTC_quote,7,True
ae_selected,matched,12,0.1,downside,229,-0.728087869390856,-34111.91849881551,-2.0290297431031186,5.517871145740886,199,clock_UTC_quote,7,True
ae_selected,matched,12,0.1,btc_vol,229,1.1092643537451512,512.5155744358967,-4.7448079807973205,2.3463330789755807,199,clock_UTC_quote,7,True
ae_selected,matched,12,0.1,btc_ret,229,-0.9408090028011948,-176.63589881772614,-2.550658701034769,1.2241059357394266,199,clock_UTC_quote,7,True
ae_selected,matched,12,0.1,account_ls,229,-1.0931496381894863,-1.7994416550964865,-3.5867361223960668,1.4243857313209178,199,clock_UTC_quote,7,True
joint_ols,all,6,0.1,e_origin,577,0.7533890032445647,0.0789865191816753,-0.47207065630617495,2.134981826692924,199,clock_UTC_quote,7,True
joint_ols,all,6,0.1,downside,577,-1.3782188473841348,-62407.9285307922,-4.069373690642883,2.6346415653746798,199,clock_UTC_quote,7,True
joint_ols,all,6,0.1,btc_vol,577,-0.3817047264243041,-175.78994185253657,-2.465998979443428,2.4123810272587614,199,clock_UTC_quote,7,True
joint_ols,all,6,0.1,btc_ret,577,-0.2787740714865285,-48.76563187541044,-1.3132119065132648,1.1493687166538873,199,clock_UTC_quote,7,True
joint_ols,all,6,0.1,account_ls,577,1.292443487029575,2.1468464153934628,-0.19197840857296833,3.2739204855440662,199,clock_UTC_quote,7,True
joint_ols,all,6,0.5,e_origin,577,0.7446157390448357,0.0780667160016269,-0.03311450163680019,1.9567358397610854,199,clock_UTC_quote,7,True
joint_ols,all,6,0.5,downside,577,-2.8776216070618013,-130303.25621582672,-5.492995983755037,-0.6324189529667098,199,clock_UTC_quote,7,True
joint_ols,all,6,0.5,btc_vol,577,1.51631389095017,698.3217976295714,0.2876849219265426,4.183165687183576,199,clock_UTC_quote,7,True
joint_ols,all,6,0.5,btc_ret,577,-0.0453595765269831,-7.934699232049137,-0.7832035755000023,0.6169880937439969,199,clock_UTC_quote,7,True
joint_ols,all,6,0.5,account_ls,577,1.9972336457561968,3.3175561919147896,0.8139325893376791,3.2751167910736148,199,clock_UTC_quote,7,True
joint_ols,matched,1,0.1,e_origin,229,3.7087899505757846,0.3836400969480071,-0.8983572747963482,4.341887479145743,199,clock_UTC_quote,7,True
joint_ols,matched,1,0.1,downside,229,-1.0411029982004232,-48777.10797901027,-7.406637758602301,0.8170698429767891,199,clock_UTC_quote,7,True
joint_ols,matched,1,0.1,btc_vol,229,-0.7585184911369113,-350.4597789451711,-2.7785195462056165,6.37523365260399,199,clock_UTC_quote,7,True
joint_ols,matched,1,0.1,btc_ret,229,1.1747360451808595,220.55545450381885,-0.5728671817872635,3.3897451150644353,199,clock_UTC_quote,7,True
joint_ols,matched,1,0.1,account_ls,229,2.835792681429714,4.668019178631299,-0.03312271387266049,4.646559958321827,199,clock_UTC_quote,7,True
