mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,R,qrf,raw,2026-02,280,1.2279729644022341,0.12857142857142856
available_macro,CAP,R,qrf,raw,2026-03,201,1.340176861232562,0.20398009950248755
available_macro,CAP,R,threshold,raw,2025-12,313,1.2313678753437252,0.16932907348242812
available_macro,CAP,R,threshold,raw,2026-01,294,1.3562942473388968,0.17687074829931973
available_macro,CAP,R,threshold,raw,2026-02,280,1.2961225932996696,0.11785714285714285
available_macro,CAP,R,threshold,raw,2026-03,201,1.4139642849647318,0.208955223880597
available_macro,CAP,B,boosting,calibrated,2025-12,313,1.1829638696597093,0.09904153354632587
available_macro,CAP,B,boosting,calibrated,2026-01,294,1.2277609899569626,0.1054421768707483
available_macro,CAP,B,boosting,calibrated,2026-02,280,1.3000192682997613,0.09285714285714286
available_macro,CAP,B,boosting,calibrated,2026-03,201,1.3276855843243982,0.0945273631840796
available_macro,CAP,B,linear,calibrated,2025-12,313,1.532297492600473,0.09904153354632587
available_macro,CAP,B,linear,calibrated,2026-01,294,1.265868978901039,0.10204081632653061
available_macro,CAP,B,linear,calibrated,2026-02,280,1.2887825993203534,0.1
available_macro,CAP,B,linear,calibrated,2026-03,201,1.2596125955401882,0.08955223880597014
available_macro,CAP,B,matched_full_spec,calibrated,2025-12,313,1.1412082571174649,0.09584664536741214
available_macro,CAP,B,matched_full_spec,calibrated,2026-01,294,1.1918478942098307,0.11224489795918367
available_macro,CAP,B,matched_full_spec,calibrated,2026-02,280,1.289310318940268,0.09642857142857143
available_macro,CAP,B,matched_full_spec,calibrated,2026-03,201,1.3276855843243982,0.0945273631840796
available_macro,CAP,B,ml_selected,calibrated,2025-12,313,1.1829638696597093,0.09904153354632587
available_macro,CAP,B,ml_selected,calibrated,2026-01,294,1.1918478942098307,0.11224489795918367
available_macro,CAP,B,ml_selected,calibrated,2026-02,280,1.279654968605774,0.1
available_macro,CAP,B,ml_selected,calibrated,2026-03,201,1.2867992420308279,0.0945273631840796
available_macro,CAP,B,qrf,calibrated,2025-12,313,1.1412082571174649,0.09584664536741214
available_macro,CAP,B,qrf,calibrated,2026-01,294,1.1918478942098307,0.11224489795918367
available_macro,CAP,B,qrf,calibrated,2026-02,280,1.279654968605774,0.1
available_macro,CAP,B,qrf,calibrated,2026-03,201,1.2867992420308279,0.0945273631840796
available_macro,CAP,B,threshold,calibrated,2025-12,313,2.119192422253677,0.0926517571884984
available_macro,CAP,B,threshold,calibrated,2026-01,294,1.2876168095729625,0.11904761904761904
available_macro,CAP,B,threshold,calibrated,2026-02,280,1.3861765221245923,0.1
available_macro,CAP,B,threshold,calibrated,2026-03,201,1.2578435129218228,0.08955223880597014
available_macro,CAP,F,boosting,calibrated,2025-12,313,1.1784346466557454,0.09904153354632587
available_macro,CAP,F,boosting,calibrated,2026-01,294,1.2259465244150378,0.10884353741496598
available_macro,CAP,F,boosting,calibrated,2026-02,280,1.2886803216217049,0.08928571428571429
available_macro,CAP,F,boosting,calibrated,2026-03,201,1.326655448740858,0.08955223880597014
available_macro,CAP,F,linear,calibrated,2025-12,313,1.4592193564467733,0.08306709265175719
available_macro,CAP,F,linear,calibrated,2026-01,294,1.265868978901039,0.10204081632653061
available_macro,CAP,F,linear,calibrated,2026-02,280,1.2887825993203534,0.1
available_macro,CAP,F,linear,calibrated,2026-03,201,1.2475023013810413,0.09950248756218906
available_macro,CAP,F,matched_full_spec,calibrated,2025-12,313,1.156262350326301,0.08945686900958466
