mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,seed,difference_bp,improvement_pct
available_macro,EQ,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260926,0.053461764997639216,3.0446801478717145
available_macro,EQ,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260927,0.04958113976580392,2.823676172316092
available_macro,EQ,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260928,0.05243379243595658,2.986136483044144
available_macro,EQ,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260925,0.0433524092460944,2.512409846367425
available_macro,EQ,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260926,0.04671602539808317,2.707342088579967
available_macro,EQ,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260927,0.04537123627290751,2.629407286382479
available_macro,EQ,qrf_vs_linear_B,False,calibrated,1088,B,linear,B,qrf,20260928,0.03650360160740029,2.1154996850508034
available_macro,EQ,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260925,0.01722554126182052,0.9982748416480502
available_macro,EQ,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260926,0.020365153061843833,1.1802253200026147
available_macro,EQ,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260927,0.017062681126499113,0.9888365793996989
available_macro,EQ,boosting_vs_linear_B,False,calibrated,1088,B,linear,B,boosting,20260928,0.019755738310467397,1.1449077990503653
available_macro,EQ,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260925,0.07709592187018166,4.394164565315284
available_macro,EQ,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260926,0.08664066446771401,4.938177383240405
available_macro,EQ,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260927,0.07855366653628915,4.477250282454426
available_macro,EQ,qrf_vs_linear_F,False,calibrated,1088,F,linear,F,qrf,20260928,0.08219474367517621,4.6847773702064615
available_macro,EQ,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260925,0.06032763581935119,3.4384381585450208
available_macro,EQ,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260926,0.05961959911749415,3.398082849071171
available_macro,EQ,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260927,0.05963944661098708,3.399214078201085
available_macro,EQ,boosting_vs_linear_F,False,calibrated,1088,F,linear,F,boosting,20260928,0.060684472810584866,3.4587764647022956
available_macro,EQ,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260925,0.032140737681970455,1.8626578597582766
available_macro,EQ,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260926,0.03621386165667584,2.0987083344028212
available_macro,EQ,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260927,0.03943370841822014,2.2853086836839176
available_macro,EQ,nonlinear_B,False,calibrated,1088,B,linear,B,ml_selected,20260928,0.030125500709086372,1.7458684747740039
available_macro,EQ,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260925,-0.008965472778596162,-0.5329491486031124
available_macro,EQ,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260926,-0.005107098027920198,-0.3035027009012925
available_macro,EQ,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260927,-0.005324423016142887,-0.3165863898107135
available_macro,EQ,matched_market,False,calibrated,1088,R,matched_full_spec,B,matched_full_spec,20260928,-0.008481010008339673,-0.5027260404803835
available_macro,EQ,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260925,0.001410399408914742,0.08339620167955308
available_macro,EQ,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260926,0.005485244377456011,0.32498869049313317
available_macro,EQ,matched_position,False,calibrated,1088,B,matched_full_spec,F,matched_full_spec,20260927,-0.0024591974876870815,-0.14576066781093466
