definition,fold,candidate,kind,rule,rule_rank,score,n
EQ,2025-12,54,threshold,scaled180,2,2.3724980718546553,479
EQ,2025-12,54,threshold,local180,3,2.417258272607253,479
EQ,2025-12,54,threshold,local_scaled180,4,2.3618257990916787,479
EQ,2025-12,54,threshold,local_shrink180,5,2.3558044623226695,479
EQ,2025-12,54,threshold,local_scaled_shrink180,6,2.318845837196738,479
EQ,2025-12,55,threshold,global60,0,1.6700270908141528,479
EQ,2025-12,55,threshold,global180,1,1.79277425781412,479
EQ,2025-12,55,threshold,scaled180,2,1.765915947535936,479
EQ,2025-12,55,threshold,local180,3,1.7784301260489475,479
EQ,2025-12,55,threshold,local_scaled180,4,1.7629139143394412,479
EQ,2025-12,55,threshold,local_shrink180,5,1.76513521235651,479
EQ,2025-12,55,threshold,local_scaled_shrink180,6,1.737980423117145,479
EQ,2025-12,56,threshold,global60,0,1.4969855128452823,479
EQ,2025-12,56,threshold,global180,1,1.5074764508257505,479
EQ,2025-12,56,threshold,scaled180,2,1.505928555163971,479
EQ,2025-12,56,threshold,local180,3,1.521196805222225,479
EQ,2025-12,56,threshold,local_scaled180,4,1.510873056374017,479
EQ,2025-12,56,threshold,local_shrink180,5,1.4958057063326198,479
EQ,2025-12,56,threshold,local_scaled_shrink180,6,1.490621815227193,479
EQ,2025-12,57,threshold,global60,0,1.604394031944338,479
EQ,2025-12,57,threshold,global180,1,1.6590569583480221,479
EQ,2025-12,57,threshold,scaled180,2,1.6452831510749428,479
EQ,2025-12,57,threshold,local180,3,1.643801380180866,479
EQ,2025-12,57,threshold,local_scaled180,4,1.643663843642439,479
EQ,2025-12,57,threshold,local_shrink180,5,1.6440469023513489,479
EQ,2025-12,57,threshold,local_scaled_shrink180,6,1.632905005706169,479
EQ,2025-12,58,threshold,global60,0,1.6050064386465654,479
EQ,2025-12,58,threshold,global180,1,1.6113664467173878,479
EQ,2025-12,58,threshold,scaled180,2,1.5894823950238475,479
EQ,2025-12,58,threshold,local180,3,1.6231089764612174,479
EQ,2025-12,58,threshold,local_scaled180,4,1.6102495472539442,479
EQ,2025-12,58,threshold,local_shrink180,5,1.6107757135108915,479
EQ,2025-12,58,threshold,local_scaled_shrink180,6,1.590701364917223,479
EQ,2025-12,59,threshold,global60,0,1.4186989064746969,479
EQ,2025-12,59,threshold,global180,1,1.4764136842773934,479
EQ,2025-12,59,threshold,scaled180,2,1.4715556522224453,479
EQ,2025-12,59,threshold,local180,3,1.4579712708030585,479
EQ,2025-12,59,threshold,local_scaled180,4,1.4494411136453187,479
EQ,2025-12,59,threshold,local_shrink180,5,1.4605356808101133,479
