definition,policy,family,fold,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,joint_selected,state_hist,2026-01,137,1.4433592645576696,0.10948905109489052,-9.327216335151974,1.072876813471886,0.37048245108578354,0.07372262773722628,0.02201690101002573,0.05766423357664234,0.05789640527122613,0.00948905109489051,0.0,35.0,126.0,34.0,92.0,1.0,17.0,46.0,12.0,34.0,5.0,2.0,15.0,2.0,13.0,0.0,0.00948905109489051,0.018248175182481747
EQ,joint_selected,state_hist,2026-02,128,1.9132006907943935,0.1015625,-13.964449712213451,1.5070395835628845,0.40616110723150894,0.06874999999999999,0.0,0.0359375,0.0,0.025,0.0,40.0,128.0,40.0,88.0,0.0,27.0,73.0,27.0,46.0,0.0,13.0,45.0,13.0,32.0,0.0,0.0015624999999999944,0.1
EQ,joint_selected,state_hist,2026-03,105,2.05345166598463,0.14285714285714285,-13.008341163858788,1.2305562672104573,0.8228953987741732,0.05714285714285713,0.0,0.06095238095238095,0.24230823247284158,0.023809523809523808,0.027634625416174903,41.0,101.0,41.0,60.0,0.0,31.0,45.0,26.0,19.0,5.0,16.0,31.0,15.0,16.0,1.0,0.042857142857142844,0.04285714285714285
EQ,joint_selected,threshold,2025-12,139,2.4774847435109852,0.07194244604316546,-14.738900695294511,1.66393838766862,0.8135463558423653,0.07050359712230216,0.456900309918413,0.0762589928057554,0.5552840493979184,0.05467625899280576,0.3856231887174123,48.0,116.0,45.0,71.0,3.0,29.0,95.0,25.0,70.0,4.0,8.0,44.0,4.0,40.0,4.0,0.02805755395683454,0.035251798561151085
EQ,joint_selected,threshold,2026-01,137,1.5372025903405282,0.13138686131386862,-10.110432170147142,1.1527505711997372,0.384452019140791,0.08102189781021898,0.06484441179294304,0.0562043795620438,0.05202492421509897,0.0051094890510948905,0.0,35.0,106.0,31.0,75.0,4.0,17.0,64.0,14.0,50.0,3.0,2.0,9.0,2.0,7.0,0.0,0.031386861313868614,0.047445255474452545
EQ,joint_selected,threshold,2026-02,128,1.9608085401824737,0.078125,-15.640228291027766,1.6626204405949812,0.2981880995874927,0.05078125,0.0,0.057812499999999996,0.02272891563028004,0.028906250000000005,0.01710134987407924,40.0,105.0,40.0,65.0,0.0,27.0,91.0,26.0,65.0,1.0,13.0,40.0,12.0,28.0,1.0,0.021875000000000006,0.045312500000000006
EQ,joint_selected,threshold,2026-03,105,2.1224847349967457,0.2,-11.007325602379165,1.0573681735785028,1.065116561418243,0.04095238095238095,0.0823761760772005,0.061904761904761914,0.21979595883810668,0.060000000000000005,0.271619233135168,41.0,74.0,40.0,34.0,1.0,31.0,56.0,27.0,29.0,4.0,16.0,19.0,10.0,9.0,6.0,0.1,0.1
EQ,legacy,historical,2025-12,139,2.562794458933222,0.07194244604316546,-17.700315301886082,1.9389966738040854,0.6237977851291366,0.06546762589928055,0.0,0.07913669064748201,0.0,0.06187050359712231,0.4864259401536306,48.0,139.0,48.0,91.0,0.0,29.0,139.0,29.0,110.0,0.0,8.0,24.0,1.0,23.0,7.0,0.02805755395683454,0.08273381294964027
EQ,legacy,historical,2026-01,137,1.8577881502100309,0.08759124087591241,-14.369074443680091,1.5680869318046529,0.2897012184053781,0.07445255474452554,0.0,0.08759124087591241,0.0,0.013138686131386862,0.028161535771752223,35.0,137.0,35.0,102.0,0.0,17.0,137.0,17.0,120.0,0.0,2.0,0.0,0.0,0.0,2.0,0.012408759124087593,0.09124087591240876
EQ,legacy,historical,2026-02,128,2.8584995944662763,0.1328125,-19.15156255419893,2.068409629708766,0.7900899647575105,0.06874999999999999,0.0,0.07890625,0.0,0.08671875,0.2941390375416569,40.0,128.0,40.0,88.0,0.0,27.0,128.0,27.0,101.0,0.0,13.0,54.0,6.0,48.0,7.0,0.032812499999999994,0.146875
EQ,legacy,historical,2026-03,105,2.7685356930188707,0.09523809523809523,-23.635276221150225,2.2584888250701103,0.5100468679487603,0.06095238095238094,0.0,0.07047619047619046,0.0,0.0923809523809524,0.18270650628605092,41.0,105.0,41.0,64.0,0.0,31.0,105.0,31.0,74.0,0.0,16.0,103.0,15.0,88.0,1.0,0.004761904761904773,0.11714285714285715
