definition,family,rule,sample,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
CAP,ml_selected,local180,2025-12,139,1.302478481971606,0.08633093525179857,-11.077219835548581,1.1159498678974102,0.1865286140741956,0.05755395683453238,0.0,0.04892086330935252,0.040542066292334006,0.015107913669064749,0.006372121938829868,44.0,124.0,44.0,80.0,0.0,24.0,72.0,22.0,50.0,2.0,2.0,13.0,1.0,12.0,1.0,0.01366906474820144,0.07410071942446043
CAP,ml_selected,local180,2026-01,137,1.1049137241461398,0.10948905109489052,-7.202250841704801,0.8266497784090909,0.2782639457370487,0.05985401459854014,0.06503936248888113,0.033576642335766425,0.06541050393805095,0.0,0.0,34.0,76.0,30.0,46.0,4.0,10.0,36.0,8.0,28.0,2.0,1.0,1.0,1.0,0.0,0.0,0.00948905109489051,0.04014598540145985
CAP,ml_selected,local180,2026-02,128,1.3442372492456454,0.0625,-10.09904217171836,1.0822737799664768,0.26196346927916864,0.0625,0.026379941651331715,0.059375000000000004,0.06138434303313045,0.01484375,0.06122156833654879,32.0,102.0,31.0,71.0,1.0,16.0,62.0,13.0,49.0,3.0,2.0,1.0,0.0,1.0,2.0,0.037500000000000006,0.053125000000000006
CAP,ml_selected,local180,2026-03,105,1.678442313122002,0.17142857142857143,-8.29236386466041,0.8615017088585982,0.8169406042634038,0.06333333333333334,0.250368770462155,0.06380952380952382,0.11772448854853237,0.030476190476190476,0.2044252623664639,33.0,59.5,29.0,30.5,4.0,21.0,38.0,16.0,22.0,5.0,7.0,9.0,4.0,5.0,3.0,0.07142857142857142,0.07142857142857142
CAP,ml_selected,local_scaled180,full,509,1.3391164129253668,0.0987229862475442,-9.280677000773997,0.9833209941267254,0.35579541879864174,0.05859528487229863,0.06870257475920437,0.05029469548133596,0.06839853332020433,0.014341846758349704,0.05930596904725797,143.0,356.25,134.5,221.75,8.5,71.0,207.0,59.0,148.0,12.0,12.0,25.0,6.0,19.0,6.0,0.0012770137524557995,0.020726915520628685
CAP,ml_selected,local_scaled180,2025-12,139,1.2937952726105333,0.07194244604316546,-11.076366352567366,1.1150047334929936,0.17879053911753967,0.05683453237410072,0.0,0.04460431654676259,0.040542066292334006,0.015107913669064749,0.006372121938829868,44.0,123.0,44.0,79.0,0.0,24.0,66.0,22.0,44.0,2.0,2.0,13.0,1.0,12.0,1.0,0.02805755395683454,0.07266187050359713
CAP,ml_selected,local_scaled180,2026-01,137,1.1069833788726942,0.10948905109489052,-7.273019772997022,0.833225947698046,0.2737574311746478,0.05693430656934307,0.06503936248888113,0.03576642335766424,0.06541050393805095,0.0,0.0,34.0,72.0,30.0,42.0,4.0,10.0,39.0,8.0,31.0,2.0,1.0,1.0,1.0,0.0,0.0,0.00948905109489051,0.04014598540145985
CAP,ml_selected,local_scaled180,2026-02,128,1.3544714118367651,0.0625,-10.212175670067985,1.0934792110770553,0.26099220075971,0.06171875,0.026379941651331715,0.060937500000000006,0.06138434303313045,0.015625,0.06122156833654879,32.0,101.0,31.0,70.0,1.0,16.0,64.0,13.0,51.0,3.0,2.0,2.0,0.0,2.0,2.0,0.037500000000000006,0.053125000000000006
CAP,ml_selected,local_scaled180,2026-03,105,1.683272834909359,0.16428571428571428,-8.387499768741012,0.8705469924045879,0.8127258425047712,0.05928571428571428,0.21602462247702706,0.06380952380952382,0.11772448854853237,0.030476190476190476,0.2044252623664639,33.0,60.25,29.5,30.75,3.5,21.0,38.0,16.0,22.0,5.0,7.0,9.0,4.0,5.0,3.0,0.06428571428571428,0.06428571428571428
CAP,ml_selected,local_scaled_shrink180,full,509,1.3141866405359526,0.1144400785854617,-9.07696798727029,0.9624942056724504,0.3516924348635022,0.058104125736738704,0.06736689356827474,0.045923379174852653,0.06839853332020433,0.01095284872298625,0.024575537754692508,143.0,356.25,134.75,221.5,8.25,71.0,184.75,59.0,125.75,12.0,12.0,20.25,7.25,13.0,4.75,0.014440078585461688,0.0262278978388998
CAP,ml_selected,local_scaled_shrink180,2025-12,139,1.2697520067624106,0.09352517985611511,-10.667598464978306,1.075811297025166,0.1939407097372447,0.05683453237410072,0.0,0.04028776978417266,0.040542066292334006,0.011510791366906475,0.006372121938829868,44.0,123.0,44.0,79.0,0.0,24.0,60.0,22.0,38.0,2.0,2.0,8.0,1.0,7.0,1.0,0.006474820143884896,0.06690647482014389
CAP,ml_selected,local_scaled_shrink180,2026-01,137,1.0937458800462159,0.13138686131386862,-7.063174667365836,0.8130161383085918,0.2807297417376241,0.06350364963503649,0.1318918631375336,0.029927007299270076,0.06541050393805095,0.0,0.0,34.0,71.0,29.0,42.0,5.0,10.0,31.0,8.0,23.0,2.0,1.0,1.0,1.0,0.0,0.0,0.031386861313868614,0.04014598540145985
CAP,ml_selected,local_scaled_shrink180,2026-02,128,1.328810995495619,0.078125,-9.830776982606977,1.0565872875714497,0.272223707924169,0.060937500000000006,0.026379941651331715,0.05468750000000001,0.06138434303313045,0.015625,0.06122156833654879,32.0,100.0,31.0,69.0,1.0,16.0,56.0,13.0,43.0,3.0,2.0,2.0,0.0,2.0,2.0,0.021875000000000006,0.037500000000000006
CAP,ml_selected,local_scaled_shrink180,2026-03,105,1.6428045533624192,0.16428571428571428,-8.679867958912196,0.8928133013653006,0.7499912519971185,0.049285714285714294,0.12232315280989794,0.06357142857142858,0.11772448854853237,0.01880952380952381,0.036065362100598936,33.0,62.25,30.75,31.5,2.25,21.0,37.75,16.0,21.75,5.0,7.0,9.25,5.25,4.0,1.75,0.06428571428571428,0.06428571428571428
CAP,ml_selected,local_shrink180,full,509,1.3165366404563525,0.11198428290766209,-9.051832768229724,0.9604670359508396,0.35606960450551317,0.0581532416502947,0.07090926639581742,0.0481827111984283,0.06866926577721834,0.010952848722986248,0.024575537754692508,143.0,354.0,134.5,219.5,8.5,71.0,193.75,58.75,135.0,12.25,12.0,20.25,7.25,13.0,4.75,0.011984282907662083,0.03398821218074656
