task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.05683843721888844,-0.31512531566380114,-0.15231658801050724,0.042693236011770774
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.2053381219739282,-1.1291451483921835,-0.5460408192707871,0.1464025645445897
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.2053381219739282,-1.1291451483921835,-0.4585878447764124,0.05382311399027664
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,3,577,-0.02230263329363779,-0.12388812179037548,-0.20937915369135657,0.13447611269684312
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,7,577,-0.02230263329363779,-0.12388812179037548,-0.18722829353703346,0.1159348383848804
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,3,577,-0.0012743002425378985,-0.007086844196511077,-0.12473144802672557,0.12929690604366584
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,7,577,-0.0012743002425378985,-0.007086844196511077,-0.1210979980453604,0.11812909363564007
observed_change,joint_ols,without_positioning,linear_qr,0.1,add_residual,3,577,-0.02248491058557716,-0.23738085582170668,-0.1579899656313747,0.12222118880536555
observed_change,joint_ols,without_positioning,linear_qr,0.1,add_residual,7,577,-0.02248491058557716,-0.23738085582170668,-0.13428392182938678,0.08981604137558137
observed_change,joint_ols,without_positioning,linear_qr,0.5,add_residual,3,577,0.008016952795619302,0.04594942289845334,-0.037582380143984497,0.05024424820434555
observed_change,joint_ols,without_positioning,linear_qr,0.5,add_residual,7,577,0.008016952795619302,0.04594942289845334,-0.02637025549878452,0.04420117405474281
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.18862972086701707,2.0399544368834186,-0.021026010844395916,0.4152867519312229
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.18862972086701707,2.0399544368834186,-0.008652298451387397,0.38957418070021027
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.04765715876059021,-0.26025265784028223,-0.2084591356936861,0.11777476042329242
observed_change,joint_ols,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.04765715876059021,-0.26025265784028223,-0.17514581099891405,0.08386476975386764
observed_change,joint_ols,with_positioning,linear_qr,0.1,add_residual,3,577,-0.011485062129870324,-0.12218597068325063,-0.1461406160675844,0.13231697768672623
observed_change,joint_ols,with_positioning,linear_qr,0.1,add_residual,7,577,-0.011485062129870324,-0.12218597068325063,-0.1251485572291088,0.09731070972769842
observed_change,joint_ols,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.061425699967718225,-0.650035085191468,-0.10029787368360574,-0.024233892296922688
observed_change,joint_ols,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.061425699967718225,-0.650035085191468,-0.09253745463701579,-0.03257043758080961
observed_change,joint_ols,with_positioning,linear_qr,0.5,add_residual,3,577,0.013104543962872521,0.07510911536992379,-0.034960203789878,0.05656464146142638
observed_change,joint_ols,with_positioning,linear_qr,0.5,add_residual,7,577,0.013104543962872521,0.07510911536992379,-0.02194644821532202,0.049751559853938115
observed_change,joint_ols,with_positioning,linear_qr,0.5,add_positioning,3,577,0.005087591167253142,0.02914629991486286,-0.000459062506376795,0.013099542755533662
observed_change,joint_ols,with_positioning,linear_qr,0.5,add_positioning,7,577,0.005087591167253142,0.02914629991486286,-0.00028444792075349136,0.012531172937163338
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.1987941030305385,2.22286353427079,-0.06098641460847977,0.4677798484440006
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.1987941030305385,2.22286353427079,0.001520710406429988,0.41191482081160974
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.2934433595636752,-3.1100285472035147,-0.5649330351676123,-0.03891649247491828
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.2934433595636752,-3.1100285472035147,-0.551002247077708,-0.049545095368290555
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.04106946400551597,-0.2276985160418955,-0.2112037083764228,0.13497981324483083
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.04106946400551597,-0.2276985160418955,-0.18075775271890507,0.1098140670281672
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.26852118141441855,-1.4702030254334022,-0.623906127064967,0.0892437033760547
observed_change,joint_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.26852118141441855,-1.4702030254334022,-0.5333778034703388,0.0031350562459553245
own_residual,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,3,577,0.005250828299553227,0.3061658066497468,0.002207948844591834,0.008567957322306282
own_residual,sequential_ols,with_positioning,linear_qr,0.1,add_positioning,7,577,0.005250828299553227,0.3061658066497468,0.002710690266821256,0.007806087549915097
own_residual,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,3,577,-0.017776159544415117,-0.45301095419584475,-0.043795345727647574,0.003965596154952064
own_residual,sequential_ols,with_positioning,linear_qr,0.5,add_positioning,7,577,-0.017776159544415117,-0.45301095419584475,-0.04415788591965602,0.002583450468542494
