model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
tcn_shuffled_20260911_cal,2026-02,672,1.8802031201802198,1.8097004514658321,0.7633928571428571,26.188283487091137,1.956162320070842,0.9167341675077166,2.0750112424150537,2.401933702684584,2.1196347500267647,2.976670964842751
tcn_shuffled_20260911_cal,2026-03,443,1.8880373402428032,1.8475377406459983,0.7832957110609481,28.662007764214156,1.9785443287013225,1.1393618938885208,2.062514039722554,2.2724630881109302,2.0593895599795107,2.2336413532024584
tcn_shuffled_20260912_raw,2026-01,699,1.3950115330530999,1.3425132449126846,0.8054363376251789,21.28858543772554,1.4247917786975641,0.4458577820500932,1.4477488987274583,0.8465610294041886,1.4618510006497982,1.0859346212406187
tcn_shuffled_20260912_raw,2026-02,672,1.8140882513801733,1.776841120661276,0.7470238095238095,24.56596417050986,1.9355152099048127,1.3800804827894484,2.0901019194224966,3.640488312357948,2.158097420350317,4.726484687555404
tcn_shuffled_20260912_raw,2026-03,443,1.829348991042796,1.823262354672039,0.7336343115124153,24.968931117391477,1.9386095957918081,1.4767970306878704,2.0332578498240057,2.436979905208131,2.051864377226713,2.4654902722980854
tcn_shuffled_20260912_cal,2026-01,699,1.412005452171079,1.3511029166285873,0.8082975679542204,22.024831255736956,1.4396969512998918,0.4458577820500932,1.461807480625609,0.8465610294041886,1.474341338624146,1.0859346212406187
tcn_shuffled_20260912_cal,2026-02,672,1.7965375996345316,1.7782225349596033,0.7693452380952381,25.920332372393247,1.9061286473564976,1.3800804827894484,2.050855293927256,3.640488312357948,2.115354376122249,4.726484687555404
tcn_shuffled_20260912_cal,2026-03,443,1.8218500529631514,1.791289487195724,0.8103837471783296,27.841420267626273,1.9165385751833146,1.4767970306878704,2.0075779942686682,2.436979905208131,2.024801307070596,2.4654902722980854
tcn_shuffled_ensemble_raw,2026-01,699,1.3823295301656149,1.3301341667476099,0.8297567954220315,21.62847466382403,1.4438435122560052,0.9038682370511019,1.5159175489581418,2.083338814118276,1.5518738125130793,2.669933205396718
tcn_shuffled_ensemble_raw,2026-02,672,1.8861085254133674,1.7904427429717222,0.7261904761904762,24.322006488958046,1.989739346688614,1.0982118045526839,2.137830056556258,2.8918257298923673,2.2123614188176566,3.8208108643690744
tcn_shuffled_ensemble_raw,2026-03,443,1.8256109072589364,1.8141950610983308,0.7471783295711061,25.580892563225007,1.9058352375480958,1.077682891943295,1.9758416071364875,1.8208042213663829,1.9781246554264875,1.6828543381012862
tcn_shuffled_ensemble_cal,2026-01,699,1.4066168692880798,1.332520318187081,0.82689556509299,22.173333259986016,1.468342326837663,0.9038682370511021,1.5380427203878788,2.0833388141182754,1.5728626537829826,2.6699332053967186
tcn_shuffled_ensemble_cal,2026-02,672,1.8358096698394122,1.789927019624868,0.7544642857142857,25.506554975129553,1.928945033235548,1.0982118045526839,2.0627294657074304,2.8918257298923677,2.131189730708494,3.8208108643690744
tcn_shuffled_ensemble_cal,2026-03,443,1.8574261114188493,1.8138760189128569,0.7945823927765236,28.80326973451804,1.9345365829438523,1.0776828919432953,2.0047298793424977,1.8208042213663829,2.0072335098277736,1.6828543381012855
tcn_tick_20260910_raw,2026-01,699,1.4175950813772948,1.3807942883486095,0.759656652360515,19.700160508844814,1.4389860132525856,0.21091659352162023,1.4434176336676035,0.25826006658769646,1.4466657435055734,0.2924862208113991
tcn_tick_20260910_raw,2026-02,672,1.923493394240805,1.792729970139381,0.6964285714285714,22.809295108630543,2.0236797801244975,1.019709513300941,2.160073849331548,2.465024845940726,2.2446927408491355,3.3566415764036632
tcn_tick_20260910_raw,2026-03,443,1.8034145710901195,1.7744850677341872,0.7607223476297968,26.227613307014277,1.8718091622647735,0.8291566301952904,1.9571575131368613,2.0252346163678654,1.966641365042499,1.9926964434759342
tcn_tick_20260910_cal,2026-01,699,1.4290526774949417,1.3730344478024632,0.8082975679542204,21.70750152780006,1.4474689251800634,0.21091659352162023,1.4510756687079627,0.25826006658769646,1.4537911458579054,0.2924862208113991
tcn_tick_20260910_cal,2026-02,672,1.8517960743530046,1.8142401398236458,0.7708333333333334,26.313669805415536,1.9372459836581435,1.019709513300941,2.0520199623728312,2.465024845940726,2.124197576348448,3.3566415764036632
tcn_tick_20260910_cal,2026-03,443,1.8399315175705298,1.7621227551739238,0.8306997742663657,30.28902573061172,1.8995755803745136,0.8291566301952904,1.9813008716676141,2.0252346163678654,1.990484302009266,1.9926964434759342
tcn_tick_20260911_raw,2026-01,699,1.4051975452226977,1.3527022204318466,0.8354792560801144,22.595581304361893,1.4956052740645347,1.4315244677411298,1.5912049088004439,3.004885635321403,1.6276476835589844,3.625472972662493
