method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
pca_2,mean_market,ridge,clock_UTC_quote,2026-01,346,41.8226781976747,50.01351762960499,47.199192384518376,-0.19584684159193078,-0.0596265550935513
pca_2,mean_market,ridge,clock_UTC_quote,2026-02,324,48.914751114349194,51.71685036039439,49.83974858131326,-0.057285362435856246,-0.03766274575038531
pca_2,mean_market,ridge,clock_UTC_quote,2026-03,237,58.44175995131083,53.941861949919875,60.451817106748074,0.07699798919710699,0.10768832879469403
sequential_ols,all_references,lightgbm,clock_UTC_quote,all,907,92.68664849078839,85.80687873071481,94.96183104849509,0.07422611424726733,0.09640665324897768
sequential_ols,all_references,lightgbm,clock_UTC_quote,2026-01,346,71.71588740129839,68.81394827873274,75.92352274466931,0.04046438282674181,0.09364126174500709
sequential_ols,all_references,lightgbm,clock_UTC_quote,2026-02,324,99.06976441068149,80.37357276004094,99.3977303955044,0.1887174332335927,0.19139428596373553
sequential_ols,all_references,lightgbm,clock_UTC_quote,2026-03,237,114.57590494191996,118.04293388212469,116.69188710205077,-0.03025966883667386,-0.011577898118078966
sequential_ols,all_references,ridge,clock_UTC_quote,all,907,92.68664849078839,49.57892348219695,94.96183104849509,0.4650909889451411,0.477906829146144
sequential_ols,all_references,ridge,clock_UTC_quote,2026-01,346,71.71588740129839,46.941104851841736,75.92352274466931,0.34545737976893687,0.3817317327371045
sequential_ols,all_references,ridge,clock_UTC_quote,2026-02,324,99.06976441068149,49.2066236053129,99.3977303955044,0.5033134085054154,0.5049522417713228
sequential_ols,all_references,ridge,clock_UTC_quote,2026-03,237,114.57590494191996,53.938883002084474,116.69188710205077,0.529230137615524,0.5377666404956396
sequential_ols,mean_market,lightgbm,clock_UTC_quote,all,907,92.68664849078839,95.71943822735312,94.96183104849509,-0.032720891152582254,-0.007978017804554982
sequential_ols,mean_market,lightgbm,clock_UTC_quote,2026-01,346,71.71588740129839,76.08763034869696,75.92352274466931,-0.06095919754761936,-0.0021614856383778136
sequential_ols,mean_market,lightgbm,clock_UTC_quote,2026-02,324,99.06976441068149,99.81079799001294,99.3977303955044,-0.0074799166399508454,-0.004155704490081957
sequential_ols,mean_market,lightgbm,clock_UTC_quote,2026-03,237,114.57590494191996,118.78696971643856,116.69188710205077,-0.036753493473634435,-0.017953969778169654
sequential_ols,mean_market,ridge,clock_UTC_quote,all,907,92.68664849078839,94.13173811560439,94.96183104849509,-0.015591130420036903,0.008741332425095893
sequential_ols,mean_market,ridge,clock_UTC_quote,2026-01,346,71.71588740129839,76.35545200253343,75.92352274466931,-0.06469367903479406,-0.0056890044382778004
sequential_ols,mean_market,ridge,clock_UTC_quote,2026-02,324,99.06976441068149,102.364884909936,99.3977303955044,-0.033260606996045716,-0.02985133063526968
sequential_ols,mean_market,ridge,clock_UTC_quote,2026-03,237,114.57590494191996,108.82817454496771,116.69188710205077,0.05016526293085666,0.06738868272998277
ae_selected,all_references,lightgbm,clock_NY_quote,all,907,87.33233003085331,89.00903423290394,465.0742552664467,-0.019199123640217364,0.8086132843842118
