method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
pca_1,mean_market,lightgbm,clock_NY_quote,2026-03,237,130.08087504105498,135.98049704916687,133.58720416797158,-0.04535349263486976,-0.017915584775514803
pca_1,mean_market,ridge,clock_NY_quote,all,907,99.31929872767017,103.69911303193923,103.76238930187324,-0.04409832087395582,0.0006098189368974882
pca_1,mean_market,ridge,clock_NY_quote,2026-01,346,70.78541999316114,83.09491028506893,79.40967967076982,-0.17389866858312142,-0.04640782621939765
pca_1,mean_market,ridge,clock_NY_quote,2026-02,324,107.28913964084282,111.71053219252617,107.95237821883768,-0.041210066242345134,-0.034813072538986356
pca_1,mean_market,ridge,clock_NY_quote,2026-03,237,130.08087504105498,122.82719042597707,133.58720416797158,0.05576288299712451,0.08054673955497227
pca_2,all_references,lightgbm,clock_NY_quote,all,907,49.89529735015588,52.37103446803174,54.03062307573804,-0.04961864643278102,0.03071570367382137
pca_2,all_references,lightgbm,clock_NY_quote,2026-01,346,43.77756634748303,48.12749751495332,51.37150739195105,-0.09936438980967677,0.06314803753463549
pca_2,all_references,lightgbm,clock_NY_quote,2026-02,324,45.4227310667157,48.30576924421508,46.816646562842365,-0.06347126449232765,-0.03180754690265686
pca_2,all_references,lightgbm,clock_NY_quote,2026-03,237,64.9410627626429,64.12381808947362,67.7748526823562,0.012584405588745629,0.05387004837906573
pca_2,all_references,ridge,clock_NY_quote,all,907,49.89529735015588,56.29553604263762,54.03062307573804,-0.1282733851161577,-0.041919060672772845
pca_2,all_references,ridge,clock_NY_quote,2026-01,346,43.77756634748303,59.518942410584444,51.37150739195105,-0.3595763167407422,-0.15859832487434367
pca_2,all_references,ridge,clock_NY_quote,2026-02,324,45.4227310667157,52.058736151490095,46.816646562842365,-0.14609436572687828,-0.11197063381315076
pca_2,all_references,ridge,clock_NY_quote,2026-03,237,64.9410627626429,57.38171562669756,67.7748526823562,0.11640319413272404,0.15334798445625064
pca_2,mean_market,lightgbm,clock_NY_quote,all,907,49.89529735015588,51.5937884975005,54.03062307573804,-0.034041106828664125,0.045100989763188215
pca_2,mean_market,lightgbm,clock_NY_quote,2026-01,346,43.77756634748303,47.341783994390774,51.37150739195105,-0.08141653235396595,0.07844277114188125
pca_2,mean_market,lightgbm,clock_NY_quote,2026-02,324,45.4227310667157,46.934850148852824,46.816646562842365,-0.03328991997236286,-0.0025248195821072628
pca_2,mean_market,lightgbm,clock_NY_quote,2026-03,237,64.9410627626429,64.1705377930187,67.7748526823562,0.011864988604212479,0.05318071152777015
pca_2,mean_market,ridge,clock_NY_quote,all,907,49.89529735015588,53.77030824763554,54.03062307573804,-0.07766284806933932,0.00481791275546839
