method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high,scenario
pca_2,all_references,lightgbm,3,907,-1.064978716455059,-2.063697068380961,-3.902806904335632,1.6414253848227036,clock_FXUTC_USNY_quote
pca_2,all_references,lightgbm,7,907,-1.064978716455059,-2.063697068380961,-3.620121013481627,1.7059067262688596,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,3,907,626.3406149026679,155.0891273036667,417.5225235722789,857.1783720386729,clock_FXUTC_USNY_quote
ae_selected,mean_market,ridge,7,907,626.3406149026679,155.0891273036667,407.5626145294086,868.3155661653152,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,3,907,-326.74705328116744,-80.90632179472462,-359.8812377219377,-295.9396188621618,clock_FXUTC_USNY_quote
ae_selected,mean_market,lightgbm,7,907,-326.74705328116744,-80.90632179472462,-352.35544627136005,-302.1216245300268,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,3,907,661.5191915032402,163.7997467572938,449.7757971468227,890.8410587239897,clock_FXUTC_USNY_quote
ae_selected,all_references,ridge,7,907,661.5191915032402,163.7997467572938,440.5444228027632,892.1157916397412,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,3,907,-328.99373600334656,-81.46262623103381,-362.2921787232577,-298.2388074026742,clock_FXUTC_USNY_quote
ae_selected,all_references,lightgbm,7,907,-328.99373600334656,-81.46262623103381,-354.63800479783646,-303.91357970828903,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,3,907,-1.039561596897248,-1.0912880040941864,-4.532278051486928,2.640778496892608,clock_FXUTC_USNY_quote
joint_ols,mean_market,ridge,7,907,-1.039561596897248,-1.0912880040941864,-3.771022184433867,1.7341880603400737,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,3,907,0.3147482162240699,0.3304094280709765,-2.4277438609617947,3.026345264173097,clock_FXUTC_USNY_quote
joint_ols,mean_market,lightgbm,7,907,0.3147482162240699,0.3304094280709765,-1.9868391660564664,2.8315774045645963,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,3,907,-45.58939511410598,-47.85782790594126,-54.17953668229894,-37.4574400064148,clock_FXUTC_USNY_quote
joint_ols,all_references,ridge,7,907,-45.58939511410598,-47.85782790594126,-51.06849446240018,-40.531325983167136,clock_FXUTC_USNY_quote
joint_ols,all_references,lightgbm,3,907,-9.364835983038832,-9.830810602375497,-15.568995904590006,-3.882914592863399,clock_FXUTC_USNY_quote
joint_ols,all_references,lightgbm,7,907,-9.364835983038832,-9.830810602375497,-14.931190008809663,-4.089592427003068,clock_FXUTC_USNY_quote
