model,month,epoch,train_loss_scaled,clean_loss_scaled,candidate_mean_loss_scaled,candidate_max_loss_scaled,argmax_counts
tcn_tick_mean_20260910,2026-01,1,0.19951910999573982,0.19951628854025405,0.1995219390714708,0.20074689894336512,"[128, 0, 0, 12, 3, 59, 35, 126, 31, 1551, 1612]"
tcn_tick_max_20260910,2026-01,1,0.20004094031576297,0.19983997052058364,0.199842279283123,0.20024191073095124,"[128, 0, 0, 145, 70, 402, 289, 342, 328, 695, 1158]"
tcn_shuffled_mean_20260910,2026-01,1,0.1995268265853144,0.19952050808661098,0.19953314262911748,0.20197811710187683,"[128, 0, 0, 6, 19, 19, 34, 60, 95, 1607, 1589]"
tcn_shuffled_max_20260910,2026-01,1,0.200361910615706,0.20006848547878914,0.20006847699974775,0.20065533123661167,"[128, 2, 0, 79, 83, 134, 131, 197, 189, 1062, 1552]"
tcn_tick_mean_20260911,2026-01,1,0.19998490633189026,0.1999851369333294,0.19998467014199198,0.20052811446436544,"[128, 1, 0, 255, 456, 43, 58, 167, 135, 1285, 1029]"
tcn_tick_mean_20260911,2026-01,2,0.19426183036397876,0.19425379185988925,0.19426986994051618,0.19731348154750605,"[0, 0, 0, 326, 215, 109, 52, 202, 80, 1169, 1404]"
tcn_tick_mean_20260911,2026-01,3,0.18542436185448163,0.1853855874285726,0.18546314463375457,0.19351275027686368,"[0, 0, 0, 86, 15, 78, 9, 182, 12, 1382, 1793]"
tcn_tick_mean_20260911,2026-01,4,0.18231040286253702,0.18226174424966132,0.1823590620116367,0.19214829458156796,"[0, 0, 0, 35, 5, 68, 7, 160, 10, 1512, 1760]"
tcn_tick_max_20260911,2026-01,1,0.20023425673714573,0.2000581029847595,0.20005598430104693,0.2004104079215219,"[128, 0, 0, 341, 471, 58, 87, 254, 153, 975, 1090]"
tcn_tick_max_20260911,2026-01,2,0.19594461132979374,0.1953021459132726,0.19530487198792115,0.19658707632320063,"[0, 0, 0, 489, 453, 137, 80, 441, 222, 662, 1073]"
tcn_tick_max_20260911,2026-01,3,0.18789023634738589,0.1867688875504012,0.1867858618707311,0.18901159019660574,"[0, 0, 0, 267, 290, 125, 90, 574, 457, 621, 1133]"
tcn_tick_max_20260911,2026-01,4,0.18372222515582903,0.18262564040048088,0.18264291322998763,0.18481880914873375,"[0, 0, 0, 158, 244, 112, 99, 633, 710, 580, 1021]"
tcn_shuffled_mean_20260911,2026-01,1,0.19999056816989194,0.199987492020592,0.19999364355674848,0.20125882165432646,"[128, 0, 0, 86, 97, 142, 138, 216, 192, 1284, 1274]"
tcn_shuffled_mean_20260911,2026-01,2,0.19425540528238439,0.19423069871306453,0.19428011882261578,0.20090187597566353,"[0, 0, 0, 67, 17, 119, 38, 208, 75, 1405, 1628]"
tcn_shuffled_mean_20260911,2026-01,3,0.18548480228389755,0.18539994109672275,0.18556966541907344,0.1983772174617297,"[0, 0, 0, 30, 1, 48, 3, 136, 10, 1499, 1830]"
tcn_shuffled_mean_20260911,2026-01,4,0.18237121913886856,0.18227043315571348,0.18247200297712776,0.19683724974426353,"[0, 0, 0, 20, 1, 54, 4, 123, 11, 1553, 1791]"
tcn_shuffled_max_20260911,2026-01,1,0.20054494126864555,0.20027106868389585,0.20027168713026178,0.20081882234919363,"[128, 0, 0, 100, 78, 149, 145, 231, 205, 1228, 1293]"
tcn_shuffled_max_20260911,2026-01,2,0.19686363665934256,0.1958864916986316,0.19589529792462168,0.19784078526051152,"[0, 2, 0, 69, 46, 144, 74, 205, 160, 1291, 1566]"
tcn_shuffled_max_20260911,2026-01,3,0.18898633507017276,0.18731924803916544,0.1873467933865186,0.1906534085824713,"[0, 1, 0, 111, 48, 168, 68, 271, 116, 1099, 1675]"
tcn_shuffled_max_20260911,2026-01,4,0.1852240224785439,0.1835211383716625,0.18354208100904465,0.18692690788409266,"[0, 4, 0, 103, 62, 150, 100, 215, 153, 1203, 1567]"
tcn_tick_mean_20260912,2026-01,1,0.19844503442256478,0.19844091736201258,0.19844914408909126,0.20019096033037598,"[128, 0, 0, 30, 15, 367, 65, 246, 38, 1159, 1509]"
tcn_tick_max_20260912,2026-01,1,0.19937782343147106,0.19908299418373124,0.19908697669815073,0.199672644325847,"[128, 0, 0, 77, 37, 572, 125, 255, 69, 912, 1382]"
tcn_shuffled_mean_20260912,2026-01,1,0.1985568651572888,0.19855172182272282,0.1985620049645065,0.20129686350195067,"[128, 0, 0, 46, 7, 94, 9, 174, 44, 1417, 1638]"
tcn_shuffled_max_20260912,2026-01,1,0.19964858009837336,0.19925281836522707,0.19925470620871327,0.20004433424059917,"[128, 1, 0, 76, 46, 134, 68, 231, 145, 1028, 1700]"
gru_tick_mean_20260910,2026-01,1,0.19762984338371747,0.1976265279067712,0.19763316080866486,0.19890950213817188,"[128, 0, 0, 57, 6, 121, 12, 790, 80, 893, 1470]"
gru_tick_mean_20260910,2026-01,2,0.19029146012694842,0.1902737037114022,0.19030921244959767,0.19519249682668424,"[0, 0, 0, 41, 4, 108, 5, 807, 78, 890, 1624]"
gru_tick_mean_20260910,2026-01,3,0.1870352405282866,0.1870105590902757,0.18705992656609366,0.19455222244640732,"[0, 0, 0, 11, 2, 69, 2, 863, 77, 870, 1663]"
gru_tick_max_20260910,2026-01,1,0.19826585856219975,0.19796320636402465,0.19796856640009924,0.19856851417461338,"[128, 0, 0, 45, 16, 164, 117, 925, 400, 647, 1115]"
gru_tick_max_20260910,2026-01,2,0.19202431452837357,0.19113973178553856,0.19115252924796602,0.19290889823054677,"[0, 0, 0, 48, 24, 149, 148, 1092, 767, 459, 870]"
gru_tick_max_20260910,2026-01,3,0.1885617701548822,0.1873829213293342,0.18739402974074162,0.1897406291686855,"[0, 0, 0, 15, 5, 89, 78, 1232, 1092, 359, 687]"
gru_shuffled_mean_20260910,2026-01,1,0.1976342457196067,0.19762360182896335,0.19764488961025004,0.20043114813016913,"[128, 0, 0, 38, 1, 125, 2, 219, 25, 1404, 1615]"
gru_shuffled_mean_20260910,2026-01,2,0.19033046398130668,0.19027170905880555,0.19038921805757936,0.20064424933477637,"[0, 0, 0, 26, 1, 103, 1, 201, 19, 1488, 1718]"
gru_shuffled_mean_20260910,2026-01,3,0.18711388858895575,0.1870113678961481,0.18721641752201754,0.20202562287512676,"[0, 0, 0, 44, 1, 132, 4, 242, 18, 1373, 1743]"
gru_shuffled_max_20260910,2026-01,1,0.19894284420898867,0.1984486127246589,0.198460875651392,0.19943707408464656,"[128, 0, 0, 104, 28, 183, 57, 268, 111, 1092, 1586]"
gru_shuffled_max_20260910,2026-01,2,0.1939165982045181,0.19258388786427186,0.19261391262744026,0.19524930383185843,"[0, 0, 0, 122, 47, 174, 78, 270, 158, 1051, 1657]"
