model,family,placement,aggregation,seed,month,epochs,n_train,n_forecast,n_parameters,last_training_target,first_test_origin,initial_parameter_hash,candidate_hash,batch_order_hash,final_torch_rng_hash,optimizer_steps
tcn_tick_mean_20260912,tcn,tick,mean,20260912,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,19a5a3cb0cfdb30376b01050677c256a5148923383304b209ed66fb81222a10d,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,026c3076eb905ec0c06ac888963c1da45608ff13fa836bd2f8ab910bfc3ae7c1,d70f74cc8624e83194506a09100120594fb64c4d5f50798cc6b372b3914ade06,28
tcn_tick_max_20260912,tcn,tick,max,20260912,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,19a5a3cb0cfdb30376b01050677c256a5148923383304b209ed66fb81222a10d,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,026c3076eb905ec0c06ac888963c1da45608ff13fa836bd2f8ab910bfc3ae7c1,d70f74cc8624e83194506a09100120594fb64c4d5f50798cc6b372b3914ade06,28
tcn_shuffled_mean_20260912,tcn,shuffled,mean,20260912,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,19a5a3cb0cfdb30376b01050677c256a5148923383304b209ed66fb81222a10d,3993574d06ed07bfcac99b5e91e1bbbcae8da308e04c79a43570952ef8c7f277,026c3076eb905ec0c06ac888963c1da45608ff13fa836bd2f8ab910bfc3ae7c1,d70f74cc8624e83194506a09100120594fb64c4d5f50798cc6b372b3914ade06,28
tcn_shuffled_max_20260912,tcn,shuffled,max,20260912,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,19a5a3cb0cfdb30376b01050677c256a5148923383304b209ed66fb81222a10d,3993574d06ed07bfcac99b5e91e1bbbcae8da308e04c79a43570952ef8c7f277,026c3076eb905ec0c06ac888963c1da45608ff13fa836bd2f8ab910bfc3ae7c1,d70f74cc8624e83194506a09100120594fb64c4d5f50798cc6b372b3914ade06,28
gru_tick_mean_20260910,gru,tick,mean,20260910,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,5884a18cc92c2a221c7684dc71ee43ab4a87523f51c71280c76ba86c8c7276a1,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,9b3e31c2bc9ea594948b6893475b6b8839dc7493a899ecf25207c24ad4dc8a82,8c9d16f6c39a55ea24343793858cb288b839f8208a5c667121abc37d92cd4c63,84
gru_tick_max_20260910,gru,tick,max,20260910,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,5884a18cc92c2a221c7684dc71ee43ab4a87523f51c71280c76ba86c8c7276a1,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,9b3e31c2bc9ea594948b6893475b6b8839dc7493a899ecf25207c24ad4dc8a82,8c9d16f6c39a55ea24343793858cb288b839f8208a5c667121abc37d92cd4c63,84
gru_shuffled_mean_20260910,gru,shuffled,mean,20260910,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,5884a18cc92c2a221c7684dc71ee43ab4a87523f51c71280c76ba86c8c7276a1,9e122eb95d778ed8c17d425b6f63d9ac4dc711fe96ce9b3e478f133eca3d0ac8,9b3e31c2bc9ea594948b6893475b6b8839dc7493a899ecf25207c24ad4dc8a82,8c9d16f6c39a55ea24343793858cb288b839f8208a5c667121abc37d92cd4c63,84
gru_shuffled_max_20260910,gru,shuffled,max,20260910,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,5884a18cc92c2a221c7684dc71ee43ab4a87523f51c71280c76ba86c8c7276a1,9e122eb95d778ed8c17d425b6f63d9ac4dc711fe96ce9b3e478f133eca3d0ac8,9b3e31c2bc9ea594948b6893475b6b8839dc7493a899ecf25207c24ad4dc8a82,8c9d16f6c39a55ea24343793858cb288b839f8208a5c667121abc37d92cd4c63,84
gru_tick_mean_20260911,gru,tick,mean,20260911,2026-01,1,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,52f17f7bc6f95327461857a173f90fd683916c34b5fa38cb04956b0700be27d9,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,180c57dbb58f19b11bf34b405fc8dd14ec09b13aaef95f09fe1ef151138608f6,f0e9a0cc042889ad7f33d038345c160b62aeae4eb6b359c922c61a68b01caa6d,28
gru_tick_max_20260911,gru,tick,max,20260911,2026-01,1,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,52f17f7bc6f95327461857a173f90fd683916c34b5fa38cb04956b0700be27d9,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,180c57dbb58f19b11bf34b405fc8dd14ec09b13aaef95f09fe1ef151138608f6,f0e9a0cc042889ad7f33d038345c160b62aeae4eb6b359c922c61a68b01caa6d,28
gru_shuffled_mean_20260911,gru,shuffled,mean,20260911,2026-01,1,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,52f17f7bc6f95327461857a173f90fd683916c34b5fa38cb04956b0700be27d9,7881957c18dc314d89e48aa482948071e127707de8590fe361852f3b2e866ff7,180c57dbb58f19b11bf34b405fc8dd14ec09b13aaef95f09fe1ef151138608f6,f0e9a0cc042889ad7f33d038345c160b62aeae4eb6b359c922c61a68b01caa6d,28
gru_shuffled_max_20260911,gru,shuffled,max,20260911,2026-01,1,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,52f17f7bc6f95327461857a173f90fd683916c34b5fa38cb04956b0700be27d9,7881957c18dc314d89e48aa482948071e127707de8590fe361852f3b2e866ff7,180c57dbb58f19b11bf34b405fc8dd14ec09b13aaef95f09fe1ef151138608f6,f0e9a0cc042889ad7f33d038345c160b62aeae4eb6b359c922c61a68b01caa6d,28
gru_tick_mean_20260912,gru,tick,mean,20260912,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,9099262f1a6888c66632c31047b5933fcc3dd017f27de32ac066c4a1ef6d777a,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,a74d1a9e64e9550ac511f0771edff79484d2e0765d87df5f71ed51909b3750fb,bd11b47a5d453972bdb119a9d2759b7754967d9513e58ab2a2582b8295e63698,84
gru_tick_max_20260912,gru,tick,max,20260912,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,9099262f1a6888c66632c31047b5933fcc3dd017f27de32ac066c4a1ef6d777a,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,a74d1a9e64e9550ac511f0771edff79484d2e0765d87df5f71ed51909b3750fb,bd11b47a5d453972bdb119a9d2759b7754967d9513e58ab2a2582b8295e63698,84
gru_shuffled_mean_20260912,gru,shuffled,mean,20260912,2026-01,3,3557,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,9099262f1a6888c66632c31047b5933fcc3dd017f27de32ac066c4a1ef6d777a,3993574d06ed07bfcac99b5e91e1bbbcae8da308e04c79a43570952ef8c7f277,a74d1a9e64e9550ac511f0771edff79484d2e0765d87df5f71ed51909b3750fb,bd11b47a5d453972bdb119a9d2759b7754967d9513e58ab2a2582b8295e63698,84
