model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
tcn_tick_20260910_raw,False,False,1814,77,2.727366446463663,1.7443245360867974,1.6992277716678463,1.6295405912324077,0.7364939360529217,22.44602602187959,1.7612874831259728,0.6615170225944645,1.8343656731003772,1.5072764156934577,1.8692805960721286,1.84282002874877,0.06205971145812642
tcn_tick_20260910_cal,False,False,1814,77,3.009335116055059,2.568981750512794,1.6860002457651204,1.6314999082235173,0.7998897464167586,25.509574462972697,1.7393175644018999,0.6615170225944645,1.803183899277928,1.5072764156934577,1.8332113164558643,1.84282002874877,0.05331731863677967
tcn_tick_20260911_raw,False,False,1814,77,3.893326435842032,2.258167856288878,1.7242688716398782,1.6594239148993526,0.7783902976846747,24.718478486188324,1.8089265700912827,1.1134858662396045,1.9152289456037013,2.5624756224231655,1.9531433653527441,3.0598367064895546,0.08465769845140442
tcn_tick_20260911_cal,False,False,1814,77,3.547522477625734,3.3356362529731176,1.7264855390595304,1.6637741777925374,0.7998897464167586,25.744580805290397,1.8084626781615534,1.1134858662396045,1.9102512562125704,2.5624756224231655,1.9460782720460843,3.0598367064895546,0.08197713910202283
tcn_tick_20260912_raw,False,False,1814,77,2.3707681605452873,2.232091111979475,1.6654674362551087,1.6311284057251607,0.7701212789415656,23.60974176361122,1.7505779094774516,0.9527492838631392,1.8368558082474031,2.1598659586880147,1.873247378737689,2.7096747663344414,0.08511047322234247
tcn_tick_20260912_cal,False,False,1814,77,2.7193541120194022,2.4423600272043333,1.6623048489372219,1.6198382964288685,0.7921719955898566,25.07904098875472,1.7395567711815334,0.9527492838631392,1.8208029914526158,2.1598659586880147,1.8545923502843378,2.7096747663344414,0.07725192224431154
tcn_tick_ensemble_raw,True,False,1814,77,2.7411344949361247,1.8495338432311568,1.67586617501896,1.6145184347972479,0.7684674751929438,23.591415423893043,1.7497422445705937,0.8560238438290475,1.8396452214329284,2.0092935150311915,1.876557482857712,2.48199393599404,0.07387606955163335
tcn_tick_ensemble_cal,True,False,1814,77,2.889078335320294,2.68593208264248,1.677811138486104,1.6188088886933727,0.7976846747519294,25.433229822382938,1.7454092921923603,0.8560238438290475,1.8295431116600127,2.009293515031191,1.8635638110361643,2.48199393599404,0.06759815370625612
gru_clean_20260910_raw,False,False,1814,77,2.472256441308862,1.9069837045956208,1.650784167592024,1.6160973125913174,0.7866593164277839,23.807541982867356,1.732695121621748,1.0347494266787596,1.8281768931988234,2.220047765950515,1.8416380551660843,2.394710556543386,0.0819109540297239
gru_clean_20260910_cal,False,False,1814,77,2.8424214506696934,2.513298239959156,1.6551770393030534,1.6131157511252774,0.8031973539140022,25.00814251568453,1.731918992861945,1.0347494266787596,1.8210150930406592,2.220047765950515,1.8337134332833644,2.394710556543386,0.07674195355889157
gru_clean_20260911_raw,False,False,1814,77,2.4619424094406566,1.6795426346369862,1.6724265931228421,1.612060264445509,0.7690187431091511,23.78621265670036,1.7334298395409324,0.7972940473335712,1.7983844903542159,1.6048105259845906,1.8110917350626443,1.7409845371099133,0.061003246418090226
gru_clean_20260911_cal,False,False,1814,77,2.390506507870105,2.3808060625631584,1.669044537362583,1.6186890090846067,0.8015435501653804,25.49385166652936,1.7239895103962437,0.7972940473335712,1.7825575751220166,1.6048105259845906,1.7946124264600676,1.7409845371099133,0.05494497303366083
gru_clean_20260912_raw,False,False,1814,77,2.7507704944846885,1.8659924246475494,1.6453003594052544,1.6100086659018509,0.7943770672546858,24.125263036151704,1.7323323894838953,1.0844555279648684,1.8601976293347307,2.4638094694375203,1.8769746527025932,2.630927918632869,0.08703203007864069
gru_clean_20260912_cal,False,False,1814,77,3.189219545239411,2.389700129597448,1.653491338292528,1.6064052704120384,0.8015435501653804,25.02046524084819,1.7354169368317973,1.0844555279648684,1.854347688070797,2.4638094694375203,1.8698701596535703,2.630927918632869,0.08192559853926919
gru_clean_ensemble_raw,True,False,1814,77,2.363777226170537,1.7002350736625047,1.6471390133577322,1.601925392631842,0.7855567805953694,23.906339225239808,1.7226032524129555,0.9667340264255534,1.8191398239537555,2.091281173598105,1.8334109313578668,2.2474403866771735,0.075464239055223
gru_clean_ensemble_cal,True,False,1814,77,2.5980737083713135,2.3344130267399033,1.6514005841561155,1.6024090247648277,0.7998897464167586,25.13851011706783,1.7217792230173852,0.9667340264255534,1.8092433636226009,2.091281173598105,1.82236973508712,2.247440386677174,0.07037863886126991
gru_shuffled_20260910_raw,False,False,1814,77,2.4986096510706512,2.09578163908852,1.6557768514918192,1.6217156819534897,0.7861080485115767,23.96352283589238,1.7393832605918618,1.033761571497218,1.8372826239694582,2.2686101199510738,1.8545496588269985,2.5267171717794095,0.0836064091000427
gru_shuffled_20260910_cal,False,False,1814,77,2.7154717081090674,2.697736018940477,1.6594643765457788,1.6182201573445878,0.8054024255788313,25.07145080070481,1.7385927964245582,1.033761571497218,1.8314270210204997,2.2686101199510738,1.8481111421344667,2.5267171717794095,0.07912841987877943
gru_shuffled_20260911_raw,False,False,1814,77,2.7810516700442767,1.5243791014327919,1.6697405113809358,1.615609972278204,0.7717750826901875,24.02309510805115,1.734017656727717,0.7923470048157882,1.7863959767116155,1.4990512459911611,1.7917517405438608,1.546689213307979,0.06427714534678114
gru_shuffled_20260911_cal,False,False,1814,77,2.6253804782159835,2.2345939296631556,1.666579699849252,1.624501265946232,0.802646085997795,25.577179352434275,1.7267565372292926,0.7923470048157882,1.7737023798833285,1.4990512459911611,1.779415017137944,1.546689213307979,0.060176837380040385
