scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,seq_xgb,M2,0.9,account_ls,2523,estimated,1.6104664791648269,1.0004890500976231,clock_UTC_quote
core,all,1,seq_mlp,M0,0.1,e_origin,2523,estimated,0.454734976288653,4.363301553601419,clock_UTC_quote
core,all,1,seq_mlp,M0,0.1,downside,2523,estimated,-120783.54788002338,-2.037472270534278,clock_UTC_quote
core,all,1,seq_mlp,M0,0.5,e_origin,2523,estimated,0.3719921356901769,3.5693622620181995,clock_UTC_quote
core,all,1,seq_mlp,M0,0.5,downside,2523,estimated,-62286.74371761974,-1.050701981966824,clock_UTC_quote
core,all,1,seq_mlp,M0,0.9,e_origin,2523,estimated,0.3611318731417311,3.4651551899409614,clock_UTC_quote
core,all,1,seq_mlp,M0,0.9,downside,2523,estimated,23601.884694603355,0.398135229852402,clock_UTC_quote
core,all,1,seq_mlp,M1,0.1,e_origin,2523,estimated,0.4659712162807918,4.471116228017879,clock_UTC_quote
core,all,1,seq_mlp,M1,0.1,downside,2523,estimated,-119847.16690024656,-2.0216766566908584,clock_UTC_quote
core,all,1,seq_mlp,M1,0.1,btc_vol,2523,estimated,-35.016563724102255,-0.0684068868217664,clock_UTC_quote
core,all,1,seq_mlp,M1,0.1,btc_ret,2523,estimated,252.28629941776205,1.1519531600280004,clock_UTC_quote
core,all,1,seq_mlp,M1,0.5,e_origin,2523,estimated,0.3774025510925988,3.6212766190876486,clock_UTC_quote
core,all,1,seq_mlp,M1,0.5,downside,2523,estimated,-95070.6387776199,-1.6037266138579656,clock_UTC_quote
core,all,1,seq_mlp,M1,0.5,btc_vol,2523,estimated,245.32914988226733,0.4792647137595938,clock_UTC_quote
core,all,1,seq_mlp,M1,0.5,btc_ret,2523,estimated,125.49229595226248,0.5730047458581893,clock_UTC_quote
core,all,1,seq_mlp,M1,0.9,e_origin,2523,estimated,0.3397014051041883,3.259524219467161,clock_UTC_quote
core,all,1,seq_mlp,M1,0.9,downside,2523,estimated,-28482.998806966003,-0.4804737174014772,clock_UTC_quote
core,all,1,seq_mlp,M1,0.9,btc_vol,2523,estimated,460.8698103918776,0.9003358869661449,clock_UTC_quote
core,all,1,seq_mlp,M1,0.9,btc_ret,2523,estimated,88.83484574138842,0.4056248060578894,clock_UTC_quote
core,all,1,seq_mlp,M2,0.1,e_origin,2523,estimated,0.45367845756882,4.353163978943582,clock_UTC_quote
core,all,1,seq_mlp,M2,0.1,downside,2523,estimated,-142455.4415123191,-2.403050886999757,clock_UTC_quote
core,all,1,seq_mlp,M2,0.1,btc_vol,2523,estimated,-59.050355108514495,-0.1153582913080895,clock_UTC_quote
core,all,1,seq_mlp,M2,0.1,btc_ret,2523,estimated,249.54992166709917,1.139458708271479,clock_UTC_quote
core,all,1,seq_mlp,M2,0.1,account_ls,2523,estimated,1.2264526442101915,0.7619236145988652,clock_UTC_quote
core,all,1,seq_mlp,M2,0.5,e_origin,2523,estimated,0.3822647594195245,3.667930785257048,clock_UTC_quote
core,all,1,seq_mlp,M2,0.5,downside,2523,estimated,-113980.3803865922,-1.922711068673948,clock_UTC_quote
core,all,1,seq_mlp,M2,0.5,btc_vol,2523,estimated,229.6756239466628,0.4486846435540916,clock_UTC_quote
core,all,1,seq_mlp,M2,0.5,btc_ret,2523,estimated,134.47130505227085,0.6140033967185246,clock_UTC_quote
core,all,1,seq_mlp,M2,0.5,account_ls,2523,estimated,1.08315053619939,0.6728983590126294,clock_UTC_quote
core,all,1,seq_mlp,M2,0.9,e_origin,2523,estimated,0.3247821617385557,3.116370160179449,clock_UTC_quote
core,all,1,seq_mlp,M2,0.9,downside,2523,estimated,-88227.8741760845,-1.4882974567076002,clock_UTC_quote
core,all,1,seq_mlp,M2,0.9,btc_vol,2523,estimated,588.323295892308,1.1493236581924355,clock_UTC_quote
core,all,1,seq_mlp,M2,0.9,btc_ret,2523,estimated,48.12433615100292,0.2197383735515466,clock_UTC_quote
core,all,1,seq_mlp,M2,0.9,account_ls,2523,estimated,1.6143833119910576,1.0029223502652485,clock_UTC_quote
core,all,1,seq_spline,M0,0.1,e_origin,2523,estimated,0.4744640660309919,4.745190051375384,clock_UTC_quote
core,all,1,seq_spline,M0,0.1,downside,2523,estimated,-122495.3192001444,-2.066347780978025,clock_UTC_quote
core,all,1,seq_spline,M0,0.5,e_origin,2523,estimated,0.438692852801595,4.387436498905776,clock_UTC_quote
core,all,1,seq_spline,M0,0.5,downside,2523,estimated,-52149.18696863488,-0.8796936689179204,clock_UTC_quote
core,all,1,seq_spline,M0,0.9,e_origin,2523,estimated,0.4431909749962511,4.43242292931452,clock_UTC_quote
core,all,1,seq_spline,M0,0.9,downside,2523,estimated,26492.859650468527,0.4469024784617513,clock_UTC_quote
core,all,1,seq_spline,M1,0.1,e_origin,2523,estimated,0.4818889170001785,4.819447158444958,clock_UTC_quote
core,all,1,seq_spline,M1,0.1,downside,2523,estimated,-105699.68063614714,-1.7830256858690732,clock_UTC_quote
core,all,1,seq_spline,M1,0.1,btc_vol,2523,estimated,-117.25696672822885,-0.2290682808067921,clock_UTC_quote
core,all,1,seq_spline,M1,0.1,btc_ret,2523,estimated,285.6115311036512,1.3041180062278197,clock_UTC_quote
core,all,1,seq_spline,M1,0.5,e_origin,2523,estimated,0.4383248769601283,4.383756314404807,clock_UTC_quote
core,all,1,seq_spline,M1,0.5,downside,2523,estimated,-101366.20942409826,-1.7099252712457298,clock_UTC_quote
core,all,1,seq_spline,M1,0.5,btc_vol,2523,estimated,341.7412025617569,0.6676112467850618,clock_UTC_quote
core,all,1,seq_spline,M1,0.5,btc_ret,2523,estimated,126.35609968565772,0.5769489213549368,clock_UTC_quote
core,all,1,seq_spline,M1,0.9,e_origin,2523,estimated,0.4307784336993029,4.308283143624792,clock_UTC_quote
core,all,1,seq_spline,M1,0.9,downside,2523,estimated,-95.6827631977959,-0.0016140524119829,clock_UTC_quote
core,all,1,seq_spline,M1,0.9,btc_vol,2523,estimated,346.8146997424271,0.677522617591266,clock_UTC_quote
core,all,1,seq_spline,M1,0.9,btc_ret,2523,estimated,77.93692869062903,0.3558643156415736,clock_UTC_quote
core,all,1,seq_spline,M2,0.1,e_origin,2523,estimated,0.4746012517146879,4.746562067062285,clock_UTC_quote
core,all,1,seq_spline,M2,0.1,downside,2523,estimated,-138034.37137838392,-2.328472784583625,clock_UTC_quote
core,all,1,seq_spline,M2,0.1,btc_vol,2523,estimated,-113.91935052458972,-0.2225480541022031,clock_UTC_quote
core,all,1,seq_spline,M2,0.1,btc_ret,2523,estimated,257.6677271090179,1.1765250557223408,clock_UTC_quote
core,all,1,seq_spline,M2,0.1,account_ls,2523,estimated,0.8092756578557755,0.5027558441422153,clock_UTC_quote
core,all,1,seq_spline,M2,0.5,e_origin,2523,estimated,0.4435795292547398,4.436308921813855,clock_UTC_quote
core,all,1,seq_spline,M2,0.5,downside,2523,estimated,-105216.39404303364,-1.7748732259565043,clock_UTC_quote
core,all,1,seq_spline,M2,0.5,btc_vol,2523,estimated,254.8902955366996,0.4979429659668195,clock_UTC_quote
core,all,1,seq_spline,M2,0.5,btc_ret,2523,estimated,133.11364585991697,0.6078042499535893,clock_UTC_quote
core,all,1,seq_spline,M2,0.5,account_ls,2523,estimated,0.9149620845621352,0.568412667200397,clock_UTC_quote
core,all,1,seq_spline,M2,0.9,e_origin,2523,estimated,0.4226645319453924,4.227134730842825,clock_UTC_quote
core,all,1,seq_spline,M2,0.9,downside,2523,estimated,-42288.21178645897,-0.7133509521592825,clock_UTC_quote
core,all,1,seq_spline,M2,0.9,btc_vol,2523,estimated,410.3330331561594,0.801609363486028,clock_UTC_quote
core,all,1,seq_spline,M2,0.9,btc_ret,2523,estimated,48.54513552121879,0.2216597666885369,clock_UTC_quote
core,all,1,seq_spline,M2,0.9,account_ls,2523,estimated,1.2910506382546427,0.8020545869201648,clock_UTC_quote
core,all,1,joint_xgb,M0,0.1,e_origin,2523,estimated,0.460776210331303,4.442860734882206,clock_UTC_quote
