date,window_days,reference,n_before,n_after,estimate,regime
2025-09-11 00:00:00+00:00,14,XRP,14,14,-1.9401762317494935,after
2025-09-11 00:00:00+00:00,14,SOL,14,14,-2.0446450446497177,after
2025-09-12 00:00:00+00:00,14,ETH,14,14,-1.5356261850229291,after
2025-09-12 00:00:00+00:00,14,XRP,14,14,-2.521944210774606,after
2025-09-12 00:00:00+00:00,14,SOL,14,14,-2.411805998537906,after
2025-09-13 00:00:00+00:00,14,ETH,14,14,-0.8147918273670758,after
2025-09-13 00:00:00+00:00,14,XRP,14,14,-2.0089215664975413,after
2025-09-13 00:00:00+00:00,14,SOL,14,14,-1.7188700116062208,after
2025-09-14 00:00:00+00:00,14,ETH,14,14,-1.3513905804761546,after
2025-09-14 00:00:00+00:00,14,XRP,14,14,-2.2306333322506884,after
2025-09-14 00:00:00+00:00,14,SOL,14,14,-1.8354179734696778,after
2025-09-15 00:00:00+00:00,14,ETH,14,14,-1.350889842866339,after
2025-09-15 00:00:00+00:00,14,XRP,14,14,-2.4037157788022636,after
2025-09-15 00:00:00+00:00,14,SOL,14,14,-2.8365822974616277,after
2025-09-16 00:00:00+00:00,14,ETH,14,14,-0.7291874730659877,after
2025-09-16 00:00:00+00:00,14,XRP,14,14,-1.7078933790894073,after
2025-09-16 00:00:00+00:00,14,SOL,14,14,-2.127038416008703,after
2025-09-17 00:00:00+00:00,14,ETH,14,14,-0.581398795171463,after
2025-09-17 00:00:00+00:00,14,XRP,14,14,-1.5027816345444673,after
2025-09-17 00:00:00+00:00,14,SOL,14,14,-1.9814041577792283,after
2025-09-18 00:00:00+00:00,14,ETH,14,14,-0.7800699638785407,after
2025-09-18 00:00:00+00:00,14,XRP,14,14,-1.5632517276184963,after
2025-09-18 00:00:00+00:00,14,SOL,14,14,-1.913572798271196,after
2025-09-19 00:00:00+00:00,14,ETH,14,14,-0.3201703014965336,after
2025-09-19 00:00:00+00:00,14,XRP,14,14,-0.8821497658437067,after
2025-09-19 00:00:00+00:00,14,SOL,14,14,-1.2175082780916524,after
2025-09-20 00:00:00+00:00,14,ETH,14,14,-0.3866364796009254,after
2025-09-20 00:00:00+00:00,14,XRP,14,14,-0.7247863884076882,after
2025-09-20 00:00:00+00:00,14,SOL,14,14,-1.131078112032724,after
2025-09-21 00:00:00+00:00,14,ETH,14,14,0.10255557801856163,after
2025-09-21 00:00:00+00:00,14,XRP,14,14,-0.3563276701952187,after
2025-09-21 00:00:00+00:00,14,SOL,14,14,-0.7832156209857679,after
2025-09-22 00:00:00+00:00,14,ETH,14,14,0.533639606869313,after
2025-09-22 00:00:00+00:00,14,XRP,14,14,-0.030260445278642578,after
2025-09-22 00:00:00+00:00,14,SOL,14,14,-0.49267084784468995,after
2025-09-23 00:00:00+00:00,14,ETH,14,14,0.43623419176508627,after
2025-09-23 00:00:00+00:00,14,XRP,14,14,0.12408967130027726,after
2025-09-23 00:00:00+00:00,14,SOL,14,14,-0.7314291577471748,after
2025-09-24 00:00:00+00:00,14,ETH,14,14,0.5610282613483228,after
2025-09-24 00:00:00+00:00,14,XRP,14,14,0.21123031553115723,after
2025-09-24 00:00:00+00:00,14,SOL,14,14,-0.9266689846404708,after
2025-09-25 00:00:00+00:00,14,ETH,14,14,6.525236637641417,after
2025-09-25 00:00:00+00:00,14,XRP,14,14,3.727556236108029,after
