h,q,reference,term,estimate,n,month_FE
1,0.5,BTC,down_x_ls,0.82137181517528,1839,True
1,0.5,BTC,month_Feb,0.48356129056780367,1839,True
1,0.5,BTC,month_Mar,-1.1104960075457495,1839,True
1,0.5,ETH,const,-0.8391554684532897,1839,True
1,0.5,ETH,current_btc,2.9550098624783154,1839,True
1,0.5,ETH,current_refspread,1.6841812751100265,1839,True
1,0.5,ETH,down_pct,-0.17637736903881057,1839,True
1,0.5,ETH,up_pct,2.455233241881432,1839,True
1,0.5,ETH,btc_vol24,-0.18572555366300345,1839,True
1,0.5,ETH,ls_z,-1.7669319664944845,1839,True
1,0.5,ETH,usdt_range,-1.4507591826726833,1839,True
1,0.5,ETH,venue_volume,-0.2684697649747554,1839,True
1,0.5,ETH,usdt_volume_surprise,-0.3875544975401821,1839,True
1,0.5,ETH,usdt_unchanged,-0.07709374870811914,1839,True
1,0.5,ETH,hour_sin,0.6010504915091599,1839,True
1,0.5,ETH,hour_cos,0.25478013459156545,1839,True
1,0.5,ETH,weekend,-0.3634336893757979,1839,True
1,0.5,ETH,down_x_ls,1.0022427353472025,1839,True
1,0.5,ETH,month_Feb,0.9318990610298756,1839,True
1,0.5,ETH,month_Mar,-1.1618438408541645,1839,True
1,0.5,without_DOGE,const,-0.8460548365302973,1839,True
1,0.5,without_DOGE,current_btc,2.4061303642656027,1839,True
1,0.5,without_DOGE,current_refspread,1.0326035195150693,1839,True
1,0.5,without_DOGE,down_pct,-1.1376041165516213,1839,True
1,0.5,without_DOGE,up_pct,0.8108241167816388,1839,True
1,0.5,without_DOGE,btc_vol24,0.058900031466231864,1839,True
1,0.5,without_DOGE,ls_z,-0.8765218615092231,1839,True
1,0.5,without_DOGE,usdt_range,-0.3699418466646395,1839,True
1,0.5,without_DOGE,venue_volume,-0.11942835185145795,1839,True
1,0.5,without_DOGE,usdt_volume_surprise,-0.44527362824026084,1839,True
1,0.5,without_DOGE,usdt_unchanged,-0.48793094663751635,1839,True
1,0.5,without_DOGE,hour_sin,0.12514861062676907,1839,True
1,0.5,without_DOGE,hour_cos,0.24359586308570774,1839,True
1,0.5,without_DOGE,weekend,0.3750043293901684,1839,True
1,0.5,without_DOGE,down_x_ls,0.13989028359024136,1839,True
1,0.5,without_DOGE,month_Feb,0.9853021318884965,1839,True
1,0.5,without_DOGE,month_Mar,-0.7418718024022809,1839,True
6,0.0,mean5,const,-2.4096743556113607,1837,True
6,0.0,mean5,current_btc,1.6782030063972875,1837,True
6,0.0,mean5,current_refspread,0.3674218233266,1837,True
6,0.0,mean5,down_pct,1.4749317116369796,1837,True
6,0.0,mean5,up_pct,1.7792747341713662,1837,True
6,0.0,mean5,btc_vol24,0.20176113832922743,1837,True
6,0.0,mean5,ls_z,0.3180318083956287,1837,True
6,0.0,mean5,usdt_range,-0.7270205240669506,1837,True
6,0.0,mean5,venue_volume,0.32897957341076717,1837,True
6,0.0,mean5,usdt_volume_surprise,0.32113675589866825,1837,True
6,0.0,mean5,usdt_unchanged,-0.13049428115529493,1837,True
6,0.0,mean5,hour_sin,-0.45238656252635207,1837,True
6,0.0,mean5,hour_cos,0.8646411313136295,1837,True
6,0.0,mean5,weekend,0.3914876984061786,1837,True
6,0.0,mean5,down_x_ls,-1.225394506822648,1837,True
6,0.0,mean5,month_Feb,-0.06371599185482983,1837,True
6,0.0,mean5,month_Mar,-0.812690923528613,1837,True
6,0.0,median5,const,-1.464661405678649,1837,True
6,0.0,median5,current_btc,1.4600013976798007,1837,True
6,0.0,median5,current_refspread,0.5536575146134358,1837,True
6,0.0,median5,down_pct,-0.3699616137031793,1837,True
6,0.0,median5,up_pct,1.0902266365152045,1837,True
6,0.0,median5,btc_vol24,0.22573317701158302,1837,True
6,0.0,median5,ls_z,-0.3538060514331575,1837,True
6,0.0,median5,usdt_range,-0.46604098084986234,1837,True
6,0.0,median5,venue_volume,0.0503314695349046,1837,True
6,0.0,median5,usdt_volume_surprise,0.10450560013644088,1837,True
6,0.0,median5,usdt_unchanged,-0.5016630688064868,1837,True
6,0.0,median5,hour_sin,-0.2717643344734483,1837,True
6,0.0,median5,hour_cos,0.5835208902776031,1837,True
6,0.0,median5,weekend,0.5818338885176594,1837,True
6,0.0,median5,down_x_ls,0.15208524480080093,1837,True
6,0.0,median5,month_Feb,0.19791173553949853,1837,True
6,0.0,median5,month_Mar,-0.8234955205234139,1837,True
6,0.0,BTC,const,-1.5730995712033393,1837,True
6,0.0,BTC,current_btc,1.7762413769305274,1837,True
6,0.0,BTC,current_refspread,0.5386934267418408,1837,True
6,0.0,BTC,down_pct,-0.8632949740934371,1837,True
6,0.0,BTC,up_pct,0.286824069185112,1837,True
6,0.0,BTC,btc_vol24,0.20652014086473477,1837,True
6,0.0,BTC,ls_z,0.19096630937255896,1837,True
6,0.0,BTC,usdt_range,-0.020919133619452995,1837,True
6,0.0,BTC,venue_volume,0.19015033271685358,1837,True
6,0.0,BTC,usdt_volume_surprise,0.09012578737826989,1837,True
6,0.0,BTC,usdt_unchanged,-0.26700574145999195,1837,True
6,0.0,BTC,hour_sin,-0.12075259560347461,1837,True
6,0.0,BTC,hour_cos,0.004724845362875667,1837,True
6,0.0,BTC,weekend,0.6690134718487974,1837,True
6,0.0,BTC,down_x_ls,0.6521768929281045,1837,True
6,0.0,BTC,month_Feb,0.005821489176025687,1837,True
6,0.0,BTC,month_Mar,-0.5451067013308454,1837,True
6,0.0,ETH,const,-1.057495386482358,1837,True
6,0.0,ETH,current_btc,1.6451136529482437,1837,True
6,0.0,ETH,current_refspread,0.8522708985467726,1837,True
6,0.0,ETH,down_pct,-1.4209123468119875,1837,True
6,0.0,ETH,up_pct,0.7884703499345279,1837,True
6,0.0,ETH,btc_vol24,0.09710940072086528,1837,True
6,0.0,ETH,ls_z,-0.6110592242254768,1837,True
6,0.0,ETH,usdt_range,-0.7979096817076784,1837,True
6,0.0,ETH,venue_volume,0.224525919953232,1837,True
6,0.0,ETH,usdt_volume_surprise,0.2817980965008868,1837,True
6,0.0,ETH,usdt_unchanged,-0.5327841309681498,1837,True
6,0.0,ETH,hour_sin,-0.5403948346541564,1837,True
6,0.0,ETH,hour_cos,0.307966993592347,1837,True
6,0.0,ETH,weekend,0.26376991856167314,1837,True
6,0.0,ETH,down_x_ls,0.24944587669327958,1837,True
6,0.0,ETH,month_Feb,0.2919658432986291,1837,True
6,0.0,ETH,month_Mar,-0.521333679080758,1837,True
6,0.0,without_DOGE,const,-1.155028818315941,1837,True
6,0.0,without_DOGE,current_btc,1.4039429697858936,1837,True
6,0.0,without_DOGE,current_refspread,0.4901641951234739,1837,True
6,0.0,without_DOGE,down_pct,-0.8679403137719375,1837,True
6,0.0,without_DOGE,up_pct,0.7783903072628612,1837,True
6,0.0,without_DOGE,btc_vol24,0.284866237461874,1837,True
6,0.0,without_DOGE,ls_z,-0.35081857429661917,1837,True
6,0.0,without_DOGE,usdt_range,-0.4593104106479104,1837,True
6,0.0,without_DOGE,venue_volume,0.042567604622773786,1837,True
6,0.0,without_DOGE,usdt_volume_surprise,0.15343360470486264,1837,True
6,0.0,without_DOGE,usdt_unchanged,-0.46561037566242375,1837,True
6,0.0,without_DOGE,hour_sin,-0.27759397285567,1837,True
6,0.0,without_DOGE,hour_cos,0.47383262638004475,1837,True
6,0.0,without_DOGE,weekend,0.4729396088408516,1837,True
6,0.0,without_DOGE,down_x_ls,0.557462103454471,1837,True
6,0.0,without_DOGE,month_Feb,0.09734818384881992,1837,True
6,0.0,without_DOGE,month_Mar,-0.7817537611412703,1837,True
6,0.1,mean5,const,-12.323607357071353,1837,True
6,0.1,mean5,current_btc,1.5496703458471148,1837,True
6,0.1,mean5,current_refspread,0.412142335882157,1837,True
6,0.1,mean5,down_pct,1.7038989284539572,1837,True
6,0.1,mean5,up_pct,3.8551105244779604,1837,True
6,0.1,mean5,btc_vol24,-0.4626030502305472,1837,True
6,0.1,mean5,ls_z,-0.8379282382982023,1837,True
6,0.1,mean5,usdt_range,-0.8262507671762441,1837,True
6,0.1,mean5,venue_volume,0.2005069621209903,1837,True
6,0.1,mean5,usdt_volume_surprise,-1.1458753048064383,1837,True
6,0.1,mean5,usdt_unchanged,-0.784738027453264,1837,True
6,0.1,mean5,hour_sin,0.44811828237635254,1837,True
6,0.1,mean5,hour_cos,-0.17516156528170534,1837,True
6,0.1,mean5,weekend,0.3165789725348471,1837,True
6,0.1,mean5,down_x_ls,-0.3622126852952554,1837,True
6,0.1,mean5,month_Feb,-2.010556112274153,1837,True
6,0.1,mean5,month_Mar,-4.74394555583087,1837,True
6,0.1,median5,const,-10.074826218488068,1837,True
6,0.1,median5,current_btc,1.1893345788942202,1837,True
6,0.1,median5,current_refspread,0.12785494166355096,1837,True
6,0.1,median5,down_pct,1.2207881020114906,1837,True
6,0.1,median5,up_pct,2.4809716423042407,1837,True
6,0.1,median5,btc_vol24,0.014246006072439754,1837,True
6,0.1,median5,ls_z,-0.5520791651536672,1837,True
6,0.1,median5,usdt_range,-0.469179360271429,1837,True
6,0.1,median5,venue_volume,0.31241195318059056,1837,True
6,0.1,median5,usdt_volume_surprise,-0.46934594239908506,1837,True
6,0.1,median5,usdt_unchanged,-0.4603520785372428,1837,True
6,0.1,median5,hour_sin,0.4610821820852076,1837,True
6,0.1,median5,hour_cos,0.1684368771378955,1837,True
6,0.1,median5,weekend,1.3415813685409492,1837,True
6,0.1,median5,down_x_ls,0.28841408886863906,1837,True
6,0.1,median5,month_Feb,-1.2019382581115698,1837,True
6,0.1,median5,month_Mar,-3.490484167378762,1837,True
6,0.1,BTC,const,-10.180502698536419,1837,True
6,0.1,BTC,current_btc,1.0345356874192366,1837,True
6,0.1,BTC,current_refspread,0.17050997848102012,1837,True
6,0.1,BTC,down_pct,0.2826800110565544,1837,True
6,0.1,BTC,up_pct,1.0960867883311831,1837,True
6,0.1,BTC,btc_vol24,-0.22558996452971525,1837,True
6,0.1,BTC,ls_z,-0.5992654383210425,1837,True
6,0.1,BTC,usdt_range,-0.6252950165976159,1837,True
6,0.1,BTC,venue_volume,0.42181304360749144,1837,True
6,0.1,BTC,usdt_volume_surprise,-0.133353164417221,1837,True
6,0.1,BTC,usdt_unchanged,-0.4736401845952465,1837,True
6,0.1,BTC,hour_sin,0.1430333034597979,1837,True
6,0.1,BTC,hour_cos,0.32190945911140056,1837,True
6,0.1,BTC,weekend,1.0220501719164092,1837,True
6,0.1,BTC,down_x_ls,0.07617474426113952,1837,True
6,0.1,BTC,month_Feb,-0.23005550682563758,1837,True
6,0.1,BTC,month_Mar,-2.721253082846462,1837,True
6,0.1,ETH,const,-10.6064209838706,1837,True
6,0.1,ETH,current_btc,0.8375894298839066,1837,True
6,0.1,ETH,current_refspread,0.21896830511187398,1837,True
6,0.1,ETH,down_pct,0.8669806345990287,1837,True
6,0.1,ETH,up_pct,0.3176798594214646,1837,True
6,0.1,ETH,btc_vol24,-0.2854839716646392,1837,True
6,0.1,ETH,ls_z,-0.6818257365197979,1837,True
6,0.1,ETH,usdt_range,-1.0907404190272763,1837,True
6,0.1,ETH,venue_volume,-0.01573470893133272,1837,True
6,0.1,ETH,usdt_volume_surprise,-0.3113140373233897,1837,True
6,0.1,ETH,usdt_unchanged,0.15423273140169869,1837,True
6,0.1,ETH,hour_sin,0.4423114884931035,1837,True
6,0.1,ETH,hour_cos,0.4776221723054771,1837,True
6,0.1,ETH,weekend,0.20300288198171224,1837,True
6,0.1,ETH,down_x_ls,-0.5556368921368986,1837,True
6,0.1,ETH,month_Feb,-1.2987070010625203,1837,True
6,0.1,ETH,month_Mar,-2.3574790016919254,1837,True
6,0.1,without_DOGE,const,-9.012750836865537,1837,True
