h,q,block_days,reference,term,contrast,estimate,primary,low95,high95,p_centered,n_boot,p_holm_24
12,0.0,5,ETH,down_pct,mean5_minus_ETH,-0.38160777144753044,False,-2.2035687065654743,1.4077742967704039,0.6458752515090543,1987,
12,0.0,5,ETH,ls_z,mean5_minus_ETH,0.7145715136921026,False,-0.14131739254708198,1.3185538817274058,0.05885311871227364,1987,
12,0.0,5,ETH,down_x_ls,mean5_minus_ETH,1.472167495142645,False,0.11212574247860548,2.788417647144279,0.03319919517102616,1987,
12,0.0,5,median5,down_pct,mean5_minus_median5,0.20675685819786854,False,-1.0361575654491197,1.5383478975704181,0.7575452716297787,1987,
12,0.0,5,median5,ls_z,mean5_minus_median5,0.5179130094755131,False,-0.15104893835019126,1.0356207194601137,0.08400402414486921,1987,
12,0.0,5,median5,down_x_ls,mean5_minus_median5,0.7137549113214523,False,-0.393161693580816,1.728449510938138,0.1886317907444668,1987,
12,0.0,5,without_DOGE,down_pct,mean5_minus_without_DOGE,-0.09319740848655012,False,-1.5601333930136982,1.498099385550517,0.9129778672032193,1987,
12,0.0,5,without_DOGE,ls_z,mean5_minus_without_DOGE,0.5388633682734073,False,-0.36301876540010625,1.1968362438479614,0.16046277665995975,1987,
12,0.0,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,0.6913992619839642,False,-0.5170847126923558,1.9840734050965483,0.272635814889336,1987,
6,0.1,5,BTC,down_pct,mean5_minus_BTC,1.4212189173974028,True,-2.59649635722869,5.007436417389374,0.45317220543806647,992,1.0
6,0.1,5,BTC,ls_z,mean5_minus_BTC,-0.23866279997715978,True,-1.5699039630641878,1.964658235085618,0.7421953675730111,992,1.0
6,0.1,5,BTC,down_x_ls,mean5_minus_BTC,-0.4383874295563949,True,-4.329464203666803,1.8338662539850865,0.7915407854984894,992,1.0
6,0.1,5,ETH,down_pct,mean5_minus_ETH,0.8369182938549284,True,-3.3134126590394026,5.832264202076002,0.7824773413897281,992,1.0
6,0.1,5,ETH,ls_z,mean5_minus_ETH,-0.15610250177840435,True,-1.4951379257372055,1.7450703194449162,0.8680765357502518,992,1.0
6,0.1,5,ETH,down_x_ls,mean5_minus_ETH,0.1934242068416432,True,-4.922802292400853,3.468878001657944,0.9516616314199395,992,1.0
6,0.1,5,median5,down_pct,mean5_minus_median5,0.4831108264424666,True,-2.9484861111301397,4.075929697905151,0.8076535750251762,992,1.0
6,0.1,5,median5,ls_z,mean5_minus_median5,-0.2858490731445351,True,-1.1681252236183453,1.8278664133557878,0.7593152064451159,992,1.0
6,0.1,5,median5,down_x_ls,mean5_minus_median5,-0.6506267741638945,True,-4.072654286382181,1.4489152016760285,0.6525679758308157,992,1.0
6,0.1,5,without_DOGE,down_pct,mean5_minus_without_DOGE,1.1630401119517497,True,-2.232044624160441,4.3886063629691145,0.48439073514602216,992,1.0
6,0.1,5,without_DOGE,ls_z,mean5_minus_without_DOGE,-0.027073805850909682,True,-0.8247297591311328,2.0298033315736914,0.9848942598187311,992,1.0
6,0.1,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,-0.5460750457216105,True,-4.4800215753896255,1.4248213016404085,0.7784491440080564,992,1.0
6,0.5,5,BTC,down_pct,mean5_minus_BTC,4.566251135375279,False,1.0188116714600202,6.679834114970985,0.01,499,
6,0.5,5,BTC,ls_z,mean5_minus_BTC,0.3595909605270036,False,-1.242522317120713,1.551369481471973,0.608,499,
6,0.5,5,BTC,down_x_ls,mean5_minus_BTC,-2.568150238656057,False,-4.556303464821207,0.3523540594509676,0.06,499,
6,0.5,5,ETH,down_pct,mean5_minus_ETH,5.640797977230017,False,0.9274119001477121,8.498631464603365,0.012,499,
6,0.5,5,ETH,ls_z,mean5_minus_ETH,1.094649719651513,False,-0.7641219674657035,2.278859391595073,0.16,499,
6,0.5,5,ETH,down_x_ls,mean5_minus_ETH,-2.5339263966326695,False,-5.710012612602829,0.6434286693566089,0.122,499,
6,0.5,5,median5,down_pct,mean5_minus_median5,3.962364486697651,False,-0.15482566765475209,5.564738310788613,0.032,499,
6,0.5,5,median5,ls_z,mean5_minus_median5,0.9152210483564923,False,-0.5024555349596144,1.7023856959530856,0.14,499,
6,0.5,5,median5,down_x_ls,mean5_minus_median5,-1.9816683087516624,False,-3.7375174760807623,0.8569948144249453,0.086,499,
6,0.5,5,without_DOGE,down_pct,mean5_minus_without_DOGE,4.975188707442303,False,0.4308954315801688,6.643717233314301,0.02,499,
6,0.5,5,without_DOGE,ls_z,mean5_minus_without_DOGE,0.8933334985898167,False,-0.626184627861474,1.681234243372415,0.142,499,
6,0.5,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,-2.7610539262155918,False,-4.361988234083035,0.48014677884862844,0.062,499,
1,0.1,5,BTC,down_pct,mean5_minus_BTC,-2.852614302058206,False,-6.51933094580738,-0.461141183196552,0.06827309236947791,497,
1,0.1,5,BTC,ls_z,mean5_minus_BTC,0.020626233897742985,False,-1.3808244641920155,1.0969215403141495,0.9738955823293173,497,
1,0.1,5,BTC,down_x_ls,mean5_minus_BTC,1.9852063391253216,False,-1.436896804749885,5.27835110875197,0.2469879518072289,497,
1,0.1,5,ETH,down_pct,mean5_minus_ETH,-0.8136319132136016,False,-5.04005670790935,1.1645705219603641,0.5983935742971888,497,
1,0.1,5,ETH,ls_z,mean5_minus_ETH,0.40819244436822144,False,-1.4268459190022205,2.027092526792319,0.6445783132530121,497,
1,0.1,5,ETH,down_x_ls,mean5_minus_ETH,-0.30438546270671774,False,-3.122872074718472,3.3515507270316762,0.8554216867469879,497,
1,0.1,5,median5,down_pct,mean5_minus_median5,-1.2643566837936815,False,-5.912529923411933,0.7503935030747684,0.4839357429718876,497,
1,0.1,5,median5,ls_z,mean5_minus_median5,0.2901252089767594,False,-1.2322972101530836,1.287474098928839,0.6847389558232931,497,
1,0.1,5,median5,down_x_ls,mean5_minus_median5,0.40230959926599885,False,-1.779256224594264,4.650373104561522,0.8192771084337349,497,
1,0.1,5,without_DOGE,down_pct,mean5_minus_without_DOGE,-2.14085808446385,False,-6.189637959514003,0.795790148026149,0.20883534136546184,497,
1,0.1,5,without_DOGE,ls_z,mean5_minus_without_DOGE,0.10900562273403969,False,-1.9707686229629262,1.2229326196194998,0.8835341365461847,497,
1,0.1,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,0.47769001704471314,False,-2.053030379735707,4.507735539827816,0.7650602409638554,497,
12,0.1,5,BTC,down_pct,mean5_minus_BTC,-1.2667346218276072,False,-4.475877049083081,4.290363361382152,0.5734406438631791,496,
12,0.1,5,BTC,ls_z,mean5_minus_BTC,-0.13607032323969823,False,-1.4449688316612888,1.6575010707318252,0.8309859154929577,496,
