model,month,epoch,train_loss_scaled,validation_tail_loss_bp
tcn_shuffled_20260912,2026-03,5,0.18805129976447568,1.8137346946176203
tcn_shuffled_20260912,2026-03,6,0.18742945681976111,1.81180873466548
tcn_shuffled_20260912,2026-03,7,0.1857756764972611,1.793107902542565
tcn_shuffled_20260912,2026-03,8,0.18455132198485172,1.7838078084799707
tcn_shuffled_20260912,2026-03,9,0.1841030422378164,1.7856808811516756
tcn_shuffled_20260912,2026-03,10,0.18316229930052447,1.7824493258839185
tcn_shuffled_20260912,2026-03,11,0.1824179959771101,1.815579335312214
tcn_shuffled_20260912,2026-03,12,0.18129246204327315,1.80329777743679
tcn_shuffled_20260912,2026-03,13,0.180049524002147,1.799929435283471
tcn_shuffled_20260912,2026-03,14,0.18020831643343252,1.7996504622474137
tcn_shuffled_20260912,2026-03,15,0.17902981727032402,1.7889406902084795
tcn_shuffled_20260912,2026-03,16,0.1770349468723013,1.8111444606290414
tcn_shuffled_20260912,2026-03,17,0.17736967541391332,1.8044916498711538
tcn_shuffled_20260912,2026-03,18,0.17690519910017424,1.818356344649625
tcn_tick_20260910,2026-03,1,0.20459701141885409,1.9006467946015901
tcn_tick_20260910,2026-03,2,0.19600590329483183,1.9109484117820794
tcn_tick_20260910,2026-03,3,0.19153127080901766,1.9765194140649227
tcn_tick_20260910,2026-03,4,0.18959497639541764,1.858694943209744
tcn_tick_20260910,2026-03,5,0.18748596495697006,1.8379285492392807
tcn_tick_20260910,2026-03,6,0.18661033916167724,1.8458942195436507
tcn_tick_20260910,2026-03,7,0.1856835068211615,1.8252456558271004
tcn_tick_20260910,2026-03,8,0.18444210914156628,1.881227507614682
tcn_tick_20260910,2026-03,9,0.18324778089661287,1.830247282406495
tcn_tick_20260910,2026-03,10,0.1834563931993136,1.8726728754574935
tcn_tick_20260910,2026-03,11,0.1819320906157831,1.8346523679537243
tcn_tick_20260910,2026-03,12,0.18114664999562638,1.864648003923997
tcn_tick_20260910,2026-03,13,0.18087026787432353,1.8496543211127203
tcn_tick_20260910,2026-03,14,0.17960337800955498,1.8682733762097312
tcn_tick_20260910,2026-03,15,0.1792566356126686,1.8424440244406672
tcn_tick_20260911,2026-03,1,0.20486041300578892,1.8506046215715943
tcn_tick_20260911,2026-03,2,0.19698235236232742,1.9754071261132227
tcn_tick_20260911,2026-03,3,0.19088122397275623,1.8173348955073296
tcn_tick_20260911,2026-03,4,0.18881930485174983,1.8495938589791145
tcn_tick_20260911,2026-03,5,0.18786332668822897,1.8139006884823692
tcn_tick_20260911,2026-03,6,0.18603830139403119,1.792909612539627
tcn_tick_20260911,2026-03,7,0.18547415125513042,1.7756991426227682
tcn_tick_20260911,2026-03,8,0.18379701340978102,1.7764476185427591
tcn_tick_20260911,2026-03,9,0.183219052537473,1.795051255423606
tcn_tick_20260911,2026-03,10,0.18288973614598017,1.77881389830563
tcn_tick_20260911,2026-03,11,0.18140494740028937,1.7824610776612813
tcn_tick_20260911,2026-03,12,0.18018808849094559,1.7771351370483592
tcn_tick_20260911,2026-03,13,0.18002822423816933,1.780798919381233
tcn_tick_20260911,2026-03,14,0.179795668195119,1.7917016839129063
tcn_tick_20260911,2026-03,15,0.17925515402852438,1.7788114825266836
tcn_tick_20260912,2026-03,1,0.2029405082710713,1.9851125121036188
tcn_tick_20260912,2026-03,2,0.19358353464358333,1.8085843021074313
tcn_tick_20260912,2026-03,3,0.19051435328643201,1.8158593010169084
tcn_tick_20260912,2026-03,4,0.1890380598396112,1.814039819653287
tcn_tick_20260912,2026-03,5,0.18723142915082186,1.8149868367666426
tcn_tick_20260912,2026-03,6,0.18669396626251047,1.8073501297498107
tcn_tick_20260912,2026-03,7,0.18500413271195185,1.794449616426419
tcn_tick_20260912,2026-03,8,0.18324442591296453,1.8067358218770444
tcn_tick_20260912,2026-03,9,0.18284836139462465,1.8254093989026166
tcn_tick_20260912,2026-03,10,0.18241091940128729,1.8074180625807692
tcn_tick_20260912,2026-03,11,0.1814961050277989,1.8069001220305863
tcn_tick_20260912,2026-03,12,0.18065609059959714,1.803651218408842
