task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-01,220,13.414422716664394,14.26555639864685,0.05966354611048963,0.4818181818181818
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-02,204,16.076606158073623,16.601638280535468,0.03162531995877882,0.5686274509803921
observed_change,sequential_ols,without_positioning,linear_qr,0.5,2026-03,153,22.445268795625726,21.983397890051634,-0.02100998707679791,0.6601307189542484
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,all,577,9.710510024057502,8.587026022983327,-0.1308350525626858,0.17677642980935876
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-01,220,7.003733634713354,8.374700244345386,0.16370336485269554,0.12727272727272726
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-02,204,6.9279089163116785,6.572494775461143,-0.05407598681972314,0.10294117647058823
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.1,2026-03,153,17.312741603376857,11.578372727524982,-0.4952655274449491,0.3464052287581699
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,all,577,16.866848052123007,17.137983525319658,0.015820733681770394,0.5441941074523396
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-01,220,13.561856655444576,14.26555639864685,0.04932858723050049,0.509090909090909
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-02,204,15.814637907607052,16.601638280535468,0.04740498254627867,0.5343137254901961
observed_change,sequential_ols,without_positioning,quantile_lightgbm,0.5,2026-03,153,23.022070122387763,21.983397890051634,-0.04724802951440776,0.6078431372549019
observed_change,sequential_ols,with_positioning,linear_qr,0.1,all,577,9.686506615873556,8.587026022983327,-0.1280397415761232,0.13344887348353554
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-01,220,6.902611126599345,8.374700244345386,0.1757781263562237,0.05
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-02,204,6.739807810146484,6.572494775461143,-0.02545654890590643,0.05392156862745098
observed_change,sequential_ols,with_positioning,linear_qr,0.1,2026-03,153,17.618425334884332,11.578372727524982,-0.5216667963193551,0.35947712418300654
observed_change,sequential_ols,with_positioning,linear_qr,0.5,all,577,16.820489774760862,17.137983525319658,0.018525735544659083,0.5545927209705372
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-01,220,13.283943056849553,14.26555639864685,0.06881002846060791,0.4681818181818182
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-02,204,15.806454922512398,16.601638280535468,0.0478978848102829,0.5588235294117647
observed_change,sequential_ols,with_positioning,linear_qr,0.5,2026-03,153,23.25776681919992,21.983397890051634,-0.057969606678728525,0.673202614379085
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,all,577,9.27327207022607,8.587026022983327,-0.07991661436753472,0.14558058925476602
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-01,220,5.924824597118692,8.374700244345386,0.2925329355974089,0.06363636363636363
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.487172918861276,6.572494775461143,0.012981654533743003,0.0784313725490196
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.1,2026-03,153,17.80283201115445,11.578372727524982,-0.5375936178693068,0.35294117647058826
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,all,577,16.716701110742783,17.137983525319658,0.024581795982851373,0.5441941074523396
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.23941709321713,14.26555639864685,0.07193125012123991,0.4772727272727273
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.350304520894822,16.601638280535468,0.07537411299388252,0.5294117647058824
