target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_lgbm_price_raw,negative_basis,0,78,757,1.8007533821279031,1.8437214504847428,4.012974259433324,1.7577853137710637,0.142668428005284,0.1453104359313078,0.7120211360634082,22.429277758769175
mean5,12,update_lgbm_price_raw,negative_basis,1,77,1074,1.7519943914334106,1.751292445705041,3.9049172100847542,1.75269633716178,0.11173184357541899,0.1378026070763501,0.750465549348231,23.6216777985337
mean5,12,update_lgbm_price_cal28,high_downside,0,59,967,1.6319370745587514,1.633266512259098,3.6592755644912223,1.6306076368584053,0.11375387797311272,0.09100310237849017,0.795243019648397,24.365476383042758
mean5,12,update_lgbm_price_cal28,high_downside,1,53,864,1.8952391202127907,1.9633565603394008,4.285521697387618,1.8271216800861805,0.11226851851851852,0.1099537037037037,0.7777777777777778,27.17365335298958
mean5,12,update_lgbm_price_cal28,high_dispersion,0,77,859,1.7318103035317767,1.794243519752711,3.9848052613765814,1.6693770873108422,0.13271245634458673,0.10477299185098952,0.7625145518044237,24.804232711145247
mean5,12,update_lgbm_price_cal28,high_dispersion,1,78,972,1.7777208850086086,1.7844172860290235,3.9282535986455054,1.7710244839881937,0.09567901234567901,0.09567901234567901,0.808641975308642,26.473885041678574
mean5,12,update_lgbm_price_cal28,low_usdt_volume,0,78,1379,1.747163020733548,1.780303790357656,3.966273767376955,1.7140222511094407,0.11747643219724438,0.09572153734590283,0.7868020304568528,25.722723579494083
mean5,12,update_lgbm_price_cal28,low_usdt_volume,1,73,452,1.7836989941827446,1.815641280054385,3.919731619896221,1.7517567083111043,0.09955752212389381,0.11283185840707964,0.7876106194690266,25.592514033767696
mean5,12,update_lgbm_price_cal28,negative_basis,0,78,757,1.7784332943271757,1.835765569963114,4.019609774943607,1.721101018691237,0.12813738441215325,0.10171730515191546,0.7701453104359313,24.987475834217353
mean5,12,update_lgbm_price_cal28,negative_basis,1,77,1074,1.7404988334790428,1.756084030750198,3.909092753979146,1.7249136362078874,0.10242085661080075,0.09869646182495345,0.7988826815642458,26.186157311808945
mean5,12,update_lgbm_local_raw,high_downside,0,59,967,1.6354612695425104,1.6311646008191876,3.6749512940484,1.6397579382658332,0.12719751809720786,0.1189245087900724,0.7538779731127198,21.847533264690142
mean5,12,update_lgbm_local_raw,high_downside,1,53,864,1.904233332450535,1.9284626914161374,4.287711907932404,1.8800039734849325,0.13078703703703703,0.1527777777777778,0.7164351851851852,23.98763153018809
mean5,12,update_lgbm_local_raw,high_dispersion,0,77,859,1.7547225542345941,1.780754315545863,3.997277608395028,1.7286907929233257,0.15366705471478465,0.13271245634458673,0.7136204889406287,21.662284223141764
mean5,12,update_lgbm_local_raw,high_dispersion,1,78,972,1.7689732230425441,1.7632304293434162,3.9347731730319655,1.7747160167416725,0.10699588477366255,0.1368312757201646,0.7561728395061729,23.91355572156287
mean5,12,update_lgbm_local_raw,low_usdt_volume,0,78,1379,1.753017153746054,1.7631015847724696,3.9930815932756705,1.742932722719638,0.1363306744017404,0.12907904278462654,0.734590282813633,22.95244990507485
mean5,12,update_lgbm_local_raw,low_usdt_volume,1,73,452,1.7905707784713745,1.7969266570231452,3.8756669749363946,1.7842148999196037,0.10619469026548672,0.15265486725663716,0.7411504424778761,22.567367013140853
mean5,12,update_lgbm_local_raw,negative_basis,0,78,757,1.7961321110415125,1.837378796238327,4.021622941405522,1.7548854258446982,0.14795244385733158,0.14002642007926025,0.7120211360634082,22.149317330209524
mean5,12,update_lgbm_local_raw,negative_basis,1,77,1074,1.738432624605628,1.7249834130570612,3.923549742229441,1.7518818361541955,0.1154562383612663,0.13128491620111732,0.7532588454376163,23.356466564310313
mean5,12,update_lgbm_local_cal28,high_downside,0,59,967,1.6374067229525917,1.631660751076557,3.6880661159306327,1.6431526948286261,0.11478800413650465,0.0889348500517063,0.796277145811789,24.384507689014047
mean5,12,update_lgbm_local_cal28,high_downside,1,53,864,1.8659377024357058,1.9035814754599159,4.292896673574877,1.8282939294114957,0.10532407407407407,0.10648148148148148,0.7881944444444444,26.946618631424034
mean5,12,update_lgbm_local_cal28,high_dispersion,0,77,859,1.721374010779482,1.7618355771439813,4.018727906027393,1.6809124444149826,0.1350407450523865,0.10360884749708964,0.7613504074505238,24.306107919845843
mean5,12,update_lgbm_local_cal28,high_dispersion,1,78,972,1.7663397126955054,1.7583267287260473,3.9334726222181935,1.7743526966649632,0.08847736625514403,0.09156378600823045,0.8199588477366255,26.731225030534326
mean5,12,update_lgbm_local_cal28,low_usdt_volume,0,78,1379,1.735326577053023,1.7498726012813193,3.9824253443164803,1.7207805528247266,0.11530094271211022,0.09064539521392313,0.7940536620739667,25.686603709531372
mean5,12,update_lgbm_local_cal28,low_usdt_volume,1,73,452,1.7755024916891318,1.7907876635430506,3.9461462616397958,1.7602173198352127,0.09513274336283185,0.1172566371681416,0.7876106194690266,25.309448932263674
mean5,12,update_lgbm_local_cal28,negative_basis,0,78,757,1.7723130988414835,1.8164611045044916,4.0252331741062966,1.7281650931784756,0.12417437252311757,0.10039630118890357,0.7754293262879789,24.87986119499933
mean5,12,update_lgbm_local_cal28,negative_basis,1,77,1074,1.7261652329391088,1.7201576210228098,3.936984308449859,1.732172844855408,0.1005586592178771,0.09497206703910614,0.8044692737430168,26.09650140429465
mean5,12,update_lgbm_full_raw,high_downside,0,59,967,1.6521974145669902,1.6525627001671497,3.6890423315785403,1.6518321289668307,0.13236814891416754,0.1313340227507756,0.7362978283350569,21.471432512632905
mean5,12,update_lgbm_full_raw,high_downside,1,53,864,1.933355571126249,1.9577150512435002,4.295587637095576,1.9089960910089976,0.13657407407407407,0.1550925925925926,0.7083333333333334,23.22510239453975
mean5,12,update_lgbm_full_raw,high_dispersion,0,77,859,1.7742718912831232,1.8065734314758528,4.005601016286678,1.7419703510903939,0.15948777648428406,0.1362048894062864,0.7043073341094296,21.44615980111735
mean5,12,update_lgbm_full_raw,high_dispersion,1,78,972,1.7942330851102424,1.787703042899445,3.9484366050378292,1.8007631273210396,0.11213991769547325,0.14814814814814814,0.7397119341563786,23.052584814237203
mean5,12,update_lgbm_full_raw,low_usdt_volume,0,78,1379,1.7773307629035422,1.7958873067156464,4.0023930162476615,1.7587742190914382,0.13995649021029732,0.1348803480783176,0.7251631617113851,22.380708569070222
mean5,12,update_lgbm_full_raw,low_usdt_volume,1,73,452,1.807865024989765,1.7985958835733227,3.892459477171461,1.817134166406207,0.1172566371681416,0.16592920353982302,0.7168141592920354,22.04948361028877
mean5,12,update_lgbm_full_raw,negative_basis,0,78,757,1.8111668290114853,1.850614451014467,4.051993231273863,1.7717192070085033,0.15059445178335534,0.14927344782034346,0.7001321003963011,21.46869309131178
mean5,12,update_lgbm_full_raw,negative_basis,1,77,1074,1.76633223815425,1.7584532550447547,3.921166459043494,1.7742112212637449,0.12290502793296089,0.1378026070763501,0.7392923649906891,22.88413690733272
mean5,12,update_lgbm_full_cal28,high_downside,0,59,967,1.6414592845228446,1.6446308642224423,3.703005661562452,1.6382877048232467,0.12099276111685625,0.08376421923474664,0.795243019648397,24.053002652429427
mean5,12,update_lgbm_full_cal28,high_downside,1,53,864,1.8758399677670723,1.9121757692297967,4.313949957283315,1.839504166304348,0.11226851851851852,0.11226851851851852,0.7754629629629629,26.688968331631983
mean5,12,update_lgbm_full_cal28,high_dispersion,0,77,859,1.7281106336406193,1.7709860182682777,4.032714473511417,1.6852352490129607,0.1350407450523865,0.09545983701979045,0.7694994179278231,24.28695286274672
mean5,12,update_lgbm_full_cal28,high_dispersion,1,78,972,1.7732199855833841,1.7707828401493781,3.9546887912318605,1.7756571310173903,0.10082304526748971,0.09876543209876543,0.8004115226337448,26.1893309612447
mean5,12,update_lgbm_full_cal28,low_usdt_volume,0,78,1379,1.7435082673977584,1.7668003115628153,3.995456699747207,1.7202162232327014,0.12255257432922408,0.09064539521392313,0.7868020304568528,25.371495924703083
mean5,12,update_lgbm_full_cal28,low_usdt_volume,1,73,452,1.778139291023965,1.7833192050277067,3.9785939134342403,1.7729593770202234,0.09955752212389381,0.1172566371681416,0.7831858407079646,25.069091423149853
mean5,12,update_lgbm_full_cal28,negative_basis,0,78,757,1.773047476688987,1.815094600590679,4.0613477780132605,1.731000352787295,0.1334214002642008,0.09907529722589167,0.7675033025099075,24.452915335862894
mean5,12,update_lgbm_full_cal28,negative_basis,1,77,1074,1.7372624957456033,1.7397125676634098,3.941917104159811,1.734812423827797,0.10521415270018622,0.09590316573556797,0.7988826815642458,25.891680907058728
mean5,12,update_threshold_local_raw,high_downside,0,59,967,1.6190376997600462,1.601130692467993,3.6575848992990005,1.6369447070520995,0.1623578076525336,0.11582213029989659,0.7218200620475698,20.427202627827956
mean5,12,update_threshold_local_raw,high_downside,1,53,864,1.8613358934342217,1.8849773756917156,4.186967659076289,1.8376944111767275,0.1701388888888889,0.13541666666666666,0.6944444444444444,21.924709444473812
mean5,12,update_threshold_local_raw,high_dispersion,0,77,859,1.7407345352216945,1.777012360186401,3.8924632807316777,1.704456710256988,0.19324796274738068,0.12339930151338765,0.6833527357392316,20.552298528203476
mean5,12,update_threshold_local_raw,high_dispersion,1,78,972,1.7268649195881651,1.6980043362284707,3.9205747910653663,1.7557255029478598,0.1419753086419753,0.12654320987654322,0.7314814814814815,21.647766939720395
mean5,12,update_threshold_local_raw,low_usdt_volume,0,78,1379,1.729130809508002,1.736382254799495,3.9500975902762434,1.721879364216509,0.17331399564902103,0.11892675852066716,0.7077592458303118,21.152222608175755
mean5,12,update_threshold_local_raw,low_usdt_volume,1,73,452,1.7463103568221183,1.7310679266497524,3.777079818745813,1.7615527869944843,0.14380530973451328,0.14380530973451328,0.7123893805309734,21.07774098332
mean5,12,update_threshold_local_raw,negative_basis,0,78,757,1.8061166995416622,1.851663294506052,3.9766207339430775,1.7605701045772728,0.178335535006605,0.1334214002642008,0.6882430647291942,20.47906093321693
mean5,12,update_threshold_local_raw,negative_basis,1,77,1074,1.6820980689404972,1.6528907991369741,3.8585872993194945,1.7113053387440196,0.15735567970204842,0.1191806331471136,0.723463687150838,21.595348952225134
mean5,12,update_threshold_local_cal28,high_downside,0,59,967,1.5898249674874159,1.5394366146581042,3.616713224116061,1.6402133203167275,0.10548086866597725,0.09100310237849017,0.8035160289555325,23.59098698412151
mean5,12,update_threshold_local_cal28,high_downside,1,53,864,1.7935067004035348,1.7700289970480367,4.176751020838619,1.8169844037590328,0.1099537037037037,0.1087962962962963,0.78125,25.707486134471747
