target,h,model,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,6,update_qar_qar_cal28,1837,1.674257081736462,1.6383915774949054,3.8797757863598905,1.7101225859780194,0.1132280892759934,0.1012520413718018,0.7855198693522046,24.8763387227716
mean5,6,freeze_qar_qar_raw,1837,1.742201468309016,1.7682197045822532,3.9235171536744895,1.716183232035779,0.1736526946107784,0.1279259662493195,0.698421339139902,20.650621188755057
mean5,6,freeze_qar_qar_cal28,1837,1.6742984472101023,1.6435288700675372,3.874830086344759,1.705068024352668,0.1186717474142623,0.1007076755579749,0.7806205770277627,24.53990114279058
mean5,6,hist7,1837,1.703837410349578,1.6686794984129378,3.954768182037828,1.7389953222862184,0.1115949918345128,0.100163309744148,0.7882416984213392,24.82560329445565
mean5,6,hist28,1837,1.6855250876097665,1.646971090303532,3.909861426164036,1.724079084916001,0.1164942841589548,0.1007076755579749,0.7827980402830702,24.235866976748955
mean5,6,delta28,1837,2.252412984355825,2.233924559462757,5.190225062596577,2.270901409248892,0.1094175285792052,0.1088731627653783,0.7817093086554164,32.05324774695715
median5,6,update_linear_price_raw,1837,1.2910188766733683,1.27017235886154,2.857468776672203,1.3118653944851972,0.1486118671747414,0.1056069678824169,0.7457811649428416,16.75869063312467
median5,6,update_linear_price_cal28,1837,1.2743928337596182,1.230458222848729,2.851612963693984,1.318327444670507,0.1143168209036472,0.100163309744148,0.7855198693522046,18.343743266477578
median5,6,update_linear_local_raw,1837,1.289354900464345,1.2668444064434927,2.8569247177859265,1.311865394485197,0.14534567229178,0.1056069678824169,0.749047359825803,16.914840003183897
median5,6,update_linear_local_cal28,1837,1.2756298983733627,1.2329323520762174,2.8531897536309523,1.318327444670507,0.1126837234621665,0.100163309744148,0.7871529667936854,18.43662577930892
median5,6,update_linear_full_raw,1837,1.2899469015774625,1.2671652329992746,2.8608070840398527,1.3127285701556504,0.14534567229178,0.1061513336962438,0.7485029940119761,16.88750615859728
median5,6,update_linear_full_cal28,1837,1.2763974809004104,1.2328849340820474,2.863281748817592,1.319910027718774,0.1126837234621665,0.0990745781164942,0.7882416984213392,18.438953790250988
median5,6,update_lgbm_price_raw,1837,1.311890671000751,1.2944397582328726,2.8763306538818663,1.3293415837686289,0.1486118671747414,0.1143168209036472,0.7370713119216113,16.66896755935307
median5,6,update_lgbm_price_cal28,1837,1.2950939443168874,1.2548708027697482,2.8732244918096503,1.3353170858640266,0.1121393576483396,0.0979858464888405,0.7898747958628198,18.929583323170608
median5,6,update_lgbm_local_raw,1837,1.3066120408624726,1.2884726316178594,2.8707612584012008,1.3247514501070856,0.1513336962438758,0.1110506260206859,0.7376156777354382,16.761782805473477
median5,6,update_lgbm_local_cal28,1837,1.2926294574018045,1.25296449169371,2.869758538000936,1.332294423109899,0.1094175285792052,0.095264017419706,0.7953184540010887,18.84767126189284
median5,6,update_lgbm_full_raw,1837,1.319986332238324,1.3078184938303494,2.873404159894613,1.332154170646299,0.1529667936853565,0.1137724550898203,0.733260751224823,16.655275550938374
median5,6,update_lgbm_full_cal28,1837,1.3033215800677584,1.2693740283714874,2.8732463158468784,1.3372691317640295,0.1099618943930321,0.0968971148611867,0.7931409907457811,18.825847742395613
median5,6,update_threshold_local_raw,1837,1.2909462525559117,1.2700271106266263,2.8571424501886584,1.3118653944851972,0.1442569406641262,0.1056069678824169,0.7501360914534567,16.884968073671686
median5,6,update_threshold_local_cal28,1837,1.2762282670631198,1.234129089455732,2.853211411307602,1.318327444670507,0.1126837234621665,0.100163309744148,0.7871529667936854,18.44591312322829
median5,6,update_qar_qar_raw,1837,1.295383050772275,1.26886084993769,2.8958009107614875,1.3219052516068606,0.1426238432226456,0.1034295046271094,0.7539466521502449,17.196043573375682
median5,6,update_qar_qar_cal28,1837,1.2835707105731446,1.238253560929058,2.8877916843246068,1.3288878602172312,0.1099618943930321,0.1017964071856287,0.7882416984213392,18.441328291329278
median5,6,hist7,1837,1.3169841447179207,1.2677044863307387,3.007867310844473,1.3662638031051022,0.1159499183451279,0.1034295046271094,0.7806205770277627,18.45240193145794
median5,6,hist28,1837,1.2955496474974406,1.2559776672460907,2.9548893638244604,1.3351216277487905,0.1246597713663582,0.0985302123026674,0.7768100163309745,18.287584932415488
median5,6,delta28,1837,1.6552463138608815,1.6817156506167583,3.7676792164484256,1.6287769771050042,0.110506260206859,0.1072400653238976,0.7822536744692433,23.334375599282268
