target,h,model,month,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_threshold_local_cal28,2025-12,736,2.1101299604063897,2.473188353487857,4.218304804588376,1.7470715673249222,0.04755434782608696,0.11548913043478261,0.8369565217391305,29.646633351456202
mean5,12,update_threshold_local_cal28,2026-01,722,1.4503130194521567,1.390754505199862,3.227831564918227,1.5098715337044515,0.10803324099722991,0.09141274238227147,0.8005540166204986,21.317543381502066
mean5,12,update_threshold_local_cal28,2026-02,672,1.8295516569821662,1.8363550883075443,4.224456911820575,1.8227482256567877,0.10863095238095238,0.1130952380952381,0.7782738095238095,25.221225912561945
mean5,12,update_threshold_local_cal28,2026-03,437,1.85438402556639,1.7844047774071408,4.431911064325887,1.924363273725639,0.10526315789473684,0.09153318077803203,0.8032036613272311,29.024764986597187
mean5,12,update_qar_qar_raw,2025-11,720,1.74700015087916,2.160305646957716,3.44253415479414,1.333694654800604,0.20277777777777778,0.09166666666666666,0.7055555555555556,17.06841343554714
mean5,12,update_qar_qar_raw,2025-12,736,2.0285434521216548,2.3346545334255437,4.43251814458064,1.7224323708177658,0.11956521739130435,0.13179347826086957,0.748641304347826,24.405202460398602
mean5,12,update_qar_qar_raw,2026-01,722,1.4643092202174846,1.4211279292652836,3.3210863531560295,1.5074905111696855,0.1440443213296399,0.10526315789473684,0.7506925207756233,19.63265003805146
mean5,12,update_qar_qar_raw,2026-02,672,1.8680394078415612,1.897977994275736,4.209953090406279,1.838100821407386,0.15773809523809523,0.1488095238095238,0.6934523809523809,21.51915909198958
mean5,12,update_qar_qar_raw,2026-03,437,1.9389989321978205,1.9656671792428275,4.4566941261434,1.9123306851528135,0.18993135011441648,0.11441647597254005,0.6956521739130435,23.24293122283102
mean5,12,update_qar_qar_cal28,2025-11,720,1.6687115415714897,1.9996765404600867,3.447675868075324,1.337746542682893,0.17083333333333334,0.09305555555555556,0.7361111111111112,18.18577197649414
mean5,12,update_qar_qar_cal28,2025-12,736,2.1069961307176226,2.484746675391259,4.479237878028795,1.7292455860439864,0.050271739130434784,0.11684782608695653,0.8328804347826086,29.241115923279125
mean5,12,update_qar_qar_cal28,2026-01,722,1.450817386981768,1.3889945874470981,3.24802382907106,1.512640186516438,0.11357340720221606,0.09002770083102493,0.796398891966759,21.260013987414176
mean5,12,update_qar_qar_cal28,2026-02,672,1.815616646529945,1.8194586463467377,4.210690696543149,1.811774646713152,0.11904761904761904,0.11458333333333333,0.7663690476190477,24.985942966356046
mean5,12,update_qar_qar_cal28,2026-03,437,1.854760873040809,1.7890002373009508,4.4579541042552915,1.9205215087806673,0.11441647597254005,0.09382151029748284,0.7917620137299771,28.632434475960547
mean5,12,hist7,2025-11,720,1.6102083042247564,1.8671016622853398,3.4687345157568554,1.3533149461641731,0.1375,0.1111111111111111,0.7513888888888889,18.2049977554235
