target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
median5,6,update_lgbm_local_raw,negative_basis,0,78,760,1.3159366630985598,1.2926236102190982,2.9367700167455757,1.3392497159780214,0.14605263157894738,0.12763157894736843,0.7263157894736842,16.615911014126826
median5,6,update_lgbm_local_raw,negative_basis,1,77,1077,1.3000319917450853,1.2855434359475333,2.824181261797928,1.314520547542637,0.15506035283194058,0.09935004642525534,0.7455896007428041,16.864719259905655
median5,6,update_lgbm_local_cal28,high_downside,0,59,967,1.259257525088294,1.2263541677597056,2.7683886272427403,1.2921608824168822,0.125129265770424,0.08686659772492245,0.7880041365046536,18.219943147261688
median5,6,update_lgbm_local_cal28,high_downside,1,53,870,1.329722168375557,1.2825417138134594,2.9824306112229757,1.376902622937654,0.09195402298850575,0.10459770114942529,0.803448275862069,19.545387453672518
median5,6,update_lgbm_local_cal28,high_dispersion,0,77,862,1.3047933544649921,1.2565332977990737,2.8788098494081003,1.3530534111309107,0.11948955916473318,0.0962877030162413,0.7842227378190255,18.277618102704306
median5,6,update_lgbm_local_cal28,high_dispersion,1,78,975,1.2818753248187602,1.2498093010651727,2.861756250377371,1.3139413485723477,0.10051282051282051,0.09435897435897436,0.8051282051282052,19.351656721606187
median5,6,update_lgbm_local_cal28,low_usdt_volume,0,78,1383,1.2851616454249648,1.242910584981888,2.870467856056035,1.3274127058680414,0.11569052783803326,0.08893709327548807,0.7953723788864787,18.84404312306811
median5,6,update_lgbm_local_cal28,low_usdt_volume,1,73,454,1.3153783207585645,1.283591260377519,2.867597773969653,1.34716538113961,0.09030837004405286,0.1145374449339207,0.7951541850220264,18.858723499766395
median5,6,update_lgbm_local_cal28,negative_basis,0,78,760,1.3037646999989645,1.2739775590961544,2.9408565234949697,1.3335518409017746,0.09342105263157895,0.1118421052631579,0.7947368421052632,18.728157466144992
median5,6,update_lgbm_local_cal28,negative_basis,1,77,1077,1.28477171889313,1.2381363289956056,2.8195872576151744,1.3314071087906547,0.12070566388115135,0.08356545961002786,0.7957288765088208,18.932007830851397
median5,6,update_lgbm_full_raw,high_downside,0,59,967,1.2921536862098433,1.3002381260955227,2.7957401372055664,1.284069246324164,0.1623578076525336,0.10548086866597725,0.7321613236814891,16.18986417056974
median5,6,update_lgbm_full_raw,high_downside,1,53,870,1.350922158341245,1.3162440290022777,2.9597272747685293,1.3856002876802123,0.1425287356321839,0.12298850574712644,0.7344827586206897,17.172577625440063
median5,6,update_lgbm_full_raw,high_dispersion,0,77,862,1.3384812072007854,1.322318763875716,2.881587003605878,1.3546436505258554,0.15893271461716937,0.1148491879350348,0.7262180974477959,16.239197995972567
median5,6,update_lgbm_full_raw,high_dispersion,1,78,975,1.3036349658612558,1.2949987679030615,2.866169686787832,1.3122711638194502,0.1476923076923077,0.11282051282051282,0.7394871794871795,17.02313078414917
median5,6,update_lgbm_full_raw,low_usdt_volume,0,78,1383,1.3178924976851902,1.3092991586236709,2.876968005090552,1.3264858367467098,0.16702819956616052,0.10629067245119306,0.7266811279826464,16.663286390704876
median5,6,update_lgbm_full_raw,low_usdt_volume,1,73,454,1.3263646872757344,1.3033080105502541,2.862547776841784,1.3494213640012145,0.11013215859030837,0.13656387665198239,0.7533039647577092,16.630872486187116
median5,6,update_lgbm_full_raw,negative_basis,0,78,760,1.3245845914256997,1.295956159052081,2.9415113099110326,1.3532130237993185,0.1355263157894737,0.12894736842105264,0.7355263157894737,16.58480902487526
median5,6,update_lgbm_full_raw,negative_basis,1,77,1077,1.3167415068136212,1.316189315029499,2.8253434040798684,1.317293698597743,0.16527390900649955,0.10306406685236769,0.7316620241411328,16.705001233211327
median5,6,update_lgbm_full_cal28,high_downside,0,59,967,1.2682321966185819,1.2450675044128552,2.785552259115333,1.2913968888243081,0.12202688728024819,0.08996897621509824,0.7880041365046536,18.112849736632782
median5,6,update_lgbm_full_cal28,high_downside,1,53,870,1.3423232281083954,1.2963905900588404,2.970717755915159,1.3882558661579503,0.09655172413793103,0.10459770114942529,0.7988505747126436,19.618340928111312
median5,6,update_lgbm_full_cal28,high_dispersion,0,77,862,1.3135717035824488,1.2731797790730162,2.875403259579987,1.353963628091881,0.11716937354988399,0.09860788863109049,0.7842227378190255,18.30660841545142
median5,6,update_lgbm_full_cal28,high_dispersion,1,78,975,1.2942594195860526,1.2660093544179305,2.8713393563618115,1.3225094847541752,0.10358974358974359,0.09538461538461539,0.801025641025641,19.28490856272986
median5,6,update_lgbm_full_cal28,low_usdt_volume,0,78,1383,1.2942911697493396,1.2544950769323777,2.8712516008979567,1.3340872625663018,0.11569052783803326,0.08966015907447578,0.794649313087491,18.828041292850774
median5,6,update_lgbm_full_cal28,low_usdt_volume,1,73,454,1.3308305172271704,1.3146991161254267,2.8793227272441433,1.346961918328914,0.09251101321585903,0.11894273127753303,0.788546255506608,18.81916562724256
median5,6,update_lgbm_full_cal28,negative_basis,0,78,760,1.3157048207824553,1.2847921411793113,2.9498367229440743,1.3466175003855991,0.0868421052631579,0.11578947368421053,0.7973684210526316,18.77242617221137
median5,6,update_lgbm_full_cal28,negative_basis,1,77,1077,1.294583174363794,1.2584940230474888,2.81919923191571,1.3306723256800996,0.12627669452181986,0.08356545961002786,0.7901578458681523,18.863545414949023
