definition,variant,information,calibration,threshold_bp,sample,strategy,fold,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,calibrated,-10.0,nonoverlap,always_alarm,2026-03,25,9.0,25.0,9.0,16.0,0.0,1.0,1.0,0.36,0.064,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,never_alarm,2025-12,40,7.0,0.0,0.0,0.0,7.0,0.0,0.0,,0.15750000000000003,1.5553199343255657
EQ,original,F,calibrated,-10.0,nonoverlap,never_alarm,2026-01,37,5.0,0.0,0.0,0.0,5.0,0.0,0.0,,0.12162162162162163,0.8521825220306145
EQ,original,F,calibrated,-10.0,nonoverlap,never_alarm,2026-02,36,9.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.22499999999999998,2.994270887506297
EQ,original,F,calibrated,-10.0,nonoverlap,never_alarm,2026-03,25,9.0,0.0,0.0,0.0,9.0,0.0,0.0,,0.32400000000000007,3.0708847247301514
EQ,original,F,calibrated,-20.0,full,ml_selected,2025-12,139,8.0,29.0,3.75,25.25,4.25,0.20863309352517986,0.46875,0.12931034482758622,0.04568345323741008,0.3730210628485054
EQ,original,F,calibrated,-20.0,full,ml_selected,2026-01,137,2.0,7.5,2.0,5.5,0.0,0.05474452554744526,1.0,0.26666666666666666,0.0040145985401459855,0.0
EQ,original,F,calibrated,-20.0,full,ml_selected,2026-02,128,13.0,35.0,13.0,22.0,0.0,0.2734375,1.0,0.37142857142857144,0.0171875,0.0
EQ,original,F,calibrated,-20.0,full,ml_selected,2026-03,105,16.0,24.25,12.25,12.0,3.75,0.23095238095238096,0.765625,0.5051546391752577,0.04357142857142857,0.1664698099547356
EQ,original,F,calibrated,-20.0,full,linear,2025-12,139,8.0,53.0,5.0,48.0,3.0,0.381294964028777,0.625,0.09433962264150944,0.05395683453237411,0.36354876794528773
EQ,original,F,calibrated,-20.0,full,linear,2026-01,137,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.013138686131386862,0.028161535771752223
EQ,original,F,calibrated,-20.0,full,linear,2026-02,128,13.0,33.0,9.0,24.0,4.0,0.2578125,0.6923076923076923,0.2727272727272727,0.04687500000000001,0.14856919300690774
EQ,original,F,calibrated,-20.0,full,linear,2026-03,105,16.0,23.0,10.0,13.0,6.0,0.21904761904761905,0.625,0.43478260869565216,0.06380952380952382,0.3420766688270154
EQ,original,F,calibrated,-20.0,full,threshold,2025-12,139,8.0,44.0,4.0,40.0,4.0,0.31654676258992803,0.5,0.09090909090909091,0.05467625899280576,0.3856231887174123
EQ,original,F,calibrated,-20.0,full,threshold,2026-01,137,2.0,8.0,2.0,6.0,0.0,0.058394160583941604,1.0,0.25,0.004379562043795621,0.0
EQ,original,F,calibrated,-20.0,full,threshold,2026-02,128,13.0,36.0,9.0,27.0,4.0,0.28125,0.6923076923076923,0.25,0.049218750000000006,0.14856919300690774
EQ,original,F,calibrated,-20.0,full,threshold,2026-03,105,16.0,20.0,11.0,9.0,5.0,0.19047619047619047,0.6875,0.55,0.051428571428571435,0.38174804118752703
EQ,original,F,calibrated,-20.0,full,historical,2025-12,139,8.0,24.0,1.0,23.0,7.0,0.17266187050359713,0.125,0.041666666666666664,0.06187050359712231,0.4864259401536306
