definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,R,calibrated,-5.0,nonoverlap,historical,138,5,0.06521739130434782,0.0552536231884058,0.009963768115942028,0.002052725935460145,0.017858446298227318,15.277777777777777,3.195836674685913,26.94444444444444,1.0,0.0145
EQ,original,R,calibrated,-5.0,nonoverlap,state_hist,138,5,0.06086956521739129,0.0552536231884058,0.005615942028985507,-0.003103330291970802,0.014473684210526316,9.226190476190478,-5.2972689075630255,22.91666666666666,1.0,0.224
EQ,original,R,calibrated,-10.0,full,linear,509,5,0.06738703339882123,0.06026522593320237,0.007121807465618862,-0.00014469430418789425,0.014045077581594434,10.56851311953353,-0.22168005863510323,20.689940625713636,1.0,0.048
EQ,original,R,calibrated,-10.0,full,threshold,509,5,0.06267190569744598,0.06026522593320237,0.002406679764243615,-0.0017723565804274462,0.0065355572218490955,3.84012539184953,-3.1695739809884036,9.889925373134327,1.0,0.282
EQ,original,R,calibrated,-10.0,full,historical,509,5,0.07956777996070727,0.06026522593320237,0.01930255402750491,0.006188580793246327,0.03141785218064897,24.259259259259256,7.950412710233971,38.98803214704345,1.0,0.003
EQ,original,R,calibrated,-10.0,full,state_hist,509,5,0.058742632612966604,0.06026522593320237,-0.0015225933202357568,-0.009091310632830068,0.006045364559852241,-2.5919732441471575,-16.739897144784177,9.433586954531307,1.0,0.725
EQ,original,R,calibrated,-10.0,nonoverlap,linear,138,5,0.06521739130434782,0.06485507246376812,0.00036231884057970885,-0.014124072492393103,0.013889933166248954,0.5555555555555536,-22.96511627906976,22.015398550724633,1.0,0.9625
EQ,original,R,calibrated,-10.0,nonoverlap,threshold,138,5,0.06666666666666668,0.06485507246376812,0.0018115942028985507,-0.004335198135198135,0.007482664233576642,2.7173913043478257,-6.58132530120482,12.365998696643857,1.0,0.552
EQ,original,R,calibrated,-10.0,nonoverlap,historical,138,5,0.0782608695652174,0.06485507246376812,0.013405797101449277,-0.009471564233888173,0.03487485641738709,17.12962962962963,-12.506313131313119,43.75267094017094,1.0,0.2395
EQ,original,R,calibrated,-10.0,nonoverlap,state_hist,138,5,0.06666666666666667,0.06485507246376812,0.0018115942028985507,-0.01748069105691057,0.020472854393115945,2.717391304347826,-31.987153007270315,27.382872503840243,1.0,0.844
EQ,original,R,calibrated,-20.0,full,linear,509,5,0.037131630648330055,0.028290766208251474,0.008840864440078585,-0.0027840653477641734,0.020505383134849033,23.80952380952381,-9.275856044723966,48.75038819875776,1.0,0.1335
EQ,original,R,calibrated,-20.0,full,threshold,509,5,0.03457760314341847,0.028290766208251474,0.006286836935166995,-0.003949554206083155,0.016428318434811937,18.181818181818183,-15.71026581966202,42.90442868499227,1.0,0.2445
EQ,original,R,calibrated,-20.0,full,historical,509,5,0.06129666011787818,0.028290766208251474,0.03300589390962672,0.021936839327859597,0.04434315791833897,53.84615384615386,39.30901389359542,69.4449665831245,1.0,0.0005
EQ,original,R,calibrated,-20.0,full,state_hist,509,5,0.026326129666011788,0.028290766208251474,-0.0019646365422396855,-0.010548102678571428,0.006039118356045794,-7.462686567164178,-50.737847222222214,19.81783962392697,1.0,0.6535
EQ,original,R,calibrated,-20.0,nonoverlap,linear,138,5,0.031159420289855078,0.030434782608695653,0.0007246376811594226,-0.026975560479666323,0.02732670261342658,2.325581395348844,-177.52205882352942,66.81285084202085,1.0,0.961
