definition,variant,information,strategy,state,n,e_state,scale_state,loss,too_high,too_low,below,q_change,actual_delta_mean,actual_delta_q10
CAP,original,F,ml_selected,2,36,middle,low,0.9629658531809357,0.026540034618578144,0.9364258185623575,0.027777777777777776,-10.607287870246973,-1.2725186119773737,-8.803890115801066
CAP,original,F,ml_selected,3,91,middle,high,1.2963126760514943,0.22075387884211442,1.07555879720938,0.07692307692307693,-10.494674796389095,0.015631088102357877,-10.551211282480494
CAP,original,F,ml_selected,4,27,high,low,1.5379024162053956,0.7402485202158822,0.7976538959895133,0.2222222222222222,-16.63985683253461,-9.4858162284349,-20.88572494949735
CAP,original,F,ml_selected,5,105,high,high,1.4776542769697556,0.554097338755078,0.9235569382146774,0.14047619047619048,-16.70323896678852,-8.083333294369607,-18.589618548653384
CAP,original,F,linear,0,64,low,low,1.546531476679599,0.027267571052019022,1.51926390562758,0.03125,-10.722175717045424,4.440166038061466,-2.917918381658379
CAP,original,F,linear,1,186,low,high,1.4694865360583476,0.24062050920396277,1.2288660268543847,0.08064516129032258,-6.940111461062191,5.081192686143919,-5.162848506265066
CAP,original,F,linear,2,36,middle,low,1.2691822181931671,0.0,1.2691822181931671,0.0,-13.964340793909049,-1.2725186119773737,-8.803890115801066
CAP,original,F,linear,3,91,middle,high,1.4177270849529309,0.1949422053348129,1.2227848796181178,0.08791208791208792,-11.995615257706806,0.015631088102357877,-10.551211282480494
CAP,original,F,linear,4,27,high,low,1.7460983370037995,0.9453227818452523,0.8007755551585474,0.2222222222222222,-16.443213133525646,-9.4858162284349,-20.88572494949735
CAP,original,F,linear,5,105,high,high,1.5542322946640064,0.6622056793820886,0.8920266152819178,0.18095238095238095,-16.267815358986468,-8.083333294369607,-18.589618548653384
CAP,original,F,threshold,0,64,low,low,1.3605055867292783,0.003956016605287283,1.356549570123991,0.015625,-9.120934089172568,4.440166038061466,-2.917918381658379
CAP,original,F,threshold,1,186,low,high,1.5505432206226935,0.32174056866387996,1.2288026519588136,0.0913978494623656,-6.849344312706574,5.081192686143919,-5.162848506265066
CAP,original,F,threshold,2,36,middle,low,1.1661423471120207,0.007632029382334115,1.1585103177296867,0.05555555555555555,-12.849141756627203,-1.2725186119773737,-8.803890115801066
CAP,original,F,threshold,3,91,middle,high,1.4073015735351875,0.29864842964936006,1.1086531438858274,0.13186813186813187,-10.739068762256627,0.015631088102357877,-10.551211282480494
CAP,original,F,threshold,4,27,high,low,1.6783646088110582,0.7042417836600547,0.9741228251510035,0.18518518518518517,-18.444553609211535,-9.4858162284349,-20.88572494949735
CAP,original,F,threshold,5,105,high,high,1.5887712734536572,0.5129075030029584,1.0758637704506986,0.11428571428571428,-18.272073773317754,-8.083333294369607,-18.589618548653384
CAP,original,F,historical,0,64,low,low,1.704846636108385,0.0,1.704846636108385,0.0,-12.608300323022384,4.440166038061466,-2.917918381658379
CAP,original,F,historical,1,186,low,high,1.9091704207975317,0.06256515836088034,1.8466052624366514,0.016129032258064516,-13.315343095599394,5.081192686143919,-5.162848506265066
CAP,original,F,historical,2,36,middle,low,1.2080047467806563,0.0,1.2080047467806563,0.0,-13.352566079783934,-1.2725186119773737,-8.803890115801066
CAP,original,F,historical,3,91,middle,high,1.4969987973748433,0.14718389179920127,1.349814905575642,0.06593406593406594,-13.318980310099395,0.015631088102357877,-10.551211282480494
CAP,original,F,historical,4,27,high,low,2.055121680451951,1.508569901572542,0.5465517788794091,0.3333333333333333,-13.275145237703946,-9.4858162284349,-20.88572494949735
CAP,original,F,historical,5,105,high,high,2.025234884123015,1.3350977707761775,0.6901371133468378,0.2761904761904762,-13.5012624603089,-8.083333294369607,-18.589618548653384
CAP,original,F,state_hist,0,64,low,low,1.2725541475099007,0.07527673313643209,1.1972774143734686,0.03125,-7.448967291077183,4.440166038061466,-2.917918381658379
CAP,original,F,state_hist,1,186,low,high,1.5261166938795814,0.3942118170573971,1.1319048768221842,0.11827956989247312,-5.7998429520141475,5.081192686143919,-5.162848506265066
CAP,original,F,state_hist,2,36,middle,low,1.0190842437359047,0.0,1.0190842437359047,0.0,-11.463361049336422,-1.2725186119773737,-8.803890115801066
CAP,original,F,state_hist,3,91,middle,high,1.3124738487226948,0.22878172100267813,1.0836921277200167,0.06593406593406594,-10.567088276872612,0.015631088102357877,-10.551211282480494
CAP,original,F,state_hist,4,27,high,low,1.3413910246053193,0.4305222215342352,0.9108688030710843,0.1111111111111111,-18.116146235218814,-9.4858162284349,-20.88572494949735
CAP,original,F,state_hist,5,105,high,high,1.6738132404852235,0.5974631038308749,1.0763501366543489,0.14285714285714285,-18.18298676776768,-8.083333294369607,-18.589618548653384
CAP,original,R,ml_selected,0,64,low,low,1.1008056535152204,0.05497816360544123,1.045827489909779,0.03125,-5.957022012585836,4.440166038061466,-2.917918381658379
CAP,original,R,ml_selected,1,186,low,high,1.389399892366853,0.3282965459277806,1.0611033464390724,0.10215053763440861,-5.165066838327047,5.081192686143919,-5.162848506265066
CAP,original,R,ml_selected,2,36,middle,low,0.9890576731524104,0.03668739036388868,0.9523702827885216,0.05555555555555555,-10.7554576727916,-1.2725186119773737,-8.803890115801066
CAP,original,R,ml_selected,3,91,middle,high,1.2775808265391815,0.20697927415349038,1.070601552385691,0.08791208791208792,-10.460407464472897,0.015631088102357877,-10.551211282480494
