definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
CAP,own_scale,F,raw,-10.0,full,state_hist,509,71.0,132.0,53.0,79.0,18.0,0.2593320235756385,0.7464788732394366,0.4015151515151515,0.04734774066797643,0.09576045685061031
CAP,own_scale,F,raw,-10.0,full,always_alarm,509,71.0,509.0,71.0,438.0,0.0,1.0,1.0,0.13948919449901767,0.08605108055009825,0.0
CAP,own_scale,F,raw,-10.0,full,never_alarm,509,71.0,0.0,0.0,0.0,71.0,0.0,0.0,,0.1255402750491159,0.7983796360483094
CAP,own_scale,F,raw,-10.0,nonoverlap,ml_selected,138,20.0,38.0,17.0,21.0,3.0,0.2753623188405797,0.85,0.4473684210526316,0.03478260869565218,0.016919974439875772
CAP,own_scale,F,raw,-10.0,nonoverlap,linear,138,20.0,37.0,17.0,20.0,3.0,0.26811594202898553,0.85,0.4594594594594595,0.034057971014492754,0.016919974439875772
CAP,own_scale,F,raw,-10.0,nonoverlap,threshold,138,20.0,35.0,16.0,19.0,4.0,0.2536231884057971,0.8,0.45714285714285713,0.03985507246376812,0.042108026983577324
CAP,own_scale,F,raw,-10.0,nonoverlap,historical,138,20.0,138.0,20.0,118.0,0.0,1.0,1.0,0.14492753623188406,0.08550724637681159,0.0
CAP,own_scale,F,raw,-10.0,nonoverlap,state_hist,138,20.0,33.0,16.0,17.0,4.0,0.2391304347826087,0.8,0.48484848484848486,0.03840579710144928,0.042108026983577324
CAP,own_scale,F,raw,-10.0,nonoverlap,always_alarm,138,20.0,138.0,20.0,118.0,0.0,1.0,1.0,0.14492753623188406,0.08550724637681159,0.0
CAP,own_scale,F,raw,-10.0,nonoverlap,never_alarm,138,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.13043478260869565,0.8843931053213695
CAP,own_scale,F,raw,-20.0,full,ml_selected,509,12.0,1.0,0.0,1.0,12.0,0.0019646365422396855,0.0,0.0,0.021414538310412578,0.11729322720000396
