definition,fold,feature,train_n,test_n,train_p01,train_median,train_p99,test_p01,test_median,test_p99,below_train_p01,above_train_p99
CAP,2025-12,account_log,963,139,-0.7884300134266463,0.17717972688107214,1.1751204572070737,0.32223638829310874,0.7146797811772282,1.0830640975729378,0.0,0.0
CAP,2025-12,funding_bp,963,139,-0.529,0.5039,1.0,-0.1732,0.43779999999999997,1.0,0.0,0.0
CAP,2025-12,oi_ret1,963,139,-146.36464058727972,2.699086347615065,234.81996080284517,-120.41749974243032,5.076533414314355,231.15406145722915,0.007194244604316547,0.014388489208633094
CAP,2025-12,oi_change24,963,139,-670.5913245620795,7.536006794719441,889.497981812018,-292.905038380098,16.988603224401544,481.0966275688263,0.0,0.0
CAP,2025-12,local_volume_surprise,963,139,-1.0066556148733956,0.25090569189107015,1.755184761470556,-1.1294679165304022,0.31318078956073236,2.2036919067264567,0.02158273381294964,0.02877697841726619
CAP,2025-12,fx_ret1,963,139,-29.316771176441847,0.07030593628165605,27.885255959629163,-43.43344851539097,0.9467903813220602,24.707665814308143,0.02158273381294964,0.007194244604316547
PCA,2025-12,e_now,963,139,-15.286248657777113,-0.017899635642098663,13.854710138093791,-49.535452232989506,-1.4887653919919537,19.008026932664656,0.08633093525179857,0.050359712230215826
PCA,2025-12,e_change1,963,139,-17.946437111137314,-0.16591304407790713,19.314264361715345,-26.41122581560856,1.108555287843852,25.28837257925562,0.05755395683453238,0.03597122302158273
PCA,2025-12,e_rms72,963,139,4.5032784533455,7.383134613001004,12.895669177577208,7.688177672088921,9.994318447481138,22.743250893218935,0.0,0.16546762589928057
PCA,2025-12,btc_vol24,963,139,17.3488156976641,34.24872096422096,83.6293694456358,19.690539625004554,47.52447592947762,88.98177759572336,0.0,0.05755395683453238
PCA,2025-12,account_log,963,139,-0.7884300134266463,0.17717972688107214,1.1751204572070737,0.32223638829310874,0.7146797811772282,1.0830640975729378,0.0,0.0
PCA,2025-12,funding_bp,963,139,-0.529,0.5039,1.0,-0.1732,0.43779999999999997,1.0,0.0,0.0
PCA,2025-12,oi_ret1,963,139,-146.36464058727972,2.699086347615065,234.81996080284517,-120.41749974243032,5.076533414314355,231.15406145722915,0.007194244604316547,0.014388489208633094
PCA,2025-12,oi_change24,963,139,-670.5913245620795,7.536006794719441,889.497981812018,-292.905038380098,16.988603224401544,481.0966275688263,0.0,0.0
PCA,2025-12,local_volume_surprise,963,139,-1.0066556148733956,0.25090569189107015,1.755184761470556,-1.1294679165304022,0.31318078956073236,2.2036919067264567,0.02158273381294964,0.02877697841726619
PCA,2025-12,fx_ret1,963,139,-29.316771176441847,0.07030593628165605,27.885255959629163,-43.43344851539097,0.9467903813220602,24.707665814308143,0.02158273381294964,0.007194244604316547
EQ,2026-01,e_now,1102,137,-21.99468984731645,0.20491205894609293,16.118512876594068,-18.097291154902155,-3.816478545343345,15.023834059078581,0.0072992700729927005,0.0
EQ,2026-01,e_change1,1102,137,-19.110952896556004,-0.0825077054135599,19.828496444684404,-19.360421015828088,0.011394164556534747,22.680950622018123,0.014598540145985401,0.014598540145985401
EQ,2026-01,e_rms72,1102,137,4.55604869364828,7.663584406464921,15.78393844332072,6.251031101844149,8.752626264903434,12.375922285099577,0.0,0.0
EQ,2026-01,btc_vol24,1102,137,17.565243580235762,35.36107330973179,85.32894920383747,17.558169870266347,38.94713746603069,87.6550654177103,0.014598540145985401,0.0364963503649635
EQ,2026-01,account_log,1102,137,-0.7849542352859784,0.3318269072305551,1.1608798619206044,-0.053984830067052514,0.7237267722981787,1.1164467648958103,0.0,0.0
EQ,2026-01,funding_bp,1102,137,-0.4498,0.49385,1.0,-0.2813,0.511,1.0,0.0,0.0
EQ,2026-01,oi_ret1,1102,137,-142.46297111929795,2.84607509873247,236.66131601466668,-100.65635511212676,6.036572169012544,131.89809375733003,0.0,0.0072992700729927005
EQ,2026-01,oi_change24,1102,137,-668.1946273932093,9.352584041231182,868.7425514238494,-348.23246340982837,17.57295494332567,573.407906167115,0.0,0.0
EQ,2026-01,local_volume_surprise,1102,137,-1.0512100041286838,0.256816019103411,1.8264916006143073,-0.9256549514124277,0.3448282032185137,1.8842849828505577,0.0072992700729927005,0.014598540145985401
EQ,2026-01,fx_ret1,1102,137,-30.38172567557007,0.14399801445907912,27.757468928497357,-33.38953485413114,-0.2717280545816436,25.16239147903429,0.021897810218978103,0.0072992700729927005
CAP,2026-01,e_now,1102,137,-16.962267022834954,0.187062667907228,14.494480241620119,-16.270874689721605,-4.635962847780461,10.383659022429804,0.0072992700729927005,0.0072992700729927005
CAP,2026-01,e_change1,1102,137,-17.747739689857507,0.09331347547905455,16.848906051270117,-15.494137370650561,-0.4312199661121827,14.420877693300193,0.0,0.0072992700729927005
CAP,2026-01,e_rms72,1102,137,4.8524714739392785,7.005176192514225,12.773923060106426,5.708822003614122,7.395824474449559,10.531338799024466,0.0,0.0
CAP,2026-01,btc_vol24,1102,137,17.565243580235762,35.36107330973179,85.32894920383747,17.558169870266347,38.94713746603069,87.6550654177103,0.014598540145985401,0.0364963503649635
CAP,2026-01,account_log,1102,137,-0.7849542352859784,0.3318269072305551,1.1608798619206044,-0.053984830067052514,0.7237267722981787,1.1164467648958103,0.0,0.0
CAP,2026-01,funding_bp,1102,137,-0.4498,0.49385,1.0,-0.2813,0.511,1.0,0.0,0.0
