definition,learner,seed,sample,minimum_gap_bp,block_days,n,quantity,estimate,lo,hi,bootstrap_valid,p
CAP,linear,20260926,2026-03,5,5,74,excess,7.2257961251089124,1.1338469718853887,11.546518009337133,1.0,0.011
CAP,linear,20260926,2026-03,5,5,74,cross,0.44829012890891606,0.09185715154696009,0.7395368637143553,1.0,0.0065
CAP,linear,20260926,2026-03,5,5,74,overshot,0.13972800567469704,-0.17389728163822804,0.2991590101169224,1.0,0.21
CAP,linear,20260926,without_2026-03,5,5,201,gap,1.2359352527377208,-0.4777559767611292,2.9295176733778963,1.0,0.1665
CAP,linear,20260926,without_2026-03,5,5,201,excess,3.3281973149817916,1.0243042498376436,6.41631829644662,1.0,0.0185
CAP,linear,20260926,without_2026-03,5,5,201,cross,0.2664384869895922,0.052218166432056845,0.501548777287494,1.0,0.023
CAP,linear,20260926,without_2026-03,5,5,201,overshot,0.14434107163217916,0.05068456436745412,0.2667655276261741,1.0,0.0095
EQ,forest20,20260926,full,5,1,318,gap,1.5570091119803755,-1.237907780913219,4.691996153672782,1.0,0.307
EQ,forest20,20260926,full,5,1,318,excess,2.2524492637050475,-0.822724650220997,5.412598516414323,1.0,0.158
EQ,forest20,20260926,full,5,1,318,cross,0.29328045876899,0.13241941009300803,0.4391219535202968,1.0,0.0005
EQ,forest20,20260926,full,5,1,318,overshot,0.10817924270414513,0.019601914178261622,0.18901048900562611,1.0,0.014
EQ,forest20,20260926,full,5,5,318,gap,1.5570091119803755,-0.6812828260737538,3.927829213133989,1.0,0.1865
EQ,forest20,20260926,full,5,5,318,excess,2.2524492637050475,-0.8891011626490463,5.344807726874388,1.0,0.1655
EQ,forest20,20260926,full,5,5,318,cross,0.29328045876899,0.15723710654277073,0.4327868266110773,1.0,0.0005
EQ,forest20,20260926,full,5,5,318,overshot,0.10817924270414513,0.03046987366192357,0.17948676539855518,1.0,0.005
EQ,forest20,20260926,full,5,10,318,gap,1.5570091119803755,-0.28937930792396493,3.514314009495808,1.0,0.12
EQ,forest20,20260926,full,5,10,318,excess,2.2524492637050475,-0.596273031222537,5.03617022118468,1.0,0.1205
EQ,forest20,20260926,full,5,10,318,cross,0.29328045876899,0.17153678995159174,0.4232138637239144,1.0,0.0005
EQ,forest20,20260926,full,5,10,318,overshot,0.10817924270414513,0.04345881978784755,0.16928283914176767,1.0,0.0005
EQ,forest20,20260926,full,0,5,509,gap,0.7863400154694938,-0.5425363459060275,2.2343442047170226,1.0,0.2545
EQ,forest20,20260926,full,0,5,509,excess,3.1822148896161475,1.3265178205241241,5.114516008033603,1.0,0.0025
EQ,forest20,20260926,full,0,5,509,cross,0.2207326345058485,0.10496946796489336,0.33129024617892006,1.0,0.0005
EQ,forest20,20260926,full,0,5,509,overshot,0.13755048375496884,0.06223344056573885,0.21147736520558402,1.0,0.0005
EQ,forest20,20260926,full,10,5,177,gap,2.170902752533892,-1.3767877981326844,6.028763134951237,1.0,0.2915
EQ,forest20,20260926,full,10,5,177,excess,0.06555042678000914,-3.5954454363683794,4.0511970383675155,1.0,0.9725
EQ,forest20,20260926,full,10,5,177,cross,0.3401172502519619,0.1893200584473732,0.5108660453155245,1.0,0.0005
EQ,forest20,20260926,full,10,5,177,overshot,0.08611892753203955,0.01913521496939264,0.16443458125199312,1.0,0.02
EQ,forest20,20260926,nonoverlap,5,5,115,gap,1.207313982216062,-2.413109055475048,5.163112467639516,1.0,0.5435
EQ,forest20,20260926,nonoverlap,5,5,115,excess,3.241595159194915,-0.48853906261212754,7.220599335850487,1.0,0.0955
EQ,forest20,20260926,nonoverlap,5,5,115,cross,0.27817732546158946,0.05911804964515172,0.5172731506392586,1.0,0.019
EQ,forest20,20260926,nonoverlap,5,5,115,overshot,0.18036193480054455,0.06451767934161798,0.30393430467926486,1.0,0.0025
EQ,forest20,20260926,overlap,5,5,239,gap,1.2840434162174972,-1.1004621451986156,3.7410316953917127,1.0,0.3035
EQ,forest20,20260926,overlap,5,5,239,excess,2.533748361168356,-0.752008319754885,5.784341705525284,1.0,0.135
EQ,forest20,20260926,overlap,5,5,239,cross,0.2752260268279308,0.13288061601605047,0.4163647130999239,1.0,0.0005
EQ,forest20,20260926,overlap,5,5,239,overshot,0.10693481446696065,0.0289224779206469,0.1796263041443404,1.0,0.006
EQ,forest20,20260926,2025-12,5,5,84,gap,7.0795560012673375,1.5066040122045166,12.889199511470528,1.0,0.0105
EQ,forest20,20260926,2025-12,5,5,84,excess,-4.816344824839612,-10.046750327369182,2.741727646543502,1.0,0.1355
EQ,forest20,20260926,2025-12,5,5,84,cross,0.20193302703734442,-0.05885540356424964,0.5118534901931832,1.0,0.1675
EQ,forest20,20260926,2025-12,5,5,84,overshot,-0.032649296536764606,-0.16776422753979978,0.07526827913991631,1.0,0.573
EQ,forest20,20260926,without_2025-12,5,5,234,gap,-0.043233287288818194,-1.991890303870534,2.084719946923632,1.0,0.9735
