table,label,stat,printed,source,recomputed,matches_printed_precision,file,column
1,DXY_ret,q25,-0.067,default_B300,-0.066512102221765,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,median,-0.002,default_B300,-0.002059626177874918,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,q75,0.079,default_B300,0.07893000903442499,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,max,1.035,default_B300,1.0350752582477,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,skew,-0.46,default_B300,-0.45926833424886576,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,DXY_ret,excess_kurtosis,6.00,default_B300,5.999119753626147,True,baseline_dataset_with_residual_final.csv,DXY_ret
1,VIX,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,mean,17.69,default_B300,17.689118881118883,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,std,2.84,default_B300,2.8398347746782973,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,min,13.48,default_B300,13.48,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,q25,15.85,default_B300,15.844999999999999,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,median,16.84,default_B300,16.84,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,q75,18.74,default_B300,18.735,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,max,31.57,default_B300,31.57,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,skew,1.53,default_B300,1.5341681510237934,True,baseline_dataset_with_residual_final.csv,VIX
1,VIX,excess_kurtosis,2.37,default_B300,2.3691378041274205,True,baseline_dataset_with_residual_final.csv,VIX
1,USDKRW_ret,N,715,default_B300,715.0,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,mean,0.011,default_B300,0.011239721079775958,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,std,0.298,default_B300,0.2979822711183332,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,min,-2.254,default_B300,-2.25356072845261,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,q25,-0.079,default_B300,-0.078927089045775,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,median,-0.001,default_B300,-0.0006832677965640244,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,q75,0.095,default_B300,0.09520673083933,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,max,2.070,default_B300,2.0702105952836702,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,skew,-0.12,default_B300,-0.11780643184846432,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
1,USDKRW_ret,excess_kurtosis,13.03,default_B300,13.030991957098621,True,baseline_dataset_with_residual_final.csv,USDKRW_ret
2,Normal,N,643,default_B300,643.0,True,table1_residual_descriptive.csv,n
2,Normal,N,643,archive_main_B40,643.0,True,table1_residual_descriptive.csv,n
2,Normal,N,643,historical_saved_NOT_RERUN,643.0,True,table1_residual_descriptive.csv,n
2,Normal,mean,0.58,default_B300,0.5763476335132015,True,table1_residual_descriptive.csv,mean
2,Normal,mean,0.58,archive_main_B40,0.5763476335132015,True,table1_residual_descriptive.csv,mean
2,Normal,mean,0.58,historical_saved_NOT_RERUN,0.5763476335132015,True,table1_residual_descriptive.csv,mean
2,Normal,std,9.06,default_B300,9.058063432464001,True,table1_residual_descriptive.csv,std
2,Normal,std,9.06,archive_main_B40,9.058063432464001,True,table1_residual_descriptive.csv,std
2,Normal,std,9.06,historical_saved_NOT_RERUN,9.058063432464001,True,table1_residual_descriptive.csv,std
2,Normal,skew,-0.76,default_B300,-0.7582217530927607,True,table1_residual_descriptive.csv,skew
2,Normal,skew,-0.76,archive_main_B40,-0.7582217530927607,True,table1_residual_descriptive.csv,skew
2,Normal,skew,-0.76,historical_saved_NOT_RERUN,-0.7582217530927607,True,table1_residual_descriptive.csv,skew
2,Downside,N,72,default_B300,72.0,True,table1_residual_descriptive.csv,n
2,Downside,N,72,archive_main_B40,72.0,True,table1_residual_descriptive.csv,n
2,Downside,N,72,historical_saved_NOT_RERUN,72.0,True,table1_residual_descriptive.csv,n
2,Downside,mean,-5.15,default_B300,-5.147104560402999,True,table1_residual_descriptive.csv,mean
2,Downside,mean,-5.15,archive_main_B40,-5.147104560402999,True,table1_residual_descriptive.csv,mean
