scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs,reference_reconstruction_mse
clock_FXKST_USNY_quote,ae_relu_1,2025-10,378,27,84.15662324881295,121.5881484058147,82.86574551285128,-2.3273307734295607,57.962241483301966,222.07669479229963,0.9853266205629825,355,1.3715263069624686
clock_FXKST_USNY_quote,ae_relu_2,2025-10,378,27,104.28438228850347,148.11166369019577,-102.48761257048982,-264.17589157469865,-79.64345121911205,3.8924390500144477,0.9829604088870163,355,2.1487372933353797
clock_FXKST_USNY_quote,ae_tanh_1,2025-10,378,27,120.54520994405853,177.16664814262336,118.1957374112654,-4.674929221228921,73.75630953532956,326.14025438931435,0.9859488498823621,355,2.89409542446286
clock_FXKST_USNY_quote,ae_tanh_2,2025-10,378,27,108.7970417676348,162.6267504413065,104.8398437296789,-8.257594379296515,54.24644211143695,303.4624625805564,0.9848179310255579,355,2.7786853486949097
clock_FXKST_USNY_quote,conditional_neural,2025-10,378,27,7.241963186791814,10.181285371775013,5.275661498958466,-3.721375756691573,3.968356504841381,15.900657443341041,0.2271557098830256,355,0.005774636651261701
clock_FXKST_USNY_quote,pca_selected,2025-10,378,27,5.079363579239573,6.20488942055858,3.400857802183591,-3.7344784206444213,3.642846980519529,9.933796713026464,0.28705977983891573,355,0.0014709420846371992
clock_FXKST_USNY_quote,ae_selected,2025-10,378,27,84.15662324881295,121.5881484058147,82.86574551285128,-2.3273307734295607,57.962241483301966,222.07669479229963,0.9853266205629825,355,1.3715263069624686
clock_FXKST_USNY_quote,ae_reconstruction_selected,2025-10,378,27,5460355458.144039,8517045933.835059,5460150731.73916,-7.031947312121782,2370858695.4032164,15980941098.037855,0.984349284095876,355,2.324836646397348
clock_FXKST_USNY_quote,sequential_ols,2025-11,333,25,6.44826204663676,8.502112802111146,-1.297499059555556,-10.872529180663173,-0.8711627072150065,8.377609286906553,0.4004422440037529,312,
clock_FXKST_USNY_quote,pca_1,2025-11,333,25,6.433697712314652,8.487926393474805,-1.2974855795879403,-10.843522100143003,-0.865103667142165,8.3571815127974,0.40180708957601186,312,0.002582182112355683
