mode,definition,month,window,band,train_n,forecast_n,inner_eligible_n,smallest_threshold_regime,residual_fit_end,train_last_label,features_R,features_B,features_F
strict,EQ,2026-01,all,"[0.2, 0.8]",994,126,126,199,2025-12-31T17:00:00+00:00,2025-12-31T17:00:00+00:00,5,12,20
strict,EQ,2026-01,all,"[0.35, 0.65]",994,126,126,298,2025-12-31T17:00:00+00:00,2025-12-31T17:00:00+00:00,5,12,20
strict,EQ,2026-01,90,"[0.2, 0.8]",399,126,126,80,2025-12-31T17:00:00+00:00,2025-12-31T17:00:00+00:00,5,12,20
strict,EQ,2026-01,90,"[0.35, 0.65]",399,126,126,119,2025-12-31T17:00:00+00:00,2025-12-31T17:00:00+00:00,5,12,20
strict,EQ,2026-02,all,"[0.2, 0.8]",1120,120,120,224,2026-01-30T17:00:00+00:00,2026-01-30T17:00:00+00:00,5,12,20
strict,EQ,2026-02,all,"[0.35, 0.65]",1120,120,120,336,2026-01-30T17:00:00+00:00,2026-01-30T17:00:00+00:00,5,12,20
strict,EQ,2026-02,90,"[0.2, 0.8]",378,120,120,76,2026-01-30T17:00:00+00:00,2026-01-30T17:00:00+00:00,5,12,20
strict,EQ,2026-02,90,"[0.35, 0.65]",378,120,120,114,2026-01-30T17:00:00+00:00,2026-01-30T17:00:00+00:00,5,12,20
strict,EQ,2026-03,all,"[0.2, 0.8]",1240,89,89,248,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,12,20
strict,EQ,2026-03,all,"[0.35, 0.65]",1240,89,89,372,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,12,20
strict,EQ,2026-03,90,"[0.2, 0.8]",378,89,89,76,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,12,20
strict,EQ,2026-03,90,"[0.35, 0.65]",378,89,89,114,2026-02-27T17:00:00+00:00,2026-02-27T17:00:00+00:00,5,12,20
