mode,definition,fold,info,model,window,form,params,validation_loss_bp,train_n,test_n
strict,CAP,2026-03,history,linear,90,level,"{""alpha"": 0.05}",1.176536876398029,378,89
strict,CAP,2026-03,history,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.2957280022382278,1240,89
strict,CAP,2026-03,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.2701957012485723,378,89
strict,PCA,2025-11,base,linear,all,change,"{""alpha"": 0.05}",1.268781691396923,742,120
strict,PCA,2025-11,base,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3239975630290028,742,120
strict,PCA,2025-11,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.340295282517621,742,120
strict,PCA,2025-11,full,linear,all,change,"{""alpha"": 0.0}",1.2558735175743305,742,120
strict,PCA,2025-11,full,boosting,90,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.3185628518914394,455,120
strict,PCA,2025-11,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.3514739185228013,742,120
strict,PCA,2025-11,history,linear,all,change,"{""alpha"": 0.05}",1.268781691396923,742,120
strict,PCA,2025-11,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.3241364385730652,742,120
strict,PCA,2025-11,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.3569226674520751,742,120
strict,PCA,2025-12,base,linear,90,change,"{""alpha"": 0.05}",1.8658934106382659,428,132
strict,PCA,2025-12,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.7828916723678327,428,132
strict,PCA,2025-12,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6950915668524653,428,132
strict,PCA,2025-12,full,linear,90,change,"{""alpha"": 0.05}",1.8658934106382659,428,132
strict,PCA,2025-12,full,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.7816542629372742,428,132
strict,PCA,2025-12,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6802163906355299,428,132
strict,PCA,2025-12,history,linear,90,change,"{""alpha"": 0.05}",1.8658934106382659,428,132
strict,PCA,2025-12,history,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.7936680402222662,428,132
strict,PCA,2025-12,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.6863393679372478,428,132
strict,PCA,2026-01,base,linear,90,change,"{""alpha"": 0.01}",2.189572002778579,399,126
strict,PCA,2026-01,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.993541166035507,994,126
strict,PCA,2026-01,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0449578821224033,994,126
strict,PCA,2026-01,full,linear,90,level,"{""alpha"": 0.0}",2.145625119570791,399,126
strict,PCA,2026-01,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.0709417756538038,994,126
strict,PCA,2026-01,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0616890614527454,399,126
strict,PCA,2026-01,history,linear,90,change,"{""alpha"": 0.0}",2.181356756432694,399,126
strict,PCA,2026-01,history,boosting,90,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.077032092060328,399,126
strict,PCA,2026-01,history,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0727110367989465,994,126
strict,PCA,2026-02,base,linear,90,level,"{""alpha"": 0.05}",1.0604139321128185,378,120
strict,PCA,2026-02,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.1691792361891298,378,120
strict,PCA,2026-02,base,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.093962877210132,378,120
strict,PCA,2026-02,full,linear,90,level,"{""alpha"": 0.05}",1.0604139321128185,378,120
strict,PCA,2026-02,full,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.1841185766424125,1120,120
strict,PCA,2026-02,full,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.0921587086041735,378,120
strict,PCA,2026-02,history,linear,90,level,"{""alpha"": 0.05}",1.0604139321128185,378,120
strict,PCA,2026-02,history,boosting,all,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",1.1686227576036403,1120,120
strict,PCA,2026-02,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 1.0, ""min_samples_leaf"": 40}",1.0820593638498466,378,120
strict,PCA,2026-03,base,linear,90,level,"{""alpha"": 0.05}",2.1328677114534496,378,89
strict,PCA,2026-03,base,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.2664461404852645,378,89
strict,PCA,2026-03,base,qrf,90,change,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",2.0352104504352524,378,89
strict,PCA,2026-03,full,linear,90,level,"{""alpha"": 0.0}",2.108467549201242,378,89
strict,PCA,2026-03,full,boosting,90,change,"{""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.2471491582861787,378,89
strict,PCA,2026-03,full,qrf,90,change,"{""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 20}",2.063604877597072,378,89
strict,PCA,2026-03,history,linear,all,level,"{""alpha"": 0.01}",2.1315644189068954,1240,89
strict,PCA,2026-03,history,boosting,90,change,"{""max_depth"": 1, ""min_samples_leaf"": 20, ""n_estimators"": 150}",2.2717783178827546,378,89
strict,PCA,2026-03,history,qrf,90,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",2.0372890200403457,378,89
available_macro,EQ,2025-11,base,linear,all,change,"{""alpha"": 0.05}",1.2580091391209967,1582,280
available_macro,EQ,2025-11,base,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.1985482431143926,1582,280
available_macro,EQ,2025-11,base,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.28951509419179,1582,280
available_macro,EQ,2025-11,full,linear,all,change,"{""alpha"": 0.05}",1.2580091391209967,1582,280
available_macro,EQ,2025-11,full,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.2199558303320017,1582,280
available_macro,EQ,2025-11,full,qrf,all,change,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 20}",1.293619153386373,1582,280
available_macro,EQ,2025-11,history,linear,all,change,"{""alpha"": 0.05}",1.2580091391209967,1582,280
available_macro,EQ,2025-11,history,boosting,all,change,"{""max_depth"": 2, ""min_samples_leaf"": 40, ""n_estimators"": 250}",1.227461208169823,1582,280
