mode,definition,model,info,calibration,reference_model,reference_info,reference_calibration,block_days,comparison,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
available_macro,CAP,linear,base,calibrated,linear,base,raw,10,online_correction,1088,0.017034773724543886,-0.03813158746493484,0.08486123291243514,-1.331626895536142,-6.538508486651498,3.053302627766531,0.6105,2,4
available_macro,CAP,linear,full,calibrated,linear,full,raw,1,online_correction,1088,0.0711070040464568,-0.031230866054671548,0.18420099916956698,-5.528050730283929,-14.283674113647006,2.419321266683652,0.1805,2,4
available_macro,CAP,linear,full,calibrated,linear,full,raw,5,online_correction,1088,0.0711070040464568,-0.051892621979869644,0.236316067439734,-5.528050730283929,-17.761666373275663,4.058062015346527,0.4195,2,4
available_macro,CAP,linear,full,calibrated,linear,full,raw,10,online_correction,1088,0.0711070040464568,-0.04387793492906601,0.22331190746960877,-5.528050730283929,-16.77941119628925,3.481717411650501,0.4085,2,4
available_macro,CAP,linear,history,calibrated,linear,history,raw,1,online_correction,1088,0.01905452778803894,-0.04691570406452291,0.08607480640546968,-1.4887710201965998,-6.900328037589293,3.5733245228445143,0.581,2,4
available_macro,CAP,linear,history,calibrated,linear,history,raw,5,online_correction,1088,0.01905452778803894,-0.04631645197523577,0.09666172950505593,-1.4887710201965998,-7.202220751225939,3.6791633097881307,0.6105,2,4
available_macro,CAP,linear,history,calibrated,linear,history,raw,10,online_correction,1088,0.01905452778803894,-0.0378954396890957,0.08889279848865315,-1.4887710201965998,-6.8018286792815985,3.025198135069746,0.583,2,4
available_macro,CAP,boosting,base,calibrated,boosting,base,raw,1,online_correction,1088,-0.02020321259632307,-0.08188778075312005,0.038498161422283746,1.6196075618299277,-3.1493872854210903,6.311411943468058,0.5135,1,4
available_macro,CAP,boosting,base,calibrated,boosting,base,raw,5,online_correction,1088,-0.02020321259632307,-0.08061809958007193,0.03897203294799944,1.6196075618299277,-3.0914462767645476,6.373437465940515,0.52,1,4
available_macro,CAP,boosting,base,calibrated,boosting,base,raw,10,online_correction,1088,-0.02020321259632307,-0.06542135025924277,0.025159347556279733,1.6196075618299277,-1.9629570618881242,5.284300383483751,0.386,1,4
available_macro,CAP,boosting,full,calibrated,boosting,full,raw,1,online_correction,1088,-0.037423702499107626,-0.10739694431420437,0.02764458880094861,2.9619240473280795,-2.270720278037853,8.146714276826652,0.283,1,4
available_macro,CAP,boosting,full,calibrated,boosting,full,raw,5,online_correction,1088,-0.037423702499107626,-0.10474085147659853,0.02901173588234759,2.9619240473280795,-2.2716955596762283,8.2775325147845,0.278,1,4
available_macro,CAP,boosting,full,calibrated,boosting,full,raw,10,online_correction,1088,-0.037423702499107626,-0.08707054146930422,0.011248176064651744,2.9619240473280795,-0.8455922641299565,6.9370674472116205,0.1415,1,4
available_macro,CAP,boosting,history,calibrated,boosting,history,raw,1,online_correction,1088,-0.07036698857894982,-0.14773751167392932,0.001442363494034097,5.420640444172687,-0.11274901392139004,10.867227896843868,0.065,2,4
available_macro,CAP,boosting,history,calibrated,boosting,history,raw,5,online_correction,1088,-0.07036698857894982,-0.14476851165680593,-0.0017901484694818155,5.420640444172687,0.13120665868276205,10.937317786627284,0.054,2,4
available_macro,CAP,boosting,history,calibrated,boosting,history,raw,10,online_correction,1088,-0.07036698857894982,-0.12867963303123842,-0.014500876187922573,5.420640444172687,1.0918972999278957,9.798343175611194,0.0155,2,4
available_macro,CAP,qrf,base,calibrated,qrf,base,raw,1,online_correction,1088,-0.0037869197429659107,-0.06337526471659645,0.05487930261940412,0.29999770031535755,-4.536650053984396,4.806617545216928,0.9025,2,4
available_macro,CAP,qrf,base,calibrated,qrf,base,raw,5,online_correction,1088,-0.0037869197429659107,-0.059133044930951936,0.052716413190291245,0.29999770031535755,-4.1309783389963615,4.635887328733168,0.893,2,4
available_macro,CAP,qrf,base,calibrated,qrf,base,raw,10,online_correction,1088,-0.0037869197429659107,-0.04604564692492923,0.040298196847808346,0.29999770031535755,-3.1809683326161293,3.6363171294461716,0.8685,2,4
available_macro,CAP,qrf,full,calibrated,qrf,full,raw,1,online_correction,1088,0.011267503235033503,-0.04354512276734096,0.06972499387152867,-0.9121854940519425,-5.808293010741767,3.4220130671953517,0.701,1,4
available_macro,CAP,qrf,full,calibrated,qrf,full,raw,5,online_correction,1088,0.011267503235033503,-0.04642315831191423,0.06976303535081611,-0.9121854940519425,-5.553657620342832,3.6800253744663083,0.6935,1,4
available_macro,CAP,qrf,full,calibrated,qrf,full,raw,10,online_correction,1088,0.011267503235033503,-0.03263405214544525,0.05795192750728235,-0.9121854940519425,-4.6471097014888185,2.6521598208275297,0.612,1,4
available_macro,CAP,qrf,history,calibrated,qrf,history,raw,1,online_correction,1088,0.005303048200330714,-0.05358421505775977,0.0649863575858168,-0.42797188179346524,-5.465012821436823,4.191720934444268,0.863,2,4
