mode,definition,model,info,calibration,subset,n,loss_bp,below_rate
available_macro,CAP,linear,history,calibrated,original_origins,467,1.3273939097885459,0.10278372591006424
available_macro,CAP,linear,history,calibrated,additional_origins,621,1.277538031558257,0.09178743961352658
available_macro,CAP,qrf,base,raw,original_origins,467,1.32797267709776,0.17558886509635974
available_macro,CAP,qrf,base,raw,additional_origins,621,1.2129417840064387,0.15619967793880837
available_macro,CAP,qrf,base,calibrated,original_origins,467,1.3007844975223826,0.10278372591006424
available_macro,CAP,qrf,base,calibrated,additional_origins,621,1.2267529131229515,0.09339774557165861
available_macro,CAP,qrf,full,raw,original_origins,467,1.273091135670418,0.15417558886509636
available_macro,CAP,qrf,full,raw,additional_origins,621,1.2067414889576364,0.14170692431561996
available_macro,CAP,qrf,full,calibrated,original_origins,467,1.2717504522210938,0.09421841541755889
available_macro,CAP,qrf,full,calibrated,additional_origins,621,1.227490511003612,0.09500805152979067
available_macro,CAP,qrf,history,raw,original_origins,467,1.286950115179697,0.16916488222698073
available_macro,CAP,qrf,history,raw,additional_origins,621,1.2031359979506864,0.14814814814814814
available_macro,CAP,qrf,history,calibrated,original_origins,467,1.280890375367777,0.1006423982869379
available_macro,CAP,qrf,history,calibrated,additional_origins,621,1.2169840091167514,0.09178743961352658
available_macro,EQ,boosting,base,raw,original_origins,467,1.9349321023973693,0.20985010706638116
available_macro,EQ,boosting,base,raw,additional_origins,621,1.7318884267243673,0.16264090177133655
available_macro,EQ,boosting,base,calibrated,original_origins,467,1.7739080216423868,0.11349036402569593
available_macro,EQ,boosting,base,calibrated,additional_origins,621,1.7439055300518118,0.0853462157809984
available_macro,EQ,boosting,full,raw,original_origins,467,1.9424908546053263,0.19700214132762311
available_macro,EQ,boosting,full,raw,additional_origins,621,1.7288492366782584,0.1610305958132045
available_macro,EQ,boosting,full,calibrated,original_origins,467,1.816116260125181,0.11563169164882227
available_macro,EQ,boosting,full,calibrated,additional_origins,621,1.7503618403398318,0.08373590982286634
available_macro,EQ,boosting,history,raw,original_origins,467,1.948588081569374,0.19914346895074947
available_macro,EQ,boosting,history,raw,additional_origins,621,1.7459843687423444,0.1642512077294686
available_macro,EQ,boosting,history,calibrated,original_origins,467,1.8043134981453293,0.11563169164882227
available_macro,EQ,boosting,history,calibrated,additional_origins,621,1.7850409327309325,0.09017713365539452
available_macro,EQ,linear,base,raw,original_origins,467,1.9679097504286618,0.15845824411134904
available_macro,EQ,linear,base,raw,additional_origins,621,1.7379391572739202,0.1288244766505636
available_macro,EQ,linear,base,calibrated,original_origins,467,1.829216895446317,0.10492505353319058
available_macro,EQ,linear,base,calibrated,additional_origins,621,1.7986596108098627,0.0821256038647343
available_macro,EQ,linear,full,raw,original_origins,467,1.984185405480449,0.16488222698072805
available_macro,EQ,linear,full,raw,additional_origins,621,1.761660905474203,0.13043478260869565
available_macro,EQ,linear,full,calibrated,original_origins,467,1.8214794386067423,0.10492505353319058
available_macro,EQ,linear,full,calibrated,additional_origins,621,1.8392267177456407,0.08373590982286634
available_macro,EQ,linear,history,raw,original_origins,467,1.961593656848977,0.16488222698072805
available_macro,EQ,linear,history,raw,additional_origins,621,1.7507918271762974,0.1288244766505636
available_macro,EQ,linear,history,calibrated,original_origins,467,1.8008836923701177,0.10492505353319058
available_macro,EQ,linear,history,calibrated,additional_origins,621,1.8400396106026362,0.08373590982286634
available_macro,EQ,qrf,base,raw,original_origins,467,1.780461743149577,0.17987152034261242
available_macro,EQ,qrf,base,raw,additional_origins,621,1.6244429963458518,0.1497584541062802
available_macro,EQ,qrf,base,calibrated,original_origins,467,1.6701583465886445,0.11991434689507495
available_macro,EQ,qrf,base,calibrated,additional_origins,621,1.6693793436158935,0.09017713365539452
available_macro,EQ,qrf,full,raw,original_origins,467,1.788283133854399,0.18201284796573874
available_macro,EQ,qrf,full,raw,additional_origins,621,1.6512700018125157,0.1497584541062802
available_macro,EQ,qrf,full,calibrated,original_origins,467,1.6689678594361488,0.11991434689507495
available_macro,EQ,qrf,full,calibrated,additional_origins,621,1.6994550452427106,0.09178743961352658
available_macro,EQ,qrf,history,raw,original_origins,467,1.7732469043028913,0.18843683083511778
available_macro,EQ,qrf,history,raw,additional_origins,621,1.6268238302672944,0.15780998389694043
available_macro,EQ,qrf,history,calibrated,original_origins,467,1.647456115967374,0.11563169164882227
available_macro,EQ,qrf,history,calibrated,additional_origins,621,1.647836846168302,0.09339774557165861
