datetime,open,high,low,close
2025-12-26 11:00:00,4546.92,4549.92,4531.52,4536.71
2025-12-26 10:00:00,4521.95,4547.32,4519.8,4546.96
2025-12-26 09:00:00,4525.54,4533.23,4512.97,4521.96
2025-12-26 08:00:00,4507.14,4528.46,4504.16,4525.54
2025-12-26 07:00:00,4509.76,4514.93,4506.92,4507.16
2025-12-26 06:00:00,4514.51,4515.2,4503.21,4509.76
2025-12-26 05:00:00,4512.82,4523.66,4511.48,4514.51
2025-12-26 04:00:00,4518.95,4520.58,4512.1,4512.82
2025-12-26 03:00:00,4510.78,4519.54,4509.86,4518.92
2025-12-26 02:00:00,4511.86,4515.66,4507.45,4510.78
2025-12-26 01:00:00,4510.04,4519.43,4508.18,4511.83
2025-12-26 00:00:00,4509.01,4514.82,4506.26,4510.04
2025-12-25 23:00:00,4501.74,4511.79,4500.65,4509.01
2025-12-25 22:00:00,4508.78,4513.43,4497.71,4501.73
2025-12-25 21:00:00,4504.0,4509.88,4492.51,4508.78
2025-12-25 20:00:00,4518.63,4531.04,4498.01,4504.01
2025-12-25 19:00:00,4495.3,4518.6,4492.52,4518.6
2025-12-25 18:00:00,4472.69,4499.89,4472.31,4495.29
2025-12-24 13:00:00,4480.68,4482.5,4477.4,4479.42
2025-12-24 12:00:00,4476.95,4487.85,4475.61,4480.68
2025-12-24 11:00:00,4458.19,4478.1,4456.13,4476.93
2025-12-24 10:00:00,4463.54,4476.65,4448.66,4458.19
2025-12-24 09:00:00,4487.98,4489.45,4460.83,4463.55
2025-12-24 08:00:00,4490.44,4493.48,4475.0,4487.97
2025-12-24 07:00:00,4491.62,4496.06,4489.9,4490.44
2025-12-24 06:00:00,4489.48,4491.95,4483.35,4491.62
2025-12-24 05:00:00,4494.8,4500.01,4482.59,4489.47
2025-12-24 04:00:00,4482.97,4496.13,4482.28,4494.8
2025-12-24 03:00:00,4483.96,4492.84,4478.4,4482.99
2025-12-24 02:00:00,4494.12,4495.04,4483.7,4483.96
2025-12-24 01:00:00,4488.57,4498.12,4485.64,4494.12
2025-12-24 00:00:00,4499.35,4500.66,4485.34,4488.57
2025-12-23 23:00:00,4493.41,4501.5,4491.4,4499.35
2025-12-23 22:00:00,4477.91,4498.26,4471.5,4493.41
2025-12-23 21:00:00,4518.82,4519.31,4475.29,4478.14
2025-12-23 20:00:00,4512.88,4525.77,4507.28,4518.85
2025-12-23 19:00:00,4503.63,4518.21,4500.88,4512.9
2025-12-23 18:00:00,4487.06,4510.39,4485.87,4503.62
2025-12-23 16:00:00,4497.76,4499.04,4483.36,4484.47
2025-12-23 15:00:00,4490.78,4499.85,4489.5,4497.76
2025-12-23 14:00:00,4484.8,4496.35,4484.53,4490.76
2025-12-23 13:00:00,4473.05,4485.04,4472.91,4484.8
2025-12-23 12:00:00,4474.38,4479.9,4470.11,4473.04
2025-12-23 11:00:00,4458.36,4476.55,4456.06,4474.37
2025-12-23 10:00:00,4445.31,4459.3,4430.81,4458.36
2025-12-23 09:00:00,4479.01,4479.87,4441.74,4445.22
