scenario,scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd
clock_UTC_quote,core,matched,1,linear,M1,0.5,btc_ret,724,estimated,-53.7600125305854,-0.2386657083038411
clock_UTC_quote,core,matched,1,linear,M1,0.9,e_origin,724,estimated,0.4208201882369832,4.252059137658067
clock_UTC_quote,core,matched,1,linear,M1,0.9,downside,724,estimated,-50209.744003259766,-0.7896083951157283
clock_UTC_quote,core,matched,1,linear,M1,0.9,btc_vol,724,estimated,676.3423129434364,1.3086166613062755
clock_UTC_quote,core,matched,1,linear,M1,0.9,btc_ret,724,estimated,-75.41779516518854,-0.3348146820384999
clock_UTC_quote,core,matched,1,linear,M2,0.1,e_origin,724,estimated,0.4287216371347704,4.331897103909948
clock_UTC_quote,core,matched,1,linear,M2,0.1,downside,724,estimated,-220799.58096817663,-3.4723380138960334
clock_UTC_quote,core,matched,1,linear,M2,0.1,btc_vol,724,estimated,-72.54550571120333,-0.1403642144810031
clock_UTC_quote,core,matched,1,linear,M2,0.1,btc_ret,724,estimated,132.60191148807857,0.5886815801938374
clock_UTC_quote,core,matched,1,linear,M2,0.1,account_ls,724,estimated,0.9580597609717836,0.605352475256669
clock_UTC_quote,core,matched,1,linear,M2,0.5,e_origin,724,estimated,0.4483870452109013,4.530600684306612
clock_UTC_quote,core,matched,1,linear,M2,0.5,downside,724,estimated,-175829.12334942466,-2.7651236758652065
clock_UTC_quote,core,matched,1,linear,M2,0.5,btc_vol,724,estimated,790.0484341700612,1.5286202332876089
clock_UTC_quote,core,matched,1,linear,M2,0.5,btc_ret,724,estimated,-54.30880850017837,-0.2411020689487104
clock_UTC_quote,core,matched,1,linear,M2,0.5,account_ls,724,estimated,0.1919168814057535,0.1212631653422871
clock_UTC_quote,core,matched,1,linear,M2,0.9,e_origin,724,estimated,0.3961249460465958,4.002533014274504
clock_UTC_quote,core,matched,1,linear,M2,0.9,downside,724,estimated,-106009.13395607396,-1.6671206713427855
clock_UTC_quote,core,matched,1,linear,M2,0.9,btc_vol,724,estimated,749.7643859912635,1.4506768965736625
clock_UTC_quote,core,matched,1,linear,M2,0.9,btc_ret,724,estimated,-37.42275851025675,-0.1661370365464974
clock_UTC_quote,core,matched,1,linear,M2,0.9,account_ls,724,estimated,1.204098993115338,0.7608129843560981
clock_UTC_quote,core,matched,1,pca,M0,0.1,e_origin,724,estimated,0.46143661507279,4.641324032625687
clock_UTC_quote,core,matched,1,pca,M0,0.1,downside,724,estimated,-205645.31851123663,-3.2340190761016068
clock_UTC_quote,core,matched,1,pca,M0,0.5,e_origin,724,estimated,0.4416643445621223,4.44244619913113
clock_UTC_quote,core,matched,1,pca,M0,0.5,downside,724,estimated,-85427.52832323039,-1.343450258054095
clock_UTC_quote,core,matched,1,pca,M0,0.9,e_origin,724,estimated,0.4365958485686379,4.391465129369002
clock_UTC_quote,core,matched,1,pca,M0,0.9,downside,724,estimated,11434.545431826704,0.1798219299169577
clock_UTC_quote,core,matched,1,pca,M1,0.1,e_origin,724,estimated,0.4809018531256086,4.837113604203303
clock_UTC_quote,core,matched,1,pca,M1,0.1,downside,724,estimated,-211513.5785535506,-3.3263044977088643
clock_UTC_quote,core,matched,1,pca,M1,0.1,btc_vol,724,estimated,139.66045011756478,0.2702211416494121
clock_UTC_quote,core,matched,1,pca,M1,0.1,btc_ret,724,estimated,240.8854073524715,1.0694023989136685
clock_UTC_quote,core,matched,1,pca,M1,0.5,e_origin,724,estimated,0.45142889231699,4.54066213753307
clock_UTC_quote,core,matched,1,pca,M1,0.5,downside,724,estimated,-173734.6069346891,-2.7321848952039165
