scenario,method,info,algorithm,q,period,n,days,pinball,below_rate
clock_UTC_quote,ml,without_positioning,linear_qr,0.1,all,577,67,1.9893860037514743,0.1958405545927209
clock_UTC_quote,ml,without_positioning,linear_qr,0.1,2026-01,220,26,1.5676343126557282,0.1545454545454545
clock_UTC_quote,ml,without_positioning,linear_qr,0.1,2026-02,204,24,1.8212261228044084,0.1225490196078431
clock_UTC_quote,ml,without_positioning,linear_qr,0.1,2026-03,153,17,2.820039518485238,0.3529411764705882
clock_UTC_quote,ml,without_positioning,linear_qr,0.5,all,577,67,3.856694340683046,0.5459272097053726
clock_UTC_quote,ml,without_positioning,linear_qr,0.5,2026-01,220,26,3.364841741861825,0.5545454545454546
clock_UTC_quote,ml,without_positioning,linear_qr,0.5,2026-02,204,24,4.065385085541131,0.4705882352941176
clock_UTC_quote,ml,without_positioning,linear_qr,0.5,2026-03,153,17,4.285679045190359,0.6339869281045751
clock_UTC_quote,ml,without_positioning,linear_qr,0.9,all,577,67,1.792423510819458,0.8804159445407279
clock_UTC_quote,ml,without_positioning,linear_qr,0.9,2026-01,220,26,1.5519242112063414,0.8909090909090909
clock_UTC_quote,ml,without_positioning,linear_qr,0.9,2026-02,204,24,1.8548373045165407,0.8235294117647058
clock_UTC_quote,ml,without_positioning,linear_qr,0.9,2026-03,153,17,2.055021105595148,0.9411764705882352
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.1,all,577,67,1.9004459356217425,0.1889081455805892
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.630621362985262,0.1590909090909091
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.870112448747568,0.1225490196078431
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.3288736304083915,0.3202614379084967
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.5,all,577,67,4.002759463622536,0.5580589254766031
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.4798815733704997,0.55
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.089189598868681,0.4656862745098039
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.639369844441061,0.6928104575163399
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.9,all,577,67,1.8181285519560293,0.8526863084922011
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5633587620868112,0.8727272727272727
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.904058642922348,0.7745098039215687
clock_UTC_quote,ml,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,2.0698907428978544,0.9281045751633988
clock_UTC_quote,ml,with_positioning,linear_qr,0.1,all,577,67,1.9899355550296876,0.1958405545927209
clock_UTC_quote,ml,with_positioning,linear_qr,0.1,2026-01,220,26,1.5676343126557282,0.1545454545454545
clock_UTC_quote,ml,with_positioning,linear_qr,0.1,2026-02,204,24,1.82278049088053,0.1225490196078431
clock_UTC_quote,ml,with_positioning,linear_qr,0.1,2026-03,153,17,2.820039518485238,0.3529411764705882
clock_UTC_quote,ml,with_positioning,linear_qr,0.5,all,577,67,3.898120670306014,0.5649913344887348
clock_UTC_quote,ml,with_positioning,linear_qr,0.5,2026-01,220,26,3.4778832428229918,0.6090909090909091
clock_UTC_quote,ml,with_positioning,linear_qr,0.5,2026-02,204,24,4.072758824070502,0.4656862745098039
clock_UTC_quote,ml,with_positioning,linear_qr,0.5,2026-03,153,17,4.269532766242677,0.6339869281045751
clock_UTC_quote,ml,with_positioning,linear_qr,0.9,all,577,67,1.792423510819458,0.8804159445407279
clock_UTC_quote,ml,with_positioning,linear_qr,0.9,2026-01,220,26,1.5519242112063414,0.8909090909090909
clock_UTC_quote,ml,with_positioning,linear_qr,0.9,2026-02,204,24,1.8548373045165407,0.8235294117647058
clock_UTC_quote,ml,with_positioning,linear_qr,0.9,2026-03,153,17,2.055021105595148,0.9411764705882352
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.1,all,577,67,1.890504350595157,0.1871750433275563
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.640344035644213,0.1636363636363636
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8803131564840063,0.1225490196078431
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.263800251823148,0.3071895424836601
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.5,all,577,67,4.019257421945191,0.5441941074523396
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.5044377645360822,0.5454545454545454
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.071142559067903,0.4362745098039216
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.690340798788137,0.6862745098039216
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.9,all,577,67,1.8041546090442215,0.8596187175043327
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5513551968123729,0.8818181818181818
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8937329676704668,0.7794117647058824
clock_UTC_quote,ml,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,2.0482192203596,0.934640522875817
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.1,all,577,67,1.8873064504640091,0.1906412478336221
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.1,2026-01,220,26,1.6676266524871637,0.1818181818181818
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.1,2026-02,204,24,1.8367881785963065,0.142156862745098
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.1,2026-03,153,17,2.2705435943588945,0.2679738562091503
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.5,all,577,67,3.827836666132857,0.5528596187175043
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.5,2026-01,220,26,3.4386447215392235,0.6045454545454545
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.5,2026-02,204,24,4.095626321902205,0.4950980392156863
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.5,2026-03,153,17,4.030406195764574,0.5555555555555556
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.9,all,577,67,1.717444280093857,0.8856152512998267
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.9,2026-01,220,26,1.508519172910378,0.9
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.9,2026-02,204,24,1.807971430764048,0.8382352941176471
clock_UTC_quote,joint_linear,without_positioning,linear_qr,0.9,2026-03,153,17,1.8971565993333748,0.9281045751633988
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.1,all,577,67,1.9003382991233864,0.1733102253032929
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7139742120474646,0.1727272727272727
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.893971197921701,0.1372549019607843
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.176802271684476,0.2222222222222222
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.5,all,577,67,3.89202384655999,0.58578856152513
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.485892259569649,0.6363636363636364
clock_UTC_quote,joint_linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.05751861790181,0.4901960784313725
