scenario,method,q,contrast,conditioning,block_days,delta_pinball_bp,relative_change_pct,ci_low,ci_high,n,repetitions
clock_NY_quote,linear,0.9,ML_minus_linear,with_positioning,3,-0.0099932081782065,-0.5410664899384272,-0.05256081090834,0.0365335679970428,577,2000
clock_NY_quote,linear,0.9,add_positioning,linear_qr,7,0.0,0.0,0.0,0.0,577,2000
clock_NY_quote,linear,0.9,add_positioning,quantile_lightgbm,7,-0.009804617140714,-0.5309097367675477,-0.0325779481569038,0.0083535753012113,577,2000
clock_NY_quote,linear,0.9,ML_minus_linear,without_positioning,7,-0.0001885910374925,-0.0102109641738964,-0.044768914480555,0.0475684679688163,577,2000
clock_NY_quote,linear,0.9,ML_minus_linear,with_positioning,7,-0.0099932081782065,-0.5410664899384272,-0.0489935822140586,0.0349889008469003,577,2000
clock_NY_quote,pca,0.1,add_positioning,linear_qr,3,0.0007090598133108,0.0345902168663886,0.0003685774252195,0.0010189858643063,577,2000
clock_NY_quote,pca,0.1,add_positioning,quantile_lightgbm,3,-0.0183083532778867,-0.8779884875767257,-0.0391266230836523,0.0038318587401336,577,2000
clock_NY_quote,pca,0.1,ML_minus_linear,without_positioning,3,0.0353757777315948,1.7257441482114206,-0.0822084202497099,0.1470151704674902,577,2000
clock_NY_quote,pca,0.1,ML_minus_linear,with_positioning,3,0.0163583646403973,0.7977376696320304,-0.1070492802487175,0.131871430791417,577,2000
clock_NY_quote,pca,0.1,add_positioning,linear_qr,7,0.0007090598133108,0.0345902168663886,0.0003584185249638,0.000988586804486,577,2000
clock_NY_quote,pca,0.1,add_positioning,quantile_lightgbm,7,-0.0183083532778867,-0.8779884875767257,-0.037180874522827,0.0014458015770085,577,2000
clock_NY_quote,pca,0.1,ML_minus_linear,without_positioning,7,0.0353757777315948,1.7257441482114206,-0.0661943284005939,0.1327016238376856,577,2000
clock_NY_quote,pca,0.1,ML_minus_linear,with_positioning,7,0.0163583646403973,0.7977376696320304,-0.0870733426750821,0.1186128120630924,577,2000
clock_NY_quote,pca,0.5,add_positioning,linear_qr,3,9.636864886175545e-05,0.0024056460718097,-0.0004861807775678,0.0005970710662287,577,2000
clock_NY_quote,pca,0.5,add_positioning,quantile_lightgbm,3,0.0534031584332961,1.2978397079006527,-0.0152712006757195,0.1283404045215641,577,2000
clock_NY_quote,pca,0.5,ML_minus_linear,without_positioning,3,0.1088367580552374,2.7168868981413428,-0.0008205439229906,0.2147779839915783,577,2000
clock_NY_quote,pca,0.5,ML_minus_linear,with_positioning,3,0.1621435478396717,4.047484428802846,0.0180539859840862,0.3016989109060428,577,2000
clock_NY_quote,pca,0.5,add_positioning,linear_qr,7,9.636864886175545e-05,0.0024056460718097,-0.0002785257289034,0.0004811657197934,577,2000
clock_NY_quote,pca,0.5,add_positioning,quantile_lightgbm,7,0.0534031584332961,1.2978397079006527,-0.0128684670628223,0.1213175362931526,577,2000
