scenario,definition,projection,h,q,model,info,reference_model,reference_info,contrast,block_days,n,difference_bp,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months,months
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,5,202,-0.06483897922842252,-0.2647426741542891,0.10144355164447763,2.7586661309722316,-5.731197517953595,8.202690690891108,0.497,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,base,interaction,base,algorithm_vs_interaction,10,202,-0.06483897922842252,-0.23738261116038545,0.10358284194296098,2.7586661309722316,-5.745286675566522,7.787089583641253,0.467,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,1,202,0.2931087557225441,-0.053880291770498565,0.7447767607179957,-13.355820347345881,-29.24350942865918,2.7696000480582543,0.15,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,5,202,0.2931087557225441,-0.017977985678887136,0.671859537758216,-13.355820347345881,-25.38694443226378,0.9398701233799539,0.099,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,linear,full,algorithm_vs_linear,10,202,0.2931087557225441,0.01574271764614381,0.6216679056313678,-13.355820347345881,-23.958643775424974,-0.7437101335110301,0.056,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,1,202,0.27429963716661965,-0.12101506305302549,0.7410002171328286,-12.4987623324613,-29.269406610180813,5.964793021310268,0.2075,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,5,202,0.27429963716661965,-0.05226332493151848,0.6613679514039684,-12.4987623324613,-25.38976823885044,2.586221651359981,0.1385,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,linear,full,algorithm_vs_linear,10,202,0.27429963716661965,-0.030528113463298874,0.6081347888379897,-12.4987623324613,-24.180597248445608,1.5461508580860428,0.093,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,1,202,0.07664941190943873,-0.1680106242507308,0.41226655320376493,-3.4926141072401995,-15.965954409960794,8.223388398530842,0.609,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,5,202,0.07664941190943873,-0.14752648585519237,0.35465232167175464,-3.4926141072401995,-13.562698732930777,7.399542208817345,0.5755,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,linear,full,algorithm_vs_linear,10,202,0.07664941190943873,-0.13528962624030877,0.31660890282176013,-3.4926141072401995,-12.503267882664789,6.748999753691946,0.548,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,1,202,-0.01880911855592443,-0.11776240655505246,0.0712453144128309,0.7560776431756011,-2.7503373356575858,5.206703518512709,0.669,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,5,202,-0.01880911855592443,-0.09475055137379838,0.05306468921611421,0.7560776431756011,-2.3594573129365983,3.9490210034748605,0.627,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,interaction,full,algorithm_vs_interaction,10,202,-0.01880911855592443,-0.09733594893094176,0.05346977302806657,0.7560776431756011,-2.4260527856902536,4.075199015701384,0.632,1,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,1,202,-0.21645934381310533,-0.46500558756675225,0.004209805477632406,8.701102607596823,-0.17960607965206118,16.786668794598228,0.0705,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,5,202,-0.21645934381310533,-0.3845788438197932,-0.04279419164536485,8.701102607596823,2.108171267769068,14.064521399359457,0.0145,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,interaction,full,algorithm_vs_interaction,10,202,-0.21645934381310533,-0.3812808775547729,-0.05667839518043678,8.701102607596823,2.820145193582502,13.8222651803663,0.0085,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,1,202,0.11042115081661852,0.007994178491027883,0.2508545238274688,-5.2980284433994385,-10.450278475849458,-0.4159380005465048,0.0695,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,5,202,0.11042115081661852,-0.007309424228603979,0.2506705720033271,-5.2980284433994385,-10.080245086408633,0.380598877399648,0.091,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,linear,full,linear,base,position_bundle,10,202,0.11042115081661852,0.007282911890098473,0.22486295423696404,-5.2980284433994385,-9.502669390530698,-0.38820251964050084,0.0455,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,1,202,0.13734886875208227,-0.03852601928558036,0.34677137824782045,-5.843701996277373,-15.795447480678437,1.6783932560460868,0.1715,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,5,202,0.13734886875208227,0.005723825395727482,0.2688474299574189,-5.843701996277373,-13.223479691581863,-0.25907025765209374,0.0375,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,interaction,full,interaction,base,position_bundle,10,202,0.13734886875208227,0.01509303434514958,0.25849542798890335,-5.843701996277373,-13.194854612721944,-0.6287877048463217,0.017,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,1,202,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,5,202,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,spline,full,spline,base,position_bundle,10,202,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,1,202,-0.014271495832600572,-0.10265002839313705,0.06505546294184875,0.6244268388412966,-2.4741840496883527,4.8135667116826975,0.723,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,5,202,-0.014271495832600572,-0.08813029022825002,0.06992173296847934,0.6244268388412966,-2.5686352175876213,4.6452314826352294,0.7415,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,boosting,base,position_bundle,10,202,-0.014271495832600572,-0.08838687273332356,0.06383407598784228,0.6244268388412966,-2.4597644962347984,4.540981179618712,0.7235,2,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,1,202,-0.02647087822175774,-0.6316065808890995,0.8639961369718339,1.152042418539334,-40.27368625411854,26.13025663782209,0.947,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,5,202,-0.02647087822175774,-0.64057591155258,0.8169078171882237,1.152042418539334,-35.5933514716807,25.130127806498134,0.9395,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,persistence,base,vs_persistence,10,202,-0.02647087822175774,-0.5898098576397297,0.6596439514761119,1.152042418539334,-28.1255904383187,24.275946987120935,0.909,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,1,202,-0.2000945275353056,-0.4539808725257146,0.032376577033519975,8.096540467727674,-1.8051060806932968,16.68146305956736,0.122,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,5,202,-0.2000945275353056,-0.3585218541175359,-0.029533797264665047,8.096540467727674,1.4798162563755264,13.415055009000255,0.019,3,4
FX_UTC_delay1,EQ,sequential,1,0.1,boosting,full,constant,base,vs_constant,10,202,-0.2000945275353056,-0.3437598523144183,-0.04981186544123204,8.096540467727674,2.398366560158882,12.564732663085724,0.0105,3,4
NY_delay0,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,1,468,0.3476423095634566,0.06954483645993038,0.7600370544167219,-18.364135326808693,-33.063807224851104,-4.256094462356221,0.0445,1,4
NY_delay0,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,5,468,0.3476423095634566,0.10340949663200738,0.728985163198177,-18.364135326808693,-31.41620339724282,-6.290047699344089,0.0425,1,4
NY_delay0,EQ,sequential,1,0.1,interaction,base,linear,base,algorithm_vs_linear,10,468,0.3476423095634566,0.11695551919448387,0.6708679742459619,-18.364135326808693,-29.025945672736242,-6.970950115216881,0.0185,1,4
NY_delay0,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,1,468,0.3623163176231387,0.05525992105837155,0.7829096763325901,-19.139286861537187,-34.57340039650723,-3.281471014893478,0.0525,1,4
NY_delay0,EQ,sequential,1,0.1,spline,base,linear,base,algorithm_vs_linear,5,468,0.3623163176231387,0.09164654392876752,0.76589960995617,-19.139286861537187,-33.01846616727699,-5.331613486272665,0.042,1,4
