task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,7,576,0.082219931154154,1.5059040518803972,-0.04150703812773701,0.21520689213073535
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,3,576,-0.059895791997681753,-1.0691945742970395,-0.12632806342534075,0.006709131038952051
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,7,576,-0.059895791997681753,-1.0691945742970395,-0.12047685811752634,-4.484999148516268e-05
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,3,576,-0.1220433389516943,-1.0653589612834466,-0.31152244459181466,0.07038417850324817
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,7,576,-0.1220433389516943,-1.0653589612834466,-0.2605586214415269,0.013516697294461987
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,3,576,-0.16625234154013166,-1.4456956280843276,-0.3462092392099506,-0.010346567018777682
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,7,576,-0.16625234154013166,-1.4456956280843276,-0.2983742540446365,-0.039152899282903386
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,3,576,-0.12992263359052647,-2.1620331879107066,-0.2300559956169929,-0.0426128161926504
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,7,576,-0.12992263359052647,-2.1620331879107066,-0.19237411150315076,-0.06048788700048603
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_sequential_ols,3,576,-0.11348412209984406,-1.8936612520286389,-0.27807615070692787,0.04357581649310924
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_sequential_ols,7,576,-0.11348412209984406,-1.8936612520286389,-0.26073866740021906,0.0291030119182562
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_pca_2,3,576,0.022682109679404712,0.38728643258393813,-0.13841090933755348,0.22263744541154967
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_pca_2,7,576,0.022682109679404712,0.38728643258393813,-0.14120095967403318,0.2263486105698801
observed_change,ae_selected,without_positioning,linear_qr,0.5,add_residual,3,576,0.020149850537997803,0.17869811661304713,0.005576711141428321,0.03662780906936021
observed_change,ae_selected,without_positioning,linear_qr,0.5,add_residual,7,576,0.020149850537997803,0.17869811661304713,0.006060825476587115,0.035982325568929725
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_sequential_ols,3,576,0.07684341131908352,0.6849263203803582,-0.05078803610367351,0.24083366372667447
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_sequential_ols,7,576,0.07684341131908352,0.6849263203803582,-0.042423527526586326,0.23329547532219
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_pca_2,3,576,0.19721869392168107,1.7769294508207443,0.012420496292712392,0.40990933381489447
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_pca_2,7,576,0.19721869392168107,1.7769294508207443,0.03304715678805707,0.3980675093768207
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,add_residual,3,576,-0.03841168289512867,-0.691855447580155,-0.10419514936674637,0.021506466853994963
