mode,definition,fold,removed_group,kind,candidate,valid,loss_sum,n,reason,train_n,features,train_last_label,residualizer_fit_end,first_origin,last_label,warnings
available_macro,CAP,2025-08,fx_macro,spline,31,True,374.1778565578266,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,spline,32,True,374.1778565578266,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,spline,33,True,421.03321294576995,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,spline,34,True,421.03321294576995,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,spline,35,True,421.03321294576995,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,36,True,364.84082687295603,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,37,True,367.16651237422076,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,38,True,362.90993620403816,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,39,True,366.93843783845244,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,40,True,368.8221792300661,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,41,True,369.9660706693247,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,42,True,364.84082687295603,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,43,True,367.16651237422076,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
available_macro,CAP,2025-08,fx_macro,boosting,44,True,362.90993620403816,315,,592,"['e_now', 'e_change1', 'downside24', 'btc_vol24', 'btc_ret1', 'local_volume_surprise', 'hour_sin', 'hour_cos', 'weekend', 'account_log', 'funding_bp', 'oi_ret1', 'oi_surprise', 'account_change1', 'account_change24', 'funding_change8', 'oi_change24']",2025-07-31T17:00:00+00:00,2025-07-31T17:00:00+00:00,2025-08-01T02:00:00+00:00,2025-08-29T17:00:00+00:00,[]
