mode,definition,removed_group,procedure,calibration,fold,n,loss_bp,below_rate
available_macro,PCA,global_btc,retuned,calibrated,2026-01,294,1.4307852179992686,0.10884353741496598
available_macro,PCA,global_btc,retuned,calibrated,2026-02,280,1.8665392222172548,0.11071428571428571
available_macro,PCA,global_btc,retuned,calibrated,2026-03,201,1.898514886758901,0.08955223880597014
available_macro,PCA,local_volume,fixed_full_spec,calibrated,2025-12,313,1.6191567793857384,0.09904153354632587
available_macro,PCA,local_volume,fixed_full_spec,calibrated,2026-01,294,1.4063258632143625,0.10884353741496598
available_macro,PCA,local_volume,fixed_full_spec,calibrated,2026-02,280,1.7758703020737718,0.11071428571428571
available_macro,PCA,local_volume,fixed_full_spec,calibrated,2026-03,201,1.8395272647065188,0.0945273631840796
available_macro,PCA,local_volume,retuned,calibrated,2025-12,313,1.6359842199680905,0.0926517571884984
available_macro,PCA,local_volume,retuned,calibrated,2026-01,294,1.4063258632143625,0.10884353741496598
available_macro,PCA,local_volume,retuned,calibrated,2026-02,280,1.8446467803872542,0.10714285714285714
available_macro,PCA,local_volume,retuned,calibrated,2026-03,201,1.8585544904029345,0.08955223880597014
available_macro,PCA,none,full,calibrated,2025-12,313,1.621293993872923,0.0926517571884984
available_macro,PCA,none,full,calibrated,2026-01,294,1.4203255816554317,0.10884353741496598
available_macro,PCA,none,full,calibrated,2026-02,280,1.7770917888132427,0.10357142857142858
available_macro,PCA,none,full,calibrated,2026-03,201,1.8359199674833566,0.0945273631840796
strict,EQ,fx_macro,fixed_full_spec,raw,2025-12,132,2.067242344876349,0.19696969696969696
strict,EQ,fx_macro,fixed_full_spec,raw,2026-01,126,1.1958598862448744,0.19047619047619047
strict,EQ,fx_macro,fixed_full_spec,raw,2026-02,120,2.0785664749134303,0.15833333333333333
strict,EQ,fx_macro,fixed_full_spec,raw,2026-03,89,2.4491056104728814,0.15730337078651685
strict,EQ,fx_macro,retuned,raw,2025-12,132,2.067242344876349,0.19696969696969696
strict,EQ,fx_macro,retuned,raw,2026-01,126,1.1958598862448744,0.19047619047619047
strict,EQ,fx_macro,retuned,raw,2026-02,120,2.0785664749134303,0.15833333333333333
strict,EQ,fx_macro,retuned,raw,2026-03,89,2.449105610472886,0.15730337078651685
strict,EQ,global_btc,fixed_full_spec,raw,2025-12,132,2.1012572654769874,0.19696969696969696
strict,EQ,global_btc,fixed_full_spec,raw,2026-01,126,1.2152698753284714,0.19047619047619047
strict,EQ,global_btc,fixed_full_spec,raw,2026-02,120,2.0682713930772203,0.15833333333333333
strict,EQ,global_btc,fixed_full_spec,raw,2026-03,89,2.4279991553173166,0.2247191011235955
strict,EQ,global_btc,retuned,raw,2025-12,132,2.1012572654769874,0.19696969696969696
strict,EQ,global_btc,retuned,raw,2026-01,126,1.2152698753284714,0.19047619047619047
strict,EQ,global_btc,retuned,raw,2026-02,120,2.0682713930772203,0.15833333333333333
strict,EQ,global_btc,retuned,raw,2026-03,89,1.8830306351340038,0.16853932584269662
strict,EQ,local_volume,fixed_full_spec,raw,2025-12,132,2.1003007850056825,0.20454545454545456
strict,EQ,local_volume,fixed_full_spec,raw,2026-01,126,1.2057376379752078,0.1984126984126984
strict,EQ,local_volume,fixed_full_spec,raw,2026-02,120,2.092993751049386,0.15833333333333333
strict,EQ,local_volume,fixed_full_spec,raw,2026-03,89,2.628163712792711,0.15730337078651685
strict,EQ,local_volume,retuned,raw,2025-12,132,2.1003007850056825,0.20454545454545456
strict,EQ,local_volume,retuned,raw,2026-01,126,1.2891734277623008,0.20634920634920634
